country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Israel,Russia,1776,563,A,Israel,False,,1213,Israel,3.1545293072824157,terminal_illness,Israel_Russia
Israel,Russia,532,563,A,Israel,True,Israel,31,Russia,1.0582706766917294,terminal_illness,Israel_Russia
Israel,Russia,967,261,A,Israel,False,,706,Israel,3.7049808429118776,terminal_illness,Israel_Russia
Russia,Israel,1156,1909,A,Russia,True,Russia,753,Israel,1.6513840830449826,terminal_illness,Israel_Russia
Russia,Israel,1676,1228,A,Russia,False,,448,Russia,1.3648208469055374,terminal_illness,Israel_Russia
Israel,Russia,1043,1878,A,Israel,True,Israel,835,Russia,1.800575263662512,terminal_illness,Israel_Russia
Russia,Israel,159,1416,I'm,neither,False,,1257,Israel,8.90566037735849,terminal_illness,Israel_Russia
Israel,Russia,1949,324,A,Israel,False,,1625,Israel,6.015432098765432,terminal_illness,Israel_Russia
Russia,Israel,938,1393,I'm,neither,False,,455,Israel,1.4850746268656716,terminal_illness,Israel_Russia
Israel,Russia,1422,1155,A,Israel,False,,267,Israel,1.2311688311688311,terminal_illness,Israel_Russia
Russia,Israel,248,1119,A,Russia,True,Russia,871,Israel,4.512096774193548,terminal_illness,Israel_Russia
Israel,Russia,1747,1417,A,Israel,False,,330,Israel,1.2328863796753704,terminal_illness,Israel_Russia
Russia,Israel,416,932,A,Russia,True,Russia,516,Israel,2.2403846153846154,terminal_illness,Israel_Russia
Israel,Russia,79,659,A,Israel,True,Israel,580,Russia,8.341772151898734,terminal_illness,Israel_Russia
Israel,Russia,194,1696,A,Israel,True,Israel,1502,Russia,8.742268041237113,terminal_illness,Israel_Russia
Israel,Russia,561,1072,A,Israel,True,Israel,511,Russia,1.910873440285205,terminal_illness,Israel_Russia
Russia,Israel,1040,1865,A,Russia,True,Russia,825,Israel,1.7932692307692308,terminal_illness,Israel_Russia
Russia,Israel,1573,1960,A,Russia,True,Russia,387,Israel,1.246026700572155,terminal_illness,Israel_Russia
Russia,Israel,1485,1872,A,Russia,True,Russia,387,Israel,1.2606060606060605,terminal_illness,Israel_Russia
Russia,Israel,614,1957,B,Israel,False,,1343,Israel,3.1872964169381106,terminal_illness,Israel_Russia
Israel,Russia,172,43,A,Israel,False,,129,Israel,4.0,terminal_illness,Israel_Russia
Russia,Israel,1596,689,A,Russia,False,,907,Russia,2.316400580551524,terminal_illness,Israel_Russia
Russia,Israel,1136,1403,A,Russia,True,Russia,267,Israel,1.2350352112676057,terminal_illness,Israel_Russia
Israel,Russia,1613,640,A,Israel,False,,973,Israel,2.5203125,terminal_illness,Israel_Russia
Israel,Russia,1582,25,A,Israel,False,,1557,Israel,63.28,terminal_illness,Israel_Russia
Israel,Russia,690,246,A,Israel,False,,444,Israel,2.8048780487804876,terminal_illness,Israel_Russia
Israel,Russia,936,1372,A,Israel,True,Israel,436,Russia,1.4658119658119657,terminal_illness,Israel_Russia
Russia,Israel,1818,158,A,Russia,False,,1660,Russia,11.50632911392405,terminal_illness,Israel_Russia
Israel,Russia,1280,1938,A,Israel,True,Israel,658,Russia,1.5140625,terminal_illness,Israel_Russia
Israel,Russia,829,371,A,Israel,False,,458,Israel,2.234501347708895,terminal_illness,Israel_Russia
Israel,Russia,920,1670,A,Israel,True,Israel,750,Russia,1.815217391304348,terminal_illness,Israel_Russia
Russia,Israel,1261,1201,A,Russia,False,,60,Russia,1.0499583680266444,terminal_illness,Israel_Russia
Israel,Russia,1966,1830,A,Israel,False,,136,Israel,1.0743169398907104,terminal_illness,Israel_Russia
Israel,Russia,415,90,A,Israel,False,,325,Israel,4.611111111111111,terminal_illness,Israel_Russia
Russia,Israel,14,1484,B,Israel,False,,1470,Israel,106.0,terminal_illness,Israel_Russia
Israel,Russia,841,836,A,Israel,False,,5,Israel,1.005980861244019,terminal_illness,Israel_Russia
Israel,Russia,255,883,A,Israel,True,Israel,628,Russia,3.462745098039216,terminal_illness,Israel_Russia
Israel,Russia,865,489,A,Israel,False,,376,Israel,1.768916155419223,terminal_illness,Israel_Russia
Russia,Israel,1037,1526,I'm,neither,False,,489,Israel,1.4715525554484088,terminal_illness,Israel_Russia
Russia,Israel,974,1739,I'm,neither,False,,765,Israel,1.7854209445585216,terminal_illness,Israel_Russia
Israel,Russia,245,429,A,Israel,True,Israel,184,Russia,1.7510204081632652,terminal_illness,Israel_Russia
Israel,Russia,372,981,A,Israel,True,Israel,609,Russia,2.6370967741935485,terminal_illness,Israel_Russia
Israel,Russia,1780,1253,A,Israel,False,,527,Israel,1.4205905826017557,terminal_illness,Israel_Russia
Russia,Israel,480,509,A,Russia,True,Russia,29,Israel,1.0604166666666666,terminal_illness,Israel_Russia
Israel,Russia,1641,1690,A,Israel,True,Israel,49,Russia,1.0298598415600244,terminal_illness,Israel_Russia
Russia,Israel,1577,1739,I'm,neither,False,,162,Israel,1.102726696258719,terminal_illness,Israel_Russia
Israel,Russia,826,1221,I'm,neither,False,,395,Russia,1.4782082324455206,terminal_illness,Israel_Russia
Israel,Russia,1087,1239,A,Israel,True,Israel,152,Russia,1.1398344066237351,terminal_illness,Israel_Russia
Russia,Israel,1342,1084,A,Russia,False,,258,Russia,1.2380073800738007,terminal_illness,Israel_Russia
Israel,Russia,953,313,A,Israel,False,,640,Israel,3.0447284345047922,terminal_illness,Israel_Russia
