country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Philippines,Japan,1809,130,A,Philippines,False,,1679,Philippines,13.915384615384616,terminal_illness,Japan_Philippines
Philippines,Japan,76,393,A,Philippines,True,Philippines,317,Japan,5.171052631578948,terminal_illness,Japan_Philippines
Japan,Philippines,1380,1360,A,Japan,False,,20,Japan,1.0147058823529411,terminal_illness,Japan_Philippines
Japan,Philippines,229,1780,B,Philippines,False,,1551,Philippines,7.77292576419214,terminal_illness,Japan_Philippines
Japan,Philippines,1512,1516,A,Japan,True,Japan,4,Philippines,1.0026455026455026,terminal_illness,Japan_Philippines
Philippines,Japan,1142,431,A,Philippines,False,,711,Philippines,2.6496519721577725,terminal_illness,Japan_Philippines
Philippines,Japan,1374,437,A,Philippines,False,,937,Philippines,3.1441647597254003,terminal_illness,Japan_Philippines
Japan,Philippines,375,720,A,Japan,True,Japan,345,Philippines,1.92,terminal_illness,Japan_Philippines
Philippines,Japan,950,123,A,Philippines,False,,827,Philippines,7.723577235772358,terminal_illness,Japan_Philippines
Japan,Philippines,37,649,B,Philippines,False,,612,Philippines,17.54054054054054,terminal_illness,Japan_Philippines
Japan,Philippines,398,102,A,Japan,False,,296,Japan,3.9019607843137254,terminal_illness,Japan_Philippines
Japan,Philippines,643,464,A,Japan,False,,179,Japan,1.3857758620689655,terminal_illness,Japan_Philippines
Japan,Philippines,1409,1367,A,Japan,False,,42,Japan,1.0307242136064374,terminal_illness,Japan_Philippines
Philippines,Japan,1278,1918,A,Philippines,True,Philippines,640,Japan,1.5007824726134584,terminal_illness,Japan_Philippines
Japan,Philippines,1435,240,A,Japan,False,,1195,Japan,5.979166666666667,terminal_illness,Japan_Philippines
Japan,Philippines,1154,720,A,Japan,False,,434,Japan,1.6027777777777779,terminal_illness,Japan_Philippines
Japan,Philippines,1421,1215,A,Japan,False,,206,Japan,1.1695473251028807,terminal_illness,Japan_Philippines
Philippines,Japan,396,389,A,Philippines,False,,7,Philippines,1.0179948586118253,terminal_illness,Japan_Philippines
Philippines,Japan,689,1185,A,Philippines,True,Philippines,496,Japan,1.7198838896952104,terminal_illness,Japan_Philippines
Philippines,Japan,1961,994,A,Philippines,False,,967,Philippines,1.9728370221327969,terminal_illness,Japan_Philippines
Japan,Philippines,1204,1465,A,Japan,True,Japan,261,Philippines,1.2167774086378738,terminal_illness,Japan_Philippines
Philippines,Japan,906,413,A,Philippines,False,,493,Philippines,2.1937046004842613,terminal_illness,Japan_Philippines
Philippines,Japan,737,193,A,Philippines,False,,544,Philippines,3.8186528497409324,terminal_illness,Japan_Philippines
Japan,Philippines,750,1171,A,Japan,True,Japan,421,Philippines,1.5613333333333332,terminal_illness,Japan_Philippines
Philippines,Japan,1201,826,A,Philippines,False,,375,Philippines,1.4539951573849879,terminal_illness,Japan_Philippines
Japan,Philippines,1314,1093,A,Japan,False,,221,Japan,1.202195791399817,terminal_illness,Japan_Philippines
Japan,Philippines,449,1563,B,Philippines,False,,1114,Philippines,3.4810690423162582,terminal_illness,Japan_Philippines
Philippines,Japan,1078,307,A,Philippines,False,,771,Philippines,3.511400651465798,terminal_illness,Japan_Philippines
Philippines,Japan,1376,1711,A,Philippines,True,Philippines,335,Japan,1.2434593023255813,terminal_illness,Japan_Philippines
Philippines,Japan,1614,1742,A,Philippines,True,Philippines,128,Japan,1.0793060718711276,terminal_illness,Japan_Philippines
Philippines,Japan,1830,110,A,Philippines,False,,1720,Philippines,16.636363636363637,terminal_illness,Japan_Philippines
Japan,Philippines,831,1721,B,Philippines,False,,890,Philippines,2.0709987966305654,terminal_illness,Japan_Philippines
Japan,Philippines,1976,1860,A,Japan,False,,116,Japan,1.0623655913978494,terminal_illness,Japan_Philippines
Philippines,Japan,189,782,A,Philippines,True,Philippines,593,Japan,4.137566137566138,terminal_illness,Japan_Philippines
Japan,Philippines,196,1225,B,Philippines,False,,1029,Philippines,6.25,terminal_illness,Japan_Philippines
Japan,Philippines,1893,147,A,Japan,False,,1746,Japan,12.877551020408163,terminal_illness,Japan_Philippines
Philippines,Japan,358,383,A,Philippines,True,Philippines,25,Japan,1.0698324022346368,terminal_illness,Japan_Philippines
Philippines,Japan,24,473,A,Philippines,True,Philippines,449,Japan,19.708333333333332,terminal_illness,Japan_Philippines
Japan,Philippines,1665,1445,A,Japan,False,,220,Japan,1.1522491349480968,terminal_illness,Japan_Philippines
Philippines,Japan,1825,859,A,Philippines,False,,966,Philippines,2.1245634458672877,terminal_illness,Japan_Philippines
Japan,Philippines,350,1874,A,Japan,True,Japan,1524,Philippines,5.354285714285714,terminal_illness,Japan_Philippines
Japan,Philippines,1607,1677,A,Japan,True,Japan,70,Philippines,1.0435594275046671,terminal_illness,Japan_Philippines
Philippines,Japan,24,981,B,Japan,False,,957,Japan,40.875,terminal_illness,Japan_Philippines
Philippines,Japan,899,1583,A,Philippines,True,Philippines,684,Japan,1.760845383759733,terminal_illness,Japan_Philippines
Japan,Philippines,1771,1449,A,Japan,False,,322,Japan,1.2222222222222223,terminal_illness,Japan_Philippines
Japan,Philippines,832,516,A,Japan,False,,316,Japan,1.6124031007751938,terminal_illness,Japan_Philippines
Philippines,Japan,1388,1539,A,Philippines,True,Philippines,151,Japan,1.1087896253602305,terminal_illness,Japan_Philippines
Japan,Philippines,1888,463,A,Japan,False,,1425,Japan,4.077753779697624,terminal_illness,Japan_Philippines
Japan,Philippines,766,734,A,Japan,False,,32,Japan,1.0435967302452316,terminal_illness,Japan_Philippines
Japan,Philippines,433,1144,B,Philippines,False,,711,Philippines,2.6420323325635104,terminal_illness,Japan_Philippines
