country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
India,Mexico,1485,787,A,India,False,,698,India,1.8869123252858957,terminal_illness,Mexico_India
India,Mexico,1248,68,A,India,False,,1180,India,18.352941176470587,terminal_illness,Mexico_India
India,Mexico,1637,1260,A,India,False,,377,India,1.2992063492063493,terminal_illness,Mexico_India
Mexico,India,1302,70,A,Mexico,False,,1232,Mexico,18.6,terminal_illness,Mexico_India
Mexico,India,921,1044,A,Mexico,True,Mexico,123,India,1.1335504885993486,terminal_illness,Mexico_India
Mexico,India,1194,869,A,Mexico,False,,325,Mexico,1.373993095512083,terminal_illness,Mexico_India
Mexico,India,599,1933,B,India,False,,1334,India,3.2270450751252087,terminal_illness,Mexico_India
India,Mexico,161,35,A,India,False,,126,India,4.6,terminal_illness,Mexico_India
Mexico,India,935,237,A,Mexico,False,,698,Mexico,3.9451476793248945,terminal_illness,Mexico_India
Mexico,India,867,710,A,Mexico,False,,157,Mexico,1.2211267605633802,terminal_illness,Mexico_India
India,Mexico,1879,1477,A,India,False,,402,India,1.2721733243060258,terminal_illness,Mexico_India
India,Mexico,1734,913,A,India,False,,821,India,1.8992332968236583,terminal_illness,Mexico_India
Mexico,India,1117,546,A,Mexico,False,,571,Mexico,2.0457875457875456,terminal_illness,Mexico_India
India,Mexico,1808,336,A,India,False,,1472,India,5.380952380952381,terminal_illness,Mexico_India
India,Mexico,399,765,A,India,True,India,366,Mexico,1.9172932330827068,terminal_illness,Mexico_India
Mexico,India,1749,170,A,Mexico,False,,1579,Mexico,10.288235294117648,terminal_illness,Mexico_India
India,Mexico,1685,1913,A,India,True,India,228,Mexico,1.1353115727002967,terminal_illness,Mexico_India
India,Mexico,1718,933,A,India,False,,785,India,1.8413719185423365,terminal_illness,Mexico_India
India,Mexico,466,870,A,India,True,India,404,Mexico,1.8669527896995708,terminal_illness,Mexico_India
India,Mexico,1012,1978,A,India,True,India,966,Mexico,1.9545454545454546,terminal_illness,Mexico_India
Mexico,India,261,1546,B,India,False,,1285,India,5.923371647509579,terminal_illness,Mexico_India
Mexico,India,1423,1428,A,Mexico,True,Mexico,5,India,1.0035137034434294,terminal_illness,Mexico_India
India,Mexico,405,696,A,India,True,India,291,Mexico,1.7185185185185186,terminal_illness,Mexico_India
Mexico,India,1724,831,A,Mexico,False,,893,Mexico,2.0746089049338146,terminal_illness,Mexico_India
Mexico,India,291,1034,A,Mexico,True,Mexico,743,India,3.5532646048109964,terminal_illness,Mexico_India
India,Mexico,1571,408,A,India,False,,1163,India,3.8504901960784315,terminal_illness,Mexico_India
Mexico,India,148,784,B,India,False,,636,India,5.297297297297297,terminal_illness,Mexico_India
Mexico,India,1248,469,A,Mexico,False,,779,Mexico,2.6609808102345416,terminal_illness,Mexico_India
India,Mexico,49,1339,B,Mexico,False,,1290,Mexico,27.3265306122449,terminal_illness,Mexico_India
India,Mexico,1701,707,A,India,False,,994,India,2.405940594059406,terminal_illness,Mexico_India
Mexico,India,1258,1915,B,India,False,,657,India,1.5222575516693164,terminal_illness,Mexico_India
India,Mexico,963,1209,A,India,True,India,246,Mexico,1.2554517133956387,terminal_illness,Mexico_India
Mexico,India,465,1325,B,India,False,,860,India,2.849462365591398,terminal_illness,Mexico_India
Mexico,India,365,1220,A,Mexico,True,Mexico,855,India,3.3424657534246576,terminal_illness,Mexico_India
India,Mexico,954,1109,A,India,True,India,155,Mexico,1.1624737945492662,terminal_illness,Mexico_India
India,Mexico,1565,1763,A,India,True,India,198,Mexico,1.126517571884984,terminal_illness,Mexico_India
Mexico,India,1306,32,A,Mexico,False,,1274,Mexico,40.8125,terminal_illness,Mexico_India
India,Mexico,296,1193,A,India,True,India,897,Mexico,4.030405405405405,terminal_illness,Mexico_India
Mexico,India,928,1511,A,Mexico,True,Mexico,583,India,1.6282327586206897,terminal_illness,Mexico_India
India,Mexico,1459,1040,A,India,False,,419,India,1.4028846153846153,terminal_illness,Mexico_India
Mexico,India,1632,1971,I'm,neither,False,,339,India,1.2077205882352942,terminal_illness,Mexico_India
India,Mexico,914,1201,A,India,True,India,287,Mexico,1.3140043763676148,terminal_illness,Mexico_India
India,Mexico,742,1806,A,India,True,India,1064,Mexico,2.4339622641509435,terminal_illness,Mexico_India
Mexico,India,204,1097,A,Mexico,True,Mexico,893,India,5.377450980392157,terminal_illness,Mexico_India
India,Mexico,351,698,A,India,True,India,347,Mexico,1.9886039886039886,terminal_illness,Mexico_India
Mexico,India,1511,1443,A,Mexico,False,,68,Mexico,1.047124047124047,terminal_illness,Mexico_India
India,Mexico,374,1429,A,India,True,India,1055,Mexico,3.820855614973262,terminal_illness,Mexico_India
Mexico,India,376,1372,A,Mexico,True,Mexico,996,India,3.648936170212766,terminal_illness,Mexico_India
Mexico,India,911,1371,A,Mexico,True,Mexico,460,India,1.504939626783754,terminal_illness,Mexico_India
Mexico,India,1880,1548,A,Mexico,False,,332,Mexico,1.2144702842377262,terminal_illness,Mexico_India
