country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Philippines,Mexico,1692,1227,A,Philippines,False,,465,Philippines,1.3789731051344742,terminal_illness,Mexico_Philippines
Philippines,Mexico,1908,1695,A,Philippines,False,,213,Philippines,1.1256637168141592,terminal_illness,Mexico_Philippines
Philippines,Mexico,392,503,A,Philippines,True,Philippines,111,Mexico,1.2831632653061225,terminal_illness,Mexico_Philippines
Mexico,Philippines,1901,185,A,Mexico,False,,1716,Mexico,10.275675675675675,terminal_illness,Mexico_Philippines
Mexico,Philippines,1525,276,A,Mexico,False,,1249,Mexico,5.52536231884058,terminal_illness,Mexico_Philippines
Philippines,Mexico,1393,1275,A,Philippines,False,,118,Philippines,1.0925490196078431,terminal_illness,Mexico_Philippines
Philippines,Mexico,697,1965,A,Philippines,True,Philippines,1268,Mexico,2.8192252510760403,terminal_illness,Mexico_Philippines
Philippines,Mexico,1158,1373,A,Philippines,True,Philippines,215,Mexico,1.18566493955095,terminal_illness,Mexico_Philippines
Philippines,Mexico,1393,460,A,Philippines,False,,933,Philippines,3.0282608695652176,terminal_illness,Mexico_Philippines
Philippines,Mexico,1878,669,A,Philippines,False,,1209,Philippines,2.807174887892377,terminal_illness,Mexico_Philippines
Mexico,Philippines,703,223,A,Mexico,False,,480,Mexico,3.1524663677130045,terminal_illness,Mexico_Philippines
Mexico,Philippines,1919,1487,A,Mexico,False,,432,Mexico,1.2905178211163417,terminal_illness,Mexico_Philippines
Philippines,Mexico,254,1052,A,Philippines,True,Philippines,798,Mexico,4.141732283464567,terminal_illness,Mexico_Philippines
Philippines,Mexico,519,828,A,Philippines,True,Philippines,309,Mexico,1.5953757225433527,terminal_illness,Mexico_Philippines
Mexico,Philippines,758,463,A,Mexico,False,,295,Mexico,1.6371490280777539,terminal_illness,Mexico_Philippines
Mexico,Philippines,1595,879,A,Mexico,False,,716,Mexico,1.8145620022753128,terminal_illness,Mexico_Philippines
Philippines,Mexico,565,1508,A,Philippines,True,Philippines,943,Mexico,2.669026548672566,terminal_illness,Mexico_Philippines
Mexico,Philippines,1826,961,A,Mexico,False,,865,Mexico,1.9001040582726327,terminal_illness,Mexico_Philippines
Mexico,Philippines,1998,1738,A,Mexico,False,,260,Mexico,1.1495972382048332,terminal_illness,Mexico_Philippines
Philippines,Mexico,1173,1481,A,Philippines,True,Philippines,308,Mexico,1.2625745950554135,terminal_illness,Mexico_Philippines
Philippines,Mexico,177,21,A,Philippines,False,,156,Philippines,8.428571428571429,terminal_illness,Mexico_Philippines
Philippines,Mexico,1809,1752,A,Philippines,False,,57,Philippines,1.0325342465753424,terminal_illness,Mexico_Philippines
Mexico,Philippines,58,131,A,Mexico,True,Mexico,73,Philippines,2.2586206896551726,terminal_illness,Mexico_Philippines
Philippines,Mexico,1944,1399,A,Philippines,False,,545,Philippines,1.3895639742673338,terminal_illness,Mexico_Philippines
Philippines,Mexico,621,1114,A,Philippines,True,Philippines,493,Mexico,1.7938808373590982,terminal_illness,Mexico_Philippines
Mexico,Philippines,1590,895,A,Mexico,False,,695,Mexico,1.776536312849162,terminal_illness,Mexico_Philippines
Philippines,Mexico,169,1415,B,Mexico,False,,1246,Mexico,8.372781065088757,terminal_illness,Mexico_Philippines
Mexico,Philippines,1867,516,A,Mexico,False,,1351,Mexico,3.618217054263566,terminal_illness,Mexico_Philippines
Philippines,Mexico,268,478,A,Philippines,True,Philippines,210,Mexico,1.7835820895522387,terminal_illness,Mexico_Philippines
Philippines,Mexico,1041,1357,A,Philippines,True,Philippines,316,Mexico,1.3035542747358309,terminal_illness,Mexico_Philippines
Mexico,Philippines,1246,752,A,Mexico,False,,494,Mexico,1.6569148936170213,terminal_illness,Mexico_Philippines
Philippines,Mexico,1644,1528,A,Philippines,False,,116,Philippines,1.0759162303664922,terminal_illness,Mexico_Philippines
Philippines,Mexico,532,417,A,Philippines,False,,115,Philippines,1.275779376498801,terminal_illness,Mexico_Philippines
Mexico,Philippines,1409,1372,A,Mexico,False,,37,Mexico,1.0269679300291545,terminal_illness,Mexico_Philippines
Mexico,Philippines,380,1030,A,Mexico,True,Mexico,650,Philippines,2.710526315789474,terminal_illness,Mexico_Philippines
Mexico,Philippines,1545,924,A,Mexico,False,,621,Mexico,1.672077922077922,terminal_illness,Mexico_Philippines
Mexico,Philippines,1145,675,A,Mexico,False,,470,Mexico,1.6962962962962962,terminal_illness,Mexico_Philippines
Philippines,Mexico,589,1437,A,Philippines,True,Philippines,848,Mexico,2.4397283531409166,terminal_illness,Mexico_Philippines
Mexico,Philippines,1775,1635,A,Mexico,False,,140,Mexico,1.0856269113149848,terminal_illness,Mexico_Philippines
Philippines,Mexico,1786,737,A,Philippines,False,,1049,Philippines,2.423337856173677,terminal_illness,Mexico_Philippines
Philippines,Mexico,1471,260,A,Philippines,False,,1211,Philippines,5.657692307692308,terminal_illness,Mexico_Philippines
Mexico,Philippines,1010,1689,A,Mexico,True,Mexico,679,Philippines,1.6722772277227722,terminal_illness,Mexico_Philippines
Philippines,Mexico,1414,726,A,Philippines,False,,688,Philippines,1.9476584022038568,terminal_illness,Mexico_Philippines
Mexico,Philippines,327,513,A,Mexico,True,Mexico,186,Philippines,1.5688073394495412,terminal_illness,Mexico_Philippines
Philippines,Mexico,1748,1656,A,Philippines,False,,92,Philippines,1.0555555555555556,terminal_illness,Mexico_Philippines
Mexico,Philippines,516,1185,A,Mexico,True,Mexico,669,Philippines,2.296511627906977,terminal_illness,Mexico_Philippines
Mexico,Philippines,1560,1609,A,Mexico,True,Mexico,49,Philippines,1.0314102564102565,terminal_illness,Mexico_Philippines
Mexico,Philippines,630,1028,A,Mexico,True,Mexico,398,Philippines,1.6317460317460317,terminal_illness,Mexico_Philippines
Philippines,Mexico,315,1530,A,Philippines,True,Philippines,1215,Mexico,4.857142857142857,terminal_illness,Mexico_Philippines
Philippines,Mexico,188,1922,B,Mexico,False,,1734,Mexico,10.22340425531915,terminal_illness,Mexico_Philippines
