country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Pakistan,Philippines,114,1961,B,Philippines,False,,1847,Philippines,17.20175438596491,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,1977,1358,A,Pakistan,False,,619,Pakistan,1.4558173784977908,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,465,286,A,Pakistan,False,,179,Pakistan,1.6258741258741258,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,1572,1770,A,Pakistan,True,Pakistan,198,Philippines,1.1259541984732824,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,1307,1846,A,Pakistan,True,Pakistan,539,Philippines,1.4123947972456006,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,1850,199,A,Pakistan,False,,1651,Pakistan,9.296482412060302,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,280,31,A,Pakistan,False,,249,Pakistan,9.03225806451613,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,1351,1423,A,Philippines,True,Philippines,72,Pakistan,1.0532938564026646,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,1091,794,A,Pakistan,False,,297,Pakistan,1.3740554156171285,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,260,1179,A,Philippines,True,Philippines,919,Pakistan,4.5346153846153845,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,1841,1942,I'm,neither,False,,101,Pakistan,1.0548614883215643,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,1364,1550,A,Philippines,True,Philippines,186,Pakistan,1.1363636363636365,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,1556,804,A,Pakistan,False,,752,Pakistan,1.935323383084577,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,1438,180,A,Pakistan,False,,1258,Pakistan,7.988888888888889,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,1885,293,A,Pakistan,False,,1592,Pakistan,6.433447098976109,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,171,1926,A,Philippines,True,Philippines,1755,Pakistan,11.263157894736842,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,1152,1550,A,Philippines,True,Philippines,398,Pakistan,1.3454861111111112,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,261,169,A,Pakistan,False,,92,Pakistan,1.544378698224852,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,128,1460,A,Philippines,True,Philippines,1332,Pakistan,11.40625,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,1788,241,A,Pakistan,False,,1547,Pakistan,7.419087136929461,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,868,93,A,Philippines,False,,775,Philippines,9.333333333333334,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,1925,1954,A,Philippines,True,Philippines,29,Pakistan,1.015064935064935,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,256,1722,A,Philippines,True,Philippines,1466,Pakistan,6.7265625,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,1350,1163,A,Philippines,False,,187,Philippines,1.1607910576096303,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,619,633,A,Pakistan,True,Pakistan,14,Philippines,1.0226171243941842,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,1106,831,A,Philippines,False,,275,Philippines,1.3309265944645006,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,1676,348,A,Philippines,False,,1328,Philippines,4.816091954022989,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,348,833,A,Pakistan,True,Pakistan,485,Philippines,2.3936781609195403,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,1575,1449,A,Philippines,False,,126,Philippines,1.0869565217391304,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,545,551,A,Pakistan,True,Pakistan,6,Philippines,1.0110091743119265,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,436,1992,A,Pakistan,True,Pakistan,1556,Philippines,4.568807339449541,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,968,880,A,Philippines,False,,88,Philippines,1.1,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,762,232,A,Philippines,False,,530,Philippines,3.2844827586206895,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,1352,1246,A,Philippines,False,,106,Philippines,1.0850722311396468,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,586,717,A,Pakistan,True,Pakistan,131,Philippines,1.2235494880546076,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,1176,520,A,Philippines,False,,656,Philippines,2.2615384615384615,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,572,1718,A,Philippines,True,Philippines,1146,Pakistan,3.0034965034965033,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,991,1976,A,Philippines,True,Philippines,985,Pakistan,1.9939455095862766,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,1431,1247,A,Philippines,False,,184,Philippines,1.1475541299117884,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,244,948,A,Philippines,True,Philippines,704,Pakistan,3.8852459016393444,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,1417,1441,A,Philippines,True,Philippines,24,Pakistan,1.0169371912491179,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,236,1036,A,Pakistan,True,Pakistan,800,Philippines,4.389830508474576,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,640,1453,A,Pakistan,True,Pakistan,813,Philippines,2.2703125,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,301,1080,A,Philippines,True,Philippines,779,Pakistan,3.5880398671096345,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,1210,1520,A,Philippines,True,Philippines,310,Pakistan,1.256198347107438,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,1218,1238,A,Philippines,True,Philippines,20,Pakistan,1.0164203612479474,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,1543,91,A,Philippines,False,,1452,Philippines,16.956043956043956,terminal_illness,Pakistan_Philippines
Pakistan,Philippines,1250,249,A,Pakistan,False,,1001,Pakistan,5.020080321285141,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,853,1501,A,Philippines,True,Philippines,648,Pakistan,1.7596717467760845,terminal_illness,Pakistan_Philippines
Philippines,Pakistan,1559,1954,A,Philippines,True,Philippines,395,Pakistan,1.2533675432969853,terminal_illness,Pakistan_Philippines
