country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Philippines,Palestine,86,379,I'm,neither,False,,293,Palestine,4.406976744186046,terminal_illness,Palestine_Philippines
Philippines,Palestine,1677,511,A,Philippines,False,,1166,Philippines,3.2818003913894325,terminal_illness,Palestine_Philippines
Philippines,Palestine,1954,794,A,Philippines,False,,1160,Philippines,2.46095717884131,terminal_illness,Palestine_Philippines
Palestine,Philippines,1931,571,A,Palestine,False,,1360,Palestine,3.3817863397548162,terminal_illness,Palestine_Philippines
Philippines,Palestine,1010,1524,I'm,neither,False,,514,Palestine,1.508910891089109,terminal_illness,Palestine_Philippines
Philippines,Palestine,1666,1759,A,Philippines,True,Philippines,93,Palestine,1.0558223289315727,terminal_illness,Palestine_Philippines
Palestine,Philippines,1661,285,A,Palestine,False,,1376,Palestine,5.828070175438596,terminal_illness,Palestine_Philippines
Philippines,Palestine,768,1772,A,Philippines,True,Philippines,1004,Palestine,2.3072916666666665,terminal_illness,Palestine_Philippines
Palestine,Philippines,81,792,A,Palestine,True,Palestine,711,Philippines,9.777777777777779,terminal_illness,Palestine_Philippines
Palestine,Philippines,1195,1729,A,Palestine,True,Palestine,534,Philippines,1.4468619246861925,terminal_illness,Palestine_Philippines
Philippines,Palestine,734,1578,A,Philippines,True,Philippines,844,Palestine,2.1498637602179835,terminal_illness,Palestine_Philippines
Philippines,Palestine,147,1979,B,Palestine,False,,1832,Palestine,13.462585034013605,terminal_illness,Palestine_Philippines
Philippines,Palestine,925,1390,A,Philippines,True,Philippines,465,Palestine,1.5027027027027027,terminal_illness,Palestine_Philippines
Palestine,Philippines,1895,1469,I'm,neither,False,,426,Palestine,1.28999319264806,terminal_illness,Palestine_Philippines
Palestine,Philippines,983,33,A,Palestine,False,,950,Palestine,29.78787878787879,terminal_illness,Palestine_Philippines
Palestine,Philippines,252,373,A,Palestine,True,Palestine,121,Philippines,1.4801587301587302,terminal_illness,Palestine_Philippines
Philippines,Palestine,1581,1768,A,Philippines,True,Philippines,187,Palestine,1.118279569892473,terminal_illness,Palestine_Philippines
Philippines,Palestine,317,956,A,Philippines,True,Philippines,639,Palestine,3.0157728706624605,terminal_illness,Palestine_Philippines
Palestine,Philippines,427,986,A,Palestine,True,Palestine,559,Philippines,2.309133489461358,terminal_illness,Palestine_Philippines
Philippines,Palestine,1201,316,A,Philippines,False,,885,Philippines,3.800632911392405,terminal_illness,Palestine_Philippines
Palestine,Philippines,1968,1698,A,Palestine,False,,270,Palestine,1.1590106007067138,terminal_illness,Palestine_Philippines
Palestine,Philippines,1054,116,A,Palestine,False,,938,Palestine,9.086206896551724,terminal_illness,Palestine_Philippines
Palestine,Philippines,244,7,A,Palestine,False,,237,Palestine,34.857142857142854,terminal_illness,Palestine_Philippines
Palestine,Philippines,1010,1089,I'm,neither,False,,79,Philippines,1.0782178217821783,terminal_illness,Palestine_Philippines
Palestine,Philippines,1474,1032,I'm,neither,False,,442,Palestine,1.428294573643411,terminal_illness,Palestine_Philippines
Palestine,Philippines,1471,1336,I'm,neither,False,,135,Palestine,1.1010479041916168,terminal_illness,Palestine_Philippines
