country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
India,Russia,477,161,A,India,False,,316,India,2.9627329192546585,terminal_illness,Russia_India
Russia,India,1807,1488,A,Russia,False,,319,Russia,1.2143817204301075,terminal_illness,Russia_India
Russia,India,78,261,B,India,False,,183,India,3.3461538461538463,terminal_illness,Russia_India
Russia,India,1562,161,A,Russia,False,,1401,Russia,9.701863354037267,terminal_illness,Russia_India
India,Russia,1624,1908,A,India,True,India,284,Russia,1.1748768472906403,terminal_illness,Russia_India
Russia,India,708,1070,B,India,False,,362,India,1.5112994350282485,terminal_illness,Russia_India
Russia,India,1223,569,A,Russia,False,,654,Russia,2.149384885764499,terminal_illness,Russia_India
India,Russia,821,1963,A,India,True,India,1142,Russia,2.3909866017052375,terminal_illness,Russia_India
Russia,India,1959,153,A,Russia,False,,1806,Russia,12.803921568627452,terminal_illness,Russia_India
Russia,India,241,53,A,Russia,False,,188,Russia,4.547169811320755,terminal_illness,Russia_India
India,Russia,1654,1052,A,India,False,,602,India,1.5722433460076046,terminal_illness,Russia_India
India,Russia,861,637,A,India,False,,224,India,1.3516483516483517,terminal_illness,Russia_India
India,Russia,647,880,A,India,True,India,233,Russia,1.3601236476043277,terminal_illness,Russia_India
India,Russia,1963,1826,A,India,False,,137,India,1.075027382256298,terminal_illness,Russia_India
India,Russia,1161,491,A,India,False,,670,India,2.364562118126273,terminal_illness,Russia_India
India,Russia,1526,1736,A,India,True,India,210,Russia,1.1376146788990826,terminal_illness,Russia_India
India,Russia,654,1329,A,India,True,India,675,Russia,2.032110091743119,terminal_illness,Russia_India
Russia,India,1071,20,A,Russia,False,,1051,Russia,53.55,terminal_illness,Russia_India
India,Russia,207,1898,A,India,True,India,1691,Russia,9.169082125603865,terminal_illness,Russia_India
Russia,India,403,1297,B,India,False,,894,India,3.2183622828784118,terminal_illness,Russia_India
India,Russia,1582,1652,A,India,True,India,70,Russia,1.0442477876106195,terminal_illness,Russia_India
India,Russia,1092,779,A,India,False,,313,India,1.4017971758664955,terminal_illness,Russia_India
India,Russia,831,1743,A,India,True,India,912,Russia,2.0974729241877257,terminal_illness,Russia_India
India,Russia,889,358,A,India,False,,531,India,2.483240223463687,terminal_illness,Russia_India
India,Russia,1158,268,A,India,False,,890,India,4.32089552238806,terminal_illness,Russia_India
India,Russia,1570,1919,A,India,True,India,349,Russia,1.2222929936305733,terminal_illness,Russia_India
India,Russia,59,983,A,India,True,India,924,Russia,16.661016949152543,terminal_illness,Russia_India
India,Russia,825,1127,A,India,True,India,302,Russia,1.366060606060606,terminal_illness,Russia_India
India,Russia,1406,162,A,India,False,,1244,India,8.679012345679013,terminal_illness,Russia_India
India,Russia,591,1285,A,India,True,India,694,Russia,2.1742808798646363,terminal_illness,Russia_India
India,Russia,943,787,A,India,False,,156,India,1.1982210927573063,terminal_illness,Russia_India
India,Russia,415,1184,A,India,True,India,769,Russia,2.853012048192771,terminal_illness,Russia_India
Russia,India,509,747,B,India,False,,238,India,1.4675834970530452,terminal_illness,Russia_India
Russia,India,1608,1014,A,Russia,False,,594,Russia,1.5857988165680474,terminal_illness,Russia_India
India,Russia,170,1999,A,India,True,India,1829,Russia,11.758823529411766,terminal_illness,Russia_India
Russia,India,1517,406,A,Russia,False,,1111,Russia,3.7364532019704435,terminal_illness,Russia_India
Russia,India,806,245,A,Russia,False,,561,Russia,3.289795918367347,terminal_illness,Russia_India
India,Russia,1743,950,A,India,False,,793,India,1.8347368421052632,terminal_illness,Russia_India
India,Russia,1530,1957,A,India,True,India,427,Russia,1.2790849673202613,terminal_illness,Russia_India
Russia,India,901,1896,B,India,False,,995,India,2.104328523862375,terminal_illness,Russia_India
India,Russia,311,1538,A,India,True,India,1227,Russia,4.945337620578778,terminal_illness,Russia_India
Russia,India,1345,1875,A,Russia,True,Russia,530,India,1.3940520446096654,terminal_illness,Russia_India
Russia,India,528,1159,B,India,False,,631,India,2.195075757575758,terminal_illness,Russia_India
Russia,India,593,1801,B,India,False,,1208,India,3.0370994940978076,terminal_illness,Russia_India
India,Russia,1109,1632,A,India,True,India,523,Russia,1.4715960324616773,terminal_illness,Russia_India
Russia,India,46,997,B,India,False,,951,India,21.67391304347826,terminal_illness,Russia_India
Russia,India,369,1034,B,India,False,,665,India,2.8021680216802167,terminal_illness,Russia_India
Russia,India,1181,308,A,Russia,False,,873,Russia,3.8344155844155843,terminal_illness,Russia_India
India,Russia,1686,109,A,India,False,,1577,India,15.46788990825688,terminal_illness,Russia_India
India,Russia,1076,664,A,India,False,,412,India,1.6204819277108433,terminal_illness,Russia_India
