country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Mexico,Russia,1345,282,A,Mexico,False,,1063,Mexico,4.7695035460992905,terminal_illness,Russia_Mexico
Mexico,Russia,1925,1891,A,Mexico,False,,34,Mexico,1.0179799048122686,terminal_illness,Russia_Mexico
Mexico,Russia,986,159,A,Mexico,False,,827,Mexico,6.20125786163522,terminal_illness,Russia_Mexico
Russia,Mexico,783,1469,A,Russia,True,Russia,686,Mexico,1.876117496807152,terminal_illness,Russia_Mexico
Mexico,Russia,1048,107,A,Mexico,False,,941,Mexico,9.794392523364486,terminal_illness,Russia_Mexico
Russia,Mexico,429,1,A,Russia,False,,428,Russia,429.0,terminal_illness,Russia_Mexico
Russia,Mexico,1994,620,A,Russia,False,,1374,Russia,3.2161290322580647,terminal_illness,Russia_Mexico
Russia,Mexico,136,1454,B,Mexico,False,,1318,Mexico,10.691176470588236,terminal_illness,Russia_Mexico
Russia,Mexico,813,224,A,Russia,False,,589,Russia,3.6294642857142856,terminal_illness,Russia_Mexico
Mexico,Russia,1573,1125,A,Mexico,False,,448,Mexico,1.3982222222222223,terminal_illness,Russia_Mexico
Mexico,Russia,907,1621,A,Mexico,True,Mexico,714,Russia,1.7872105843439912,terminal_illness,Russia_Mexico
Mexico,Russia,1618,898,A,Mexico,False,,720,Mexico,1.8017817371937639,terminal_illness,Russia_Mexico
Mexico,Russia,1560,1557,A,Mexico,False,,3,Mexico,1.001926782273603,terminal_illness,Russia_Mexico
Russia,Mexico,143,1013,B,Mexico,False,,870,Mexico,7.083916083916084,terminal_illness,Russia_Mexico
Russia,Mexico,877,1152,A,Russia,True,Russia,275,Mexico,1.313568985176739,terminal_illness,Russia_Mexico
Russia,Mexico,371,950,B,Mexico,False,,579,Mexico,2.560646900269542,terminal_illness,Russia_Mexico
Mexico,Russia,1864,1194,A,Mexico,False,,670,Mexico,1.5611390284757118,terminal_illness,Russia_Mexico
Russia,Mexico,1888,1635,A,Russia,False,,253,Russia,1.1547400611620795,terminal_illness,Russia_Mexico
Russia,Mexico,1632,1195,A,Russia,False,,437,Russia,1.3656903765690376,terminal_illness,Russia_Mexico
Russia,Mexico,59,1822,B,Mexico,False,,1763,Mexico,30.88135593220339,terminal_illness,Russia_Mexico
Russia,Mexico,1261,1589,A,Russia,True,Russia,328,Mexico,1.260111022997621,terminal_illness,Russia_Mexico
Mexico,Russia,1803,221,A,Mexico,False,,1582,Mexico,8.158371040723981,terminal_illness,Russia_Mexico
Mexico,Russia,100,562,A,Mexico,True,Mexico,462,Russia,5.62,terminal_illness,Russia_Mexico
Mexico,Russia,866,1161,A,Mexico,True,Mexico,295,Russia,1.3406466512702078,terminal_illness,Russia_Mexico
Mexico,Russia,1718,1663,A,Mexico,False,,55,Mexico,1.0330727600721588,terminal_illness,Russia_Mexico
Mexico,Russia,699,1948,A,Mexico,True,Mexico,1249,Russia,2.786838340486409,terminal_illness,Russia_Mexico
Russia,Mexico,108,1008,B,Mexico,False,,900,Mexico,9.333333333333334,terminal_illness,Russia_Mexico
Russia,Mexico,165,1849,B,Mexico,False,,1684,Mexico,11.206060606060607,terminal_illness,Russia_Mexico
Russia,Mexico,838,317,A,Russia,False,,521,Russia,2.643533123028391,terminal_illness,Russia_Mexico
Russia,Mexico,880,1579,B,Mexico,False,,699,Mexico,1.794318181818182,terminal_illness,Russia_Mexico
Russia,Mexico,173,1090,A,Russia,True,Russia,917,Mexico,6.300578034682081,terminal_illness,Russia_Mexico
Russia,Mexico,1321,790,A,Russia,False,,531,Russia,1.6721518987341772,terminal_illness,Russia_Mexico
Russia,Mexico,233,82,A,Russia,False,,151,Russia,2.841463414634146,terminal_illness,Russia_Mexico
Russia,Mexico,1653,119,A,Russia,False,,1534,Russia,13.890756302521009,terminal_illness,Russia_Mexico
Russia,Mexico,1459,229,A,Russia,False,,1230,Russia,6.37117903930131,terminal_illness,Russia_Mexico
Mexico,Russia,811,850,A,Mexico,True,Mexico,39,Russia,1.0480887792848335,terminal_illness,Russia_Mexico
Mexico,Russia,631,255,A,Mexico,False,,376,Mexico,2.4745098039215687,terminal_illness,Russia_Mexico
Russia,Mexico,27,816,B,Mexico,False,,789,Mexico,30.22222222222222,terminal_illness,Russia_Mexico
Mexico,Russia,564,859,A,Mexico,True,Mexico,295,Russia,1.5230496453900708,terminal_illness,Russia_Mexico
Mexico,Russia,332,916,A,Mexico,True,Mexico,584,Russia,2.7590361445783134,terminal_illness,Russia_Mexico
Mexico,Russia,1517,1028,A,Mexico,False,,489,Mexico,1.4756809338521402,terminal_illness,Russia_Mexico
Mexico,Russia,247,1494,A,Mexico,True,Mexico,1247,Russia,6.048582995951417,terminal_illness,Russia_Mexico
Mexico,Russia,645,1384,A,Mexico,True,Mexico,739,Russia,2.145736434108527,terminal_illness,Russia_Mexico
Russia,Mexico,157,1801,B,Mexico,False,,1644,Mexico,11.471337579617835,terminal_illness,Russia_Mexico
Mexico,Russia,1977,1264,A,Mexico,False,,713,Mexico,1.5640822784810127,terminal_illness,Russia_Mexico
Russia,Mexico,1453,1835,I'm,neither,False,,382,Mexico,1.262904335856848,terminal_illness,Russia_Mexico
Russia,Mexico,1785,589,A,Russia,False,,1196,Russia,3.030560271646859,terminal_illness,Russia_Mexico
Russia,Mexico,118,821,B,Mexico,False,,703,Mexico,6.9576271186440675,terminal_illness,Russia_Mexico
Mexico,Russia,1306,1080,A,Mexico,False,,226,Mexico,1.2092592592592593,terminal_illness,Russia_Mexico
Mexico,Russia,1172,621,A,Mexico,False,,551,Mexico,1.8872785829307568,terminal_illness,Russia_Mexico
