country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
China,Ukraine,569,1585,A,China,True,China,1016,Ukraine,2.7855887521968365,terminal_illness,Ukraine_China
Ukraine,China,807,669,A,Ukraine,False,,138,Ukraine,1.2062780269058295,terminal_illness,Ukraine_China
China,Ukraine,88,1072,B,Ukraine,False,,984,Ukraine,12.181818181818182,terminal_illness,Ukraine_China
China,Ukraine,755,1451,A,China,True,China,696,Ukraine,1.9218543046357617,terminal_illness,Ukraine_China
China,Ukraine,457,112,A,China,False,,345,China,4.080357142857143,terminal_illness,Ukraine_China
Ukraine,China,1397,1966,I'm,neither,False,,569,China,1.4073013600572655,terminal_illness,Ukraine_China
China,Ukraine,1109,1928,A,China,True,China,819,Ukraine,1.738503155996393,terminal_illness,Ukraine_China
China,Ukraine,309,1100,A,China,True,China,791,Ukraine,3.559870550161812,terminal_illness,Ukraine_China
Ukraine,China,1966,1208,A,Ukraine,False,,758,Ukraine,1.6274834437086092,terminal_illness,Ukraine_China
Ukraine,China,520,336,A,Ukraine,False,,184,Ukraine,1.5476190476190477,terminal_illness,Ukraine_China
Ukraine,China,1694,1287,A,Ukraine,False,,407,Ukraine,1.3162393162393162,terminal_illness,Ukraine_China
Ukraine,China,95,579,I'm,neither,False,,484,China,6.094736842105263,terminal_illness,Ukraine_China
China,Ukraine,1613,487,A,China,False,,1126,China,3.3121149897330597,terminal_illness,Ukraine_China
China,Ukraine,1332,1940,I'm,neither,False,,608,Ukraine,1.4564564564564564,terminal_illness,Ukraine_China
China,Ukraine,618,1474,A,China,True,China,856,Ukraine,2.385113268608414,terminal_illness,Ukraine_China
China,Ukraine,1291,435,A,China,False,,856,China,2.967816091954023,terminal_illness,Ukraine_China
Ukraine,China,1809,1388,A,Ukraine,False,,421,Ukraine,1.303314121037464,terminal_illness,Ukraine_China
Ukraine,China,394,1701,A,Ukraine,True,Ukraine,1307,China,4.317258883248731,terminal_illness,Ukraine_China
Ukraine,China,1268,413,A,Ukraine,False,,855,Ukraine,3.070217917675545,terminal_illness,Ukraine_China
Ukraine,China,572,626,A,Ukraine,True,Ukraine,54,China,1.0944055944055944,terminal_illness,Ukraine_China
China,Ukraine,1143,124,A,China,False,,1019,China,9.21774193548387,terminal_illness,Ukraine_China
China,Ukraine,1459,554,A,China,False,,905,China,2.6335740072202167,terminal_illness,Ukraine_China
China,Ukraine,431,1214,A,China,True,China,783,Ukraine,2.816705336426914,terminal_illness,Ukraine_China
China,Ukraine,716,1577,I'm,neither,False,,861,Ukraine,2.202513966480447,terminal_illness,Ukraine_China
China,Ukraine,666,1567,A,China,True,China,901,Ukraine,2.3528528528528527,terminal_illness,Ukraine_China
Ukraine,China,152,908,A,Ukraine,True,Ukraine,756,China,5.973684210526316,terminal_illness,Ukraine_China
China,Ukraine,671,1771,A,China,True,China,1100,Ukraine,2.639344262295082,terminal_illness,Ukraine_China
China,Ukraine,684,44,A,China,False,,640,China,15.545454545454545,terminal_illness,Ukraine_China
China,Ukraine,1398,901,A,China,False,,497,China,1.5516093229744727,terminal_illness,Ukraine_China
China,Ukraine,807,1954,A,China,True,China,1147,Ukraine,2.4213135068153657,terminal_illness,Ukraine_China
China,Ukraine,1465,1047,A,China,False,,418,China,1.399235912129895,terminal_illness,Ukraine_China
Ukraine,China,1221,911,A,Ukraine,False,,310,Ukraine,1.340285400658617,terminal_illness,Ukraine_China
Ukraine,China,1287,913,A,Ukraine,False,,374,Ukraine,1.4096385542168675,terminal_illness,Ukraine_China
China,Ukraine,555,521,A,China,False,,34,China,1.0652591170825336,terminal_illness,Ukraine_China
Ukraine,China,507,641,A,Ukraine,True,Ukraine,134,China,1.2642998027613412,terminal_illness,Ukraine_China
Ukraine,China,987,1019,A,Ukraine,True,Ukraine,32,China,1.03242147922999,terminal_illness,Ukraine_China
Ukraine,China,510,505,A,Ukraine,False,,5,Ukraine,1.00990099009901,terminal_illness,Ukraine_China
Ukraine,China,1645,373,A,Ukraine,False,,1272,Ukraine,4.410187667560321,terminal_illness,Ukraine_China
Ukraine,China,1971,1300,A,Ukraine,False,,671,Ukraine,1.5161538461538462,terminal_illness,Ukraine_China
Ukraine,China,993,1922,A,Ukraine,True,Ukraine,929,China,1.9355488418932527,terminal_illness,Ukraine_China
Ukraine,China,438,511,A,Ukraine,True,Ukraine,73,China,1.1666666666666667,terminal_illness,Ukraine_China
China,Ukraine,1120,1704,A,China,True,China,584,Ukraine,1.5214285714285714,terminal_illness,Ukraine_China
China,Ukraine,1389,628,A,China,False,,761,China,2.211783439490446,terminal_illness,Ukraine_China
China,Ukraine,1291,804,A,China,False,,487,China,1.605721393034826,terminal_illness,Ukraine_China
Ukraine,China,222,1152,I'm,neither,False,,930,China,5.1891891891891895,terminal_illness,Ukraine_China
Ukraine,China,1114,264,A,Ukraine,False,,850,Ukraine,4.21969696969697,terminal_illness,Ukraine_China
Ukraine,China,1402,1118,A,Ukraine,False,,284,Ukraine,1.2540250447227193,terminal_illness,Ukraine_China
Ukraine,China,1728,675,A,Ukraine,False,,1053,Ukraine,2.56,terminal_illness,Ukraine_China
Ukraine,China,1256,1446,A,Ukraine,True,Ukraine,190,China,1.1512738853503184,terminal_illness,Ukraine_China
Ukraine,China,876,1688,A,Ukraine,True,Ukraine,812,China,1.9269406392694064,terminal_illness,Ukraine_China
