country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Ukraine,India,783,1825,A,Ukraine,True,Ukraine,1042,India,2.330779054916986,terminal_illness,Ukraine_India
India,Ukraine,675,334,A,India,False,,341,India,2.0209580838323356,terminal_illness,Ukraine_India
India,Ukraine,1219,955,A,India,False,,264,India,1.2764397905759162,terminal_illness,Ukraine_India
Ukraine,India,886,1780,A,Ukraine,True,Ukraine,894,India,2.0090293453724604,terminal_illness,Ukraine_India
India,Ukraine,549,1898,A,India,True,India,1349,Ukraine,3.4571948998178508,terminal_illness,Ukraine_India
India,Ukraine,59,1392,I'm,neither,False,,1333,Ukraine,23.593220338983052,terminal_illness,Ukraine_India
Ukraine,India,597,1910,A,Ukraine,True,Ukraine,1313,India,3.1993299832495814,terminal_illness,Ukraine_India
Ukraine,India,1756,768,A,Ukraine,False,,988,Ukraine,2.2864583333333335,terminal_illness,Ukraine_India
Ukraine,India,455,1304,A,Ukraine,True,Ukraine,849,India,2.865934065934066,terminal_illness,Ukraine_India
Ukraine,India,1255,1699,A,Ukraine,True,Ukraine,444,India,1.353784860557769,terminal_illness,Ukraine_India
Ukraine,India,1395,299,A,Ukraine,False,,1096,Ukraine,4.665551839464883,terminal_illness,Ukraine_India
Ukraine,India,685,1378,A,Ukraine,True,Ukraine,693,India,2.011678832116788,terminal_illness,Ukraine_India
India,Ukraine,30,1461,I'm,neither,False,,1431,Ukraine,48.7,terminal_illness,Ukraine_India
India,Ukraine,1249,549,A,India,False,,700,India,2.275045537340619,terminal_illness,Ukraine_India
India,Ukraine,252,771,A,India,True,India,519,Ukraine,3.0595238095238093,terminal_illness,Ukraine_India
India,Ukraine,516,1485,I'm,neither,False,,969,Ukraine,2.877906976744186,terminal_illness,Ukraine_India
India,Ukraine,255,1838,I'm,neither,False,,1583,Ukraine,7.207843137254902,terminal_illness,Ukraine_India
Ukraine,India,252,741,A,Ukraine,True,Ukraine,489,India,2.9404761904761907,terminal_illness,Ukraine_India
Ukraine,India,1419,148,A,Ukraine,False,,1271,Ukraine,9.587837837837839,terminal_illness,Ukraine_India
Ukraine,India,735,932,A,Ukraine,True,Ukraine,197,India,1.2680272108843538,terminal_illness,Ukraine_India
Ukraine,India,1167,1194,A,Ukraine,True,Ukraine,27,India,1.0231362467866323,terminal_illness,Ukraine_India
Ukraine,India,1674,1092,A,Ukraine,False,,582,Ukraine,1.532967032967033,terminal_illness,Ukraine_India
Ukraine,India,10,1946,I'm,neither,False,,1936,India,194.6,terminal_illness,Ukraine_India
Ukraine,India,207,1698,A,Ukraine,True,Ukraine,1491,India,8.202898550724637,terminal_illness,Ukraine_India
Ukraine,India,1933,1646,A,Ukraine,False,,287,Ukraine,1.1743620899149454,terminal_illness,Ukraine_India
Ukraine,India,625,24,A,Ukraine,False,,601,Ukraine,26.041666666666668,terminal_illness,Ukraine_India
Ukraine,India,318,645,I'm,neither,False,,327,India,2.0283018867924527,terminal_illness,Ukraine_India
Ukraine,India,1338,358,A,Ukraine,False,,980,Ukraine,3.7374301675977653,terminal_illness,Ukraine_India
India,Ukraine,935,1210,I'm,neither,False,,275,Ukraine,1.2941176470588236,terminal_illness,Ukraine_India
Ukraine,India,501,446,A,Ukraine,False,,55,Ukraine,1.1233183856502242,terminal_illness,Ukraine_India
India,Ukraine,11,249,I'm,neither,False,,238,Ukraine,22.636363636363637,terminal_illness,Ukraine_India
India,Ukraine,127,61,A,India,False,,66,India,2.081967213114754,terminal_illness,Ukraine_India
Ukraine,India,699,71,A,Ukraine,False,,628,Ukraine,9.845070422535212,terminal_illness,Ukraine_India
India,Ukraine,1250,1548,I'm,neither,False,,298,Ukraine,1.2384,terminal_illness,Ukraine_India
Ukraine,India,1123,1562,I'm,neither,False,,439,India,1.3909171861086376,terminal_illness,Ukraine_India
Ukraine,India,750,1218,A,Ukraine,True,Ukraine,468,India,1.624,terminal_illness,Ukraine_India
India,Ukraine,1295,1198,A,India,False,,97,India,1.0809682804674456,terminal_illness,Ukraine_India
Ukraine,India,1172,718,A,Ukraine,False,,454,Ukraine,1.6323119777158774,terminal_illness,Ukraine_India
India,Ukraine,473,40,A,India,False,,433,India,11.825,terminal_illness,Ukraine_India
Ukraine,India,712,824,A,Ukraine,True,Ukraine,112,India,1.1573033707865168,terminal_illness,Ukraine_India
Ukraine,India,806,1727,A,Ukraine,True,Ukraine,921,India,2.142679900744417,terminal_illness,Ukraine_India
Ukraine,India,1066,793,A,Ukraine,False,,273,Ukraine,1.3442622950819672,terminal_illness,Ukraine_India
India,Ukraine,1138,1365,A,India,True,India,227,Ukraine,1.1994727592267136,terminal_illness,Ukraine_India
Ukraine,India,1842,43,A,Ukraine,False,,1799,Ukraine,42.83720930232558,terminal_illness,Ukraine_India
Ukraine,India,1578,875,A,Ukraine,False,,703,Ukraine,1.8034285714285714,terminal_illness,Ukraine_India
India,Ukraine,1943,1613,A,India,False,,330,India,1.2045877247365158,terminal_illness,Ukraine_India
India,Ukraine,1231,807,A,India,False,,424,India,1.5254027261462206,terminal_illness,Ukraine_India
Ukraine,India,1243,1690,As,neither,False,,447,India,1.3596138374899436,terminal_illness,Ukraine_India
India,Ukraine,46,1887,I'm,neither,False,,1841,Ukraine,41.02173913043478,terminal_illness,Ukraine_India
Ukraine,India,1431,1230,A,Ukraine,False,,201,Ukraine,1.1634146341463414,terminal_illness,Ukraine_India
