country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Philippines,Ukraine,253,588,A,Philippines,True,Philippines,335,Ukraine,2.324110671936759,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,777,1913,A,Ukraine,True,Ukraine,1136,Philippines,2.462033462033462,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,1899,755,A,Philippines,False,,1144,Philippines,2.51523178807947,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,748,1525,A,Philippines,True,Philippines,777,Ukraine,2.0387700534759357,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,1075,1048,A,Ukraine,False,,27,Ukraine,1.025763358778626,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,374,1055,A,Philippines,True,Philippines,681,Ukraine,2.820855614973262,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,1876,1663,A,Philippines,False,,213,Philippines,1.1280817799158147,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,178,97,A,Ukraine,False,,81,Ukraine,1.8350515463917525,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,372,491,A,Philippines,True,Philippines,119,Ukraine,1.3198924731182795,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,345,1876,A,Ukraine,True,Ukraine,1531,Philippines,5.43768115942029,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,1477,114,A,Ukraine,False,,1363,Ukraine,12.956140350877194,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,1621,429,A,Philippines,False,,1192,Philippines,3.7785547785547786,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,1260,1718,A,Philippines,True,Philippines,458,Ukraine,1.3634920634920635,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,944,321,A,Ukraine,False,,623,Ukraine,2.940809968847352,terminal_illness,Ukraine_Philippines
Philippines,Ukraine,730,200,A,Philippines,False,,530,Philippines,3.65,terminal_illness,Ukraine_Philippines
Ukraine,Philippines,297,1888,A,Ukraine,True,Ukraine,1591,Philippines,6.356902356902357,terminal_illness,Ukraine_Philippines
