country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Ukraine,United States,416,785,A,Ukraine,True,Ukraine,369,United States,1.8870192307692308,terminal_illness,United States_Ukraine
United States,Ukraine,685,1484,A,United States,True,United States,799,Ukraine,2.1664233576642338,terminal_illness,United States_Ukraine
United States,Ukraine,199,102,A,United States,False,,97,United States,1.9509803921568627,terminal_illness,United States_Ukraine
United States,Ukraine,669,1032,A,United States,True,United States,363,Ukraine,1.5426008968609866,terminal_illness,United States_Ukraine
Ukraine,United States,267,1854,A,Ukraine,True,Ukraine,1587,United States,6.943820224719101,terminal_illness,United States_Ukraine
United States,Ukraine,1995,1945,A,United States,False,,50,United States,1.025706940874036,terminal_illness,United States_Ukraine
United States,Ukraine,1732,1491,I'm,neither,False,,241,United States,1.1616364855801475,terminal_illness,United States_Ukraine
Ukraine,United States,962,1531,A,Ukraine,True,Ukraine,569,United States,1.5914760914760915,terminal_illness,United States_Ukraine
Ukraine,United States,852,1963,A,Ukraine,True,Ukraine,1111,United States,2.3039906103286385,terminal_illness,United States_Ukraine
Ukraine,United States,1070,1443,A,Ukraine,True,Ukraine,373,United States,1.3485981308411215,terminal_illness,United States_Ukraine
Ukraine,United States,1084,1252,I'm,neither,False,,168,United States,1.154981549815498,terminal_illness,United States_Ukraine
United States,Ukraine,1210,1025,A,United States,False,,185,United States,1.1804878048780487,terminal_illness,United States_Ukraine
United States,Ukraine,319,1621,B,Ukraine,False,,1302,Ukraine,5.081504702194358,terminal_illness,United States_Ukraine
Ukraine,United States,1423,1175,A,Ukraine,False,,248,Ukraine,1.211063829787234,terminal_illness,United States_Ukraine
United States,Ukraine,689,27,A,United States,False,,662,United States,25.51851851851852,terminal_illness,United States_Ukraine
Ukraine,United States,607,655,A,Ukraine,True,Ukraine,48,United States,1.0790774299835255,terminal_illness,United States_Ukraine
Ukraine,United States,873,1941,A,Ukraine,True,Ukraine,1068,United States,2.223367697594502,terminal_illness,United States_Ukraine
United States,Ukraine,53,520,B,Ukraine,False,,467,Ukraine,9.81132075471698,terminal_illness,United States_Ukraine
Ukraine,United States,1757,1632,A,Ukraine,False,,125,Ukraine,1.076593137254902,terminal_illness,United States_Ukraine
United States,Ukraine,1055,1986,A,United States,True,United States,931,Ukraine,1.8824644549763032,terminal_illness,United States_Ukraine
United States,Ukraine,1039,1721,B,Ukraine,False,,682,Ukraine,1.656400384985563,terminal_illness,United States_Ukraine
United States,Ukraine,1366,74,A,United States,False,,1292,United States,18.45945945945946,terminal_illness,United States_Ukraine
Ukraine,United States,1133,1082,A,Ukraine,False,,51,Ukraine,1.0471349353049908,terminal_illness,United States_Ukraine
Ukraine,United States,1468,1328,A,Ukraine,False,,140,Ukraine,1.105421686746988,terminal_illness,United States_Ukraine
United States,Ukraine,1251,1755,A,United States,True,United States,504,Ukraine,1.4028776978417266,terminal_illness,United States_Ukraine
Ukraine,United States,1589,827,A,Ukraine,False,,762,Ukraine,1.9214026602176542,terminal_illness,United States_Ukraine
United States,Ukraine,1438,1801,A,United States,True,United States,363,Ukraine,1.2524339360222532,terminal_illness,United States_Ukraine
United States,Ukraine,1142,471,A,United States,False,,671,United States,2.424628450106157,terminal_illness,United States_Ukraine
Ukraine,United States,1154,276,A,Ukraine,False,,878,Ukraine,4.181159420289855,terminal_illness,United States_Ukraine
Ukraine,United States,1765,205,A,Ukraine,False,,1560,Ukraine,8.609756097560975,terminal_illness,United States_Ukraine
Ukraine,United States,457,8,A,Ukraine,False,,449,Ukraine,57.125,terminal_illness,United States_Ukraine
Ukraine,United States,1495,1470,A,Ukraine,False,,25,Ukraine,1.0170068027210883,terminal_illness,United States_Ukraine
United States,Ukraine,549,1129,I'm,neither,False,,580,Ukraine,2.0564663023679417,terminal_illness,United States_Ukraine
Ukraine,United States,587,1890,A,Ukraine,True,Ukraine,1303,United States,3.2197614991482113,terminal_illness,United States_Ukraine
Ukraine,United States,357,925,A,Ukraine,True,Ukraine,568,United States,2.5910364145658265,terminal_illness,United States_Ukraine
Ukraine,United States,1919,1852,I'm,neither,False,,67,Ukraine,1.0361771058315334,terminal_illness,United States_Ukraine
United States,Ukraine,1305,14,A,United States,False,,1291,United States,93.21428571428571,terminal_illness,United States_Ukraine
Ukraine,United States,983,1421,A,Ukraine,True,Ukraine,438,United States,1.4455747711088505,terminal_illness,United States_Ukraine
United States,Ukraine,1072,1802,A,United States,True,United States,730,Ukraine,1.6809701492537314,terminal_illness,United States_Ukraine
Ukraine,United States,124,440,A,Ukraine,True,Ukraine,316,United States,3.5483870967741935,terminal_illness,United States_Ukraine
Ukraine,United States,1019,1619,A,Ukraine,True,Ukraine,600,United States,1.5888125613346418,terminal_illness,United States_Ukraine
Ukraine,United States,241,13,A,Ukraine,False,,228,Ukraine,18.53846153846154,terminal_illness,United States_Ukraine
United States,Ukraine,400,655,A,United States,True,United States,255,Ukraine,1.6375,terminal_illness,United States_Ukraine
Ukraine,United States,1884,521,A,Ukraine,False,,1363,Ukraine,3.616122840690979,terminal_illness,United States_Ukraine
United States,Ukraine,769,1175,A,United States,True,United States,406,Ukraine,1.5279583875162548,terminal_illness,United States_Ukraine
United States,Ukraine,1257,1361,I,neither,False,,104,Ukraine,1.082736674622116,terminal_illness,United States_Ukraine
Ukraine,United States,1229,621,A,Ukraine,False,,608,Ukraine,1.9790660225442833,terminal_illness,United States_Ukraine
United States,Ukraine,1413,1685,A,United States,True,United States,272,Ukraine,1.1924982307147913,terminal_illness,United States_Ukraine
Ukraine,United States,729,223,A,Ukraine,False,,506,Ukraine,3.2690582959641254,terminal_illness,United States_Ukraine
United States,Ukraine,1154,9,A,United States,False,,1145,United States,128.22222222222223,terminal_illness,United States_Ukraine
