country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Iran,Canada,514,596,B,Canada,False,,82,Canada,1.1595330739299612,terminal_illness,Canada_Iran
Canada,Iran,1330,1707,A,Canada,True,Canada,377,Iran,1.2834586466165414,terminal_illness,Canada_Iran
Canada,Iran,1247,1131,A,Canada,False,,116,Canada,1.1025641025641026,terminal_illness,Canada_Iran
Canada,Iran,532,1850,A,Canada,True,Canada,1318,Iran,3.4774436090225564,terminal_illness,Canada_Iran
Iran,Canada,59,193,B,Canada,False,,134,Canada,3.2711864406779663,terminal_illness,Canada_Iran
Canada,Iran,926,1601,A,Canada,True,Canada,675,Iran,1.7289416846652268,terminal_illness,Canada_Iran
Canada,Iran,628,660,A,Canada,True,Canada,32,Iran,1.0509554140127388,terminal_illness,Canada_Iran
Iran,Canada,1926,1839,A,Iran,False,,87,Iran,1.0473083197389885,terminal_illness,Canada_Iran
Iran,Canada,18,440,B,Canada,False,,422,Canada,24.444444444444443,terminal_illness,Canada_Iran
Iran,Canada,1474,136,A,Iran,False,,1338,Iran,10.838235294117647,terminal_illness,Canada_Iran
Iran,Canada,1552,1256,A,Iran,False,,296,Iran,1.2356687898089171,terminal_illness,Canada_Iran
Iran,Canada,80,825,B,Canada,False,,745,Canada,10.3125,terminal_illness,Canada_Iran
Canada,Iran,189,1573,B,Iran,False,,1384,Iran,8.322751322751323,terminal_illness,Canada_Iran
Iran,Canada,1134,1997,A,Iran,True,Iran,863,Canada,1.7610229276895943,terminal_illness,Canada_Iran
Canada,Iran,757,408,A,Canada,False,,349,Canada,1.8553921568627452,terminal_illness,Canada_Iran
Iran,Canada,1879,784,A,Iran,False,,1095,Iran,2.3966836734693877,terminal_illness,Canada_Iran
Canada,Iran,1041,1709,A,Canada,True,Canada,668,Iran,1.6416906820365034,terminal_illness,Canada_Iran
Canada,Iran,775,1060,A,Canada,True,Canada,285,Iran,1.367741935483871,terminal_illness,Canada_Iran
Canada,Iran,1213,875,A,Canada,False,,338,Canada,1.3862857142857143,terminal_illness,Canada_Iran
Canada,Iran,627,219,A,Canada,False,,408,Canada,2.863013698630137,terminal_illness,Canada_Iran
Canada,Iran,1548,1514,A,Canada,False,,34,Canada,1.0224570673712021,terminal_illness,Canada_Iran
Canada,Iran,1766,1549,A,Canada,False,,217,Canada,1.1400903808908973,terminal_illness,Canada_Iran
Canada,Iran,1331,1803,A,Canada,True,Canada,472,Iran,1.3546205860255447,terminal_illness,Canada_Iran
Canada,Iran,291,1418,B,Iran,False,,1127,Iran,4.8728522336769755,terminal_illness,Canada_Iran
Iran,Canada,1151,1211,A,Iran,True,Iran,60,Canada,1.052128583840139,terminal_illness,Canada_Iran
Canada,Iran,894,1470,A,Canada,True,Canada,576,Iran,1.6442953020134228,terminal_illness,Canada_Iran
Canada,Iran,711,1358,A,Canada,True,Canada,647,Iran,1.909985935302391,terminal_illness,Canada_Iran
Canada,Iran,1042,361,A,Canada,False,,681,Canada,2.886426592797784,terminal_illness,Canada_Iran
Canada,Iran,278,61,A,Canada,False,,217,Canada,4.557377049180328,terminal_illness,Canada_Iran
Canada,Iran,1028,434,A,Canada,False,,594,Canada,2.3686635944700463,terminal_illness,Canada_Iran
Canada,Iran,36,1635,B,Iran,False,,1599,Iran,45.416666666666664,terminal_illness,Canada_Iran
Canada,Iran,1507,570,A,Canada,False,,937,Canada,2.643859649122807,terminal_illness,Canada_Iran
Canada,Iran,48,1972,B,Iran,False,,1924,Iran,41.083333333333336,terminal_illness,Canada_Iran
Iran,Canada,1106,1530,A,Iran,True,Iran,424,Canada,1.383363471971067,terminal_illness,Canada_Iran
Canada,Iran,178,720,A,Canada,True,Canada,542,Iran,4.044943820224719,terminal_illness,Canada_Iran
Canada,Iran,1005,1816,A,Canada,True,Canada,811,Iran,1.8069651741293533,terminal_illness,Canada_Iran
Iran,Canada,907,703,A,Iran,False,,204,Iran,1.2901849217638692,terminal_illness,Canada_Iran
Canada,Iran,974,1556,A,Canada,True,Canada,582,Iran,1.5975359342915811,terminal_illness,Canada_Iran
Iran,Canada,883,516,A,Iran,False,,367,Iran,1.7112403100775193,terminal_illness,Canada_Iran
Canada,Iran,458,172,A,Canada,False,,286,Canada,2.6627906976744184,terminal_illness,Canada_Iran
Canada,Iran,1708,935,A,Canada,False,,773,Canada,1.8267379679144384,terminal_illness,Canada_Iran
Canada,Iran,1896,1462,A,Canada,False,,434,Canada,1.2968536251709986,terminal_illness,Canada_Iran
Iran,Canada,218,868,B,Canada,False,,650,Canada,3.981651376146789,terminal_illness,Canada_Iran
Canada,Iran,745,1726,A,Canada,True,Canada,981,Iran,2.316778523489933,terminal_illness,Canada_Iran
Canada,Iran,429,1896,A,Canada,True,Canada,1467,Iran,4.419580419580419,terminal_illness,Canada_Iran
Iran,Canada,1413,188,A,Iran,False,,1225,Iran,7.51595744680851,terminal_illness,Canada_Iran
Canada,Iran,729,583,A,Canada,False,,146,Canada,1.2504288164665522,terminal_illness,Canada_Iran
Iran,Canada,1884,1655,A,Iran,False,,229,Iran,1.1383685800604229,terminal_illness,Canada_Iran
Canada,Iran,676,1079,B,Iran,False,,403,Iran,1.5961538461538463,terminal_illness,Canada_Iran
Canada,Iran,915,699,A,Canada,False,,216,Canada,1.3090128755364807,terminal_illness,Canada_Iran
