country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Canada,Palestine,652,1542,B,Palestine,False,,890,Palestine,2.3650306748466257,terminal_illness,Canada_Palestine
Canada,Palestine,1282,894,A,Canada,False,,388,Canada,1.4340044742729305,terminal_illness,Canada_Palestine
Canada,Palestine,388,1016,B,Palestine,False,,628,Palestine,2.618556701030928,terminal_illness,Canada_Palestine
Canada,Palestine,545,1806,B,Palestine,False,,1261,Palestine,3.313761467889908,terminal_illness,Canada_Palestine
Canada,Palestine,556,613,B,Palestine,False,,57,Palestine,1.1025179856115108,terminal_illness,Canada_Palestine
Canada,Palestine,282,1479,B,Palestine,False,,1197,Palestine,5.24468085106383,terminal_illness,Canada_Palestine
Canada,Palestine,1076,1267,B,Palestine,False,,191,Palestine,1.1775092936802973,terminal_illness,Canada_Palestine
Palestine,Canada,1805,926,A,Palestine,False,,879,Palestine,1.949244060475162,terminal_illness,Canada_Palestine
Palestine,Canada,1903,1113,A,Palestine,False,,790,Palestine,1.7097933513027852,terminal_illness,Canada_Palestine
Palestine,Canada,979,1982,B,Canada,False,,1003,Canada,2.024514811031665,terminal_illness,Canada_Palestine
Canada,Palestine,1355,1033,A,Canada,False,,322,Canada,1.3117134559535335,terminal_illness,Canada_Palestine
Canada,Palestine,1295,1684,B,Palestine,False,,389,Palestine,1.3003861003861004,terminal_illness,Canada_Palestine
Canada,Palestine,1511,1496,A,Canada,False,,15,Canada,1.0100267379679144,terminal_illness,Canada_Palestine
Palestine,Canada,617,1551,A,Palestine,True,Palestine,934,Canada,2.5137763371150728,terminal_illness,Canada_Palestine
Canada,Palestine,310,632,B,Palestine,False,,322,Palestine,2.0387096774193547,terminal_illness,Canada_Palestine
Canada,Palestine,1257,1932,B,Palestine,False,,675,Palestine,1.5369928400954653,terminal_illness,Canada_Palestine
Palestine,Canada,52,1924,A,Palestine,True,Palestine,1872,Canada,37.0,terminal_illness,Canada_Palestine
Palestine,Canada,1754,1081,A,Palestine,False,,673,Palestine,1.6225716928769658,terminal_illness,Canada_Palestine
Canada,Palestine,1346,500,A,Canada,False,,846,Canada,2.692,terminal_illness,Canada_Palestine
Canada,Palestine,1743,1758,B,Palestine,False,,15,Palestine,1.008605851979346,terminal_illness,Canada_Palestine
Palestine,Canada,1914,50,A,Palestine,False,,1864,Palestine,38.28,terminal_illness,Canada_Palestine
Palestine,Canada,666,1486,A,Palestine,True,Palestine,820,Canada,2.2312312312312312,terminal_illness,Canada_Palestine
Palestine,Canada,923,1460,A,Palestine,True,Palestine,537,Canada,1.5817984832069338,terminal_illness,Canada_Palestine
Canada,Palestine,1025,1092,B,Palestine,False,,67,Palestine,1.0653658536585366,terminal_illness,Canada_Palestine
Canada,Palestine,1050,982,A,Canada,False,,68,Canada,1.0692464358452138,terminal_illness,Canada_Palestine
Palestine,Canada,1360,107,A,Palestine,False,,1253,Palestine,12.710280373831775,terminal_illness,Canada_Palestine
Canada,Palestine,1499,1340,A,Canada,False,,159,Canada,1.1186567164179104,terminal_illness,Canada_Palestine
Canada,Palestine,1889,748,A,Canada,False,,1141,Canada,2.5254010695187166,terminal_illness,Canada_Palestine
Palestine,Canada,697,712,A,Palestine,True,Palestine,15,Canada,1.0215208034433285,terminal_illness,Canada_Palestine
Palestine,Canada,667,1621,A,Palestine,True,Palestine,954,Canada,2.4302848575712144,terminal_illness,Canada_Palestine
Canada,Palestine,801,452,A,Canada,False,,349,Canada,1.7721238938053097,terminal_illness,Canada_Palestine
Palestine,Canada,1939,1303,A,Palestine,False,,636,Palestine,1.4881043745203377,terminal_illness,Canada_Palestine
Palestine,Canada,15,1711,B,Canada,False,,1696,Canada,114.06666666666666,terminal_illness,Canada_Palestine
Palestine,Canada,694,822,A,Palestine,True,Palestine,128,Canada,1.1844380403458212,terminal_illness,Canada_Palestine
Canada,Palestine,571,774,B,Palestine,False,,203,Palestine,1.3555166374781087,terminal_illness,Canada_Palestine
Palestine,Canada,907,750,A,Palestine,False,,157,Palestine,1.2093333333333334,terminal_illness,Canada_Palestine
Canada,Palestine,884,434,A,Canada,False,,450,Canada,2.0368663594470044,terminal_illness,Canada_Palestine
Palestine,Canada,749,1691,A,Palestine,True,Palestine,942,Canada,2.2576769025367156,terminal_illness,Canada_Palestine
Canada,Palestine,341,1228,B,Palestine,False,,887,Palestine,3.601173020527859,terminal_illness,Canada_Palestine
Canada,Palestine,368,1186,B,Palestine,False,,818,Palestine,3.222826086956522,terminal_illness,Canada_Palestine
Canada,Palestine,1235,662,A,Canada,False,,573,Canada,1.865558912386707,terminal_illness,Canada_Palestine
Canada,Palestine,1330,1646,B,Palestine,False,,316,Palestine,1.237593984962406,terminal_illness,Canada_Palestine
Palestine,Canada,1361,1217,A,Palestine,False,,144,Palestine,1.1183237469186524,terminal_illness,Canada_Palestine
Palestine,Canada,1295,921,A,Palestine,False,,374,Palestine,1.4060803474484256,terminal_illness,Canada_Palestine
Palestine,Canada,855,110,A,Palestine,False,,745,Palestine,7.7727272727272725,terminal_illness,Canada_Palestine
Canada,Palestine,1262,1190,A,Canada,False,,72,Canada,1.0605042016806723,terminal_illness,Canada_Palestine
Canada,Palestine,1744,654,A,Canada,False,,1090,Canada,2.6666666666666665,terminal_illness,Canada_Palestine
