country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Canada,Russia,1274,415,A,Canada,False,,859,Canada,3.0698795180722893,terminal_illness,Canada_Russia
Canada,Russia,1298,544,A,Canada,False,,754,Canada,2.386029411764706,terminal_illness,Canada_Russia
Canada,Russia,1413,1535,A,Canada,True,Canada,122,Russia,1.0863411181882519,terminal_illness,Canada_Russia
Russia,Canada,1391,1843,B,Canada,False,,452,Canada,1.3249460819554277,terminal_illness,Canada_Russia
Canada,Russia,1906,1967,B,Russia,False,,61,Russia,1.0320041972717733,terminal_illness,Canada_Russia
Russia,Canada,1220,251,A,Russia,False,,969,Russia,4.860557768924303,terminal_illness,Canada_Russia
Russia,Canada,1809,1190,A,Russia,False,,619,Russia,1.5201680672268907,terminal_illness,Canada_Russia
Canada,Russia,1671,222,A,Canada,False,,1449,Canada,7.527027027027027,terminal_illness,Canada_Russia
Canada,Russia,43,1463,B,Russia,False,,1420,Russia,34.02325581395349,terminal_illness,Canada_Russia
Russia,Canada,329,1925,B,Canada,False,,1596,Canada,5.851063829787234,terminal_illness,Canada_Russia
Canada,Russia,1660,997,A,Canada,False,,663,Canada,1.6649949849548646,terminal_illness,Canada_Russia
Canada,Russia,787,1967,B,Russia,False,,1180,Russia,2.499364675984752,terminal_illness,Canada_Russia
Canada,Russia,362,609,A,Canada,True,Canada,247,Russia,1.6823204419889504,terminal_illness,Canada_Russia
Russia,Canada,68,128,B,Canada,False,,60,Canada,1.8823529411764706,terminal_illness,Canada_Russia
Russia,Canada,771,610,A,Russia,False,,161,Russia,1.2639344262295082,terminal_illness,Canada_Russia
Russia,Canada,1408,1381,A,Russia,False,,27,Russia,1.0195510499637943,terminal_illness,Canada_Russia
Canada,Russia,312,597,A,Canada,True,Canada,285,Russia,1.9134615384615385,terminal_illness,Canada_Russia
Russia,Canada,369,1959,B,Canada,False,,1590,Canada,5.308943089430894,terminal_illness,Canada_Russia
Russia,Canada,36,692,B,Canada,False,,656,Canada,19.22222222222222,terminal_illness,Canada_Russia
Russia,Canada,1172,1330,A,Russia,True,Russia,158,Canada,1.1348122866894197,terminal_illness,Canada_Russia
Russia,Canada,738,1936,B,Canada,False,,1198,Canada,2.6233062330623307,terminal_illness,Canada_Russia
Russia,Canada,722,1293,B,Canada,False,,571,Canada,1.790858725761773,terminal_illness,Canada_Russia
Canada,Russia,320,54,A,Canada,False,,266,Canada,5.925925925925926,terminal_illness,Canada_Russia
Canada,Russia,1498,79,A,Canada,False,,1419,Canada,18.962025316455698,terminal_illness,Canada_Russia
Russia,Canada,252,1677,B,Canada,False,,1425,Canada,6.654761904761905,terminal_illness,Canada_Russia
Canada,Russia,1871,1083,A,Canada,False,,788,Canada,1.7276084949215142,terminal_illness,Canada_Russia
Russia,Canada,977,1420,B,Canada,False,,443,Canada,1.4534288638689867,terminal_illness,Canada_Russia
Russia,Canada,355,1750,B,Canada,False,,1395,Canada,4.929577464788732,terminal_illness,Canada_Russia
Canada,Russia,1779,1401,A,Canada,False,,378,Canada,1.2698072805139187,terminal_illness,Canada_Russia
Canada,Russia,1048,59,A,Canada,False,,989,Canada,17.76271186440678,terminal_illness,Canada_Russia
Canada,Russia,1736,993,A,Canada,False,,743,Canada,1.7482376636455186,terminal_illness,Canada_Russia
Russia,Canada,1568,1277,A,Russia,False,,291,Russia,1.2278778386844167,terminal_illness,Canada_Russia
Canada,Russia,1945,1815,A,Canada,False,,130,Canada,1.0716253443526171,terminal_illness,Canada_Russia
Russia,Canada,859,975,B,Canada,False,,116,Canada,1.1350407450523865,terminal_illness,Canada_Russia
Canada,Russia,1020,819,A,Canada,False,,201,Canada,1.2454212454212454,terminal_illness,Canada_Russia
Canada,Russia,1041,666,A,Canada,False,,375,Canada,1.563063063063063,terminal_illness,Canada_Russia
Russia,Canada,1230,608,A,Russia,False,,622,Russia,2.023026315789474,terminal_illness,Canada_Russia
Canada,Russia,547,236,A,Canada,False,,311,Canada,2.3177966101694913,terminal_illness,Canada_Russia
Canada,Russia,1352,139,A,Canada,False,,1213,Canada,9.726618705035971,terminal_illness,Canada_Russia
Canada,Russia,1126,12,A,Canada,False,,1114,Canada,93.83333333333333,terminal_illness,Canada_Russia
Canada,Russia,1179,220,A,Canada,False,,959,Canada,5.359090909090909,terminal_illness,Canada_Russia
Canada,Russia,226,977,A,Canada,True,Canada,751,Russia,4.323008849557522,terminal_illness,Canada_Russia
Russia,Canada,80,235,B,Canada,False,,155,Canada,2.9375,terminal_illness,Canada_Russia
Russia,Canada,661,1247,B,Canada,False,,586,Canada,1.886535552193646,terminal_illness,Canada_Russia
Russia,Canada,1722,311,A,Russia,False,,1411,Russia,5.536977491961415,terminal_illness,Canada_Russia
Russia,Canada,1997,1492,A,Russia,False,,505,Russia,1.3384718498659518,terminal_illness,Canada_Russia
Canada,Russia,1034,1174,A,Canada,True,Canada,140,Russia,1.1353965183752417,terminal_illness,Canada_Russia
Russia,Canada,851,590,A,Russia,False,,261,Russia,1.4423728813559322,terminal_illness,Canada_Russia
Canada,Russia,1633,1308,A,Canada,False,,325,Canada,1.2484709480122325,terminal_illness,Canada_Russia
Canada,Russia,1325,312,A,Canada,False,,1013,Canada,4.246794871794871,terminal_illness,Canada_Russia
