country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
France,China,1375,1511,A,France,True,France,136,China,1.0989090909090908,terminal_illness,France_China
France,China,1154,1943,A,France,True,France,789,China,1.6837088388214905,terminal_illness,France_China
China,France,2,1596,B,France,False,,1594,France,798.0,terminal_illness,France_China
China,France,962,1396,A,China,True,China,434,France,1.4511434511434511,terminal_illness,France_China
China,France,1423,1057,A,China,False,,366,China,1.346263008514664,terminal_illness,France_China
France,China,1954,302,A,France,False,,1652,France,6.470198675496689,terminal_illness,France_China
China,France,1912,1782,A,China,False,,130,China,1.0729517396184063,terminal_illness,France_China
China,France,1879,1274,A,China,False,,605,China,1.4748822605965464,terminal_illness,France_China
China,France,219,317,A,China,True,China,98,France,1.447488584474886,terminal_illness,France_China
China,France,1577,673,A,China,False,,904,China,2.3432392273402676,terminal_illness,France_China
France,China,1376,1713,A,France,True,France,337,China,1.2449127906976745,terminal_illness,France_China
France,China,1340,592,A,France,False,,748,France,2.2635135135135136,terminal_illness,France_China
China,France,588,159,A,China,False,,429,China,3.69811320754717,terminal_illness,France_China
China,France,1704,815,A,China,False,,889,China,2.09079754601227,terminal_illness,France_China
France,China,532,832,A,France,True,France,300,China,1.5639097744360901,terminal_illness,France_China
China,France,1081,144,A,China,False,,937,China,7.506944444444445,terminal_illness,France_China
France,China,1689,1837,A,France,True,France,148,China,1.0876258140911783,terminal_illness,France_China
China,France,828,919,A,China,True,China,91,France,1.1099033816425121,terminal_illness,France_China
France,China,939,1433,A,France,True,France,494,China,1.5260915867944622,terminal_illness,France_China
China,France,415,332,A,China,False,,83,China,1.25,terminal_illness,France_China
France,China,1922,700,A,France,False,,1222,France,2.7457142857142856,terminal_illness,France_China
France,China,1960,1080,A,France,False,,880,France,1.8148148148148149,terminal_illness,France_China
China,France,1927,926,A,China,False,,1001,China,2.0809935205183585,terminal_illness,France_China
China,France,1864,1626,A,China,False,,238,China,1.1463714637146372,terminal_illness,France_China
France,China,1394,1293,A,France,False,,101,France,1.0781129156999227,terminal_illness,France_China
France,China,769,322,A,France,False,,447,France,2.388198757763975,terminal_illness,France_China
France,China,1188,1152,A,France,False,,36,France,1.03125,terminal_illness,France_China
France,China,1796,1697,A,France,False,,99,France,1.0583382439599294,terminal_illness,France_China
France,China,829,1724,A,France,True,France,895,China,2.0796139927623645,terminal_illness,France_China
China,France,163,887,B,France,False,,724,France,5.441717791411043,terminal_illness,France_China
China,France,41,922,B,France,False,,881,France,22.48780487804878,terminal_illness,France_China
China,France,1084,681,A,China,False,,403,China,1.591776798825257,terminal_illness,France_China
China,France,353,989,B,France,False,,636,France,2.801699716713881,terminal_illness,France_China
France,China,241,1100,B,China,False,,859,China,4.564315352697095,terminal_illness,France_China
France,China,1774,829,A,France,False,,945,France,2.139927623642943,terminal_illness,France_China
France,China,784,405,A,France,False,,379,France,1.9358024691358025,terminal_illness,France_China
China,France,1247,924,A,China,False,,323,China,1.3495670995670996,terminal_illness,France_China
China,France,136,625,A,China,True,China,489,France,4.595588235294118,terminal_illness,France_China
France,China,1711,1076,A,France,False,,635,France,1.5901486988847584,terminal_illness,France_China
France,China,1278,1689,A,France,True,France,411,China,1.3215962441314555,terminal_illness,France_China
France,China,1076,411,A,France,False,,665,France,2.6180048661800486,terminal_illness,France_China
France,China,1814,1277,A,France,False,,537,France,1.4205168363351606,terminal_illness,France_China
China,France,1441,1857,A,China,True,China,416,France,1.2886884108258154,terminal_illness,France_China
China,France,1627,225,A,China,False,,1402,China,7.231111111111111,terminal_illness,France_China
France,China,914,1591,B,China,False,,677,China,1.7407002188183807,terminal_illness,France_China
China,France,527,410,A,China,False,,117,China,1.2853658536585366,terminal_illness,France_China
China,France,1805,721,A,China,False,,1084,China,2.503467406380028,terminal_illness,France_China
France,China,1108,1145,A,France,True,France,37,China,1.0333935018050542,terminal_illness,France_China
China,France,1481,1251,A,China,False,,230,China,1.1838529176658672,terminal_illness,France_China
France,China,1864,1035,A,France,False,,829,France,1.8009661835748791,terminal_illness,France_China
