country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
India,China,1928,825,A,India,False,,1103,India,2.336969696969697,terminal_illness,India_China
India,China,718,1896,B,China,False,,1178,China,2.6406685236768803,terminal_illness,India_China
India,China,1776,883,A,India,False,,893,India,2.0113250283125708,terminal_illness,India_China
China,India,820,1893,B,India,False,,1073,India,2.3085365853658537,terminal_illness,India_China
China,India,40,793,B,India,False,,753,India,19.825,terminal_illness,India_China
India,China,206,1925,A,India,True,India,1719,China,9.344660194174757,terminal_illness,India_China
India,China,1677,1262,A,India,False,,415,India,1.3288431061806656,terminal_illness,India_China
India,China,776,658,A,India,False,,118,India,1.1793313069908815,terminal_illness,India_China
India,China,1819,1511,A,India,False,,308,India,1.2038385175380544,terminal_illness,India_China
China,India,1610,801,A,China,False,,809,China,2.009987515605493,terminal_illness,India_China
India,China,1486,1288,A,India,False,,198,India,1.1537267080745341,terminal_illness,India_China
China,India,146,928,B,India,False,,782,India,6.3561643835616435,terminal_illness,India_China
China,India,608,1612,B,India,False,,1004,India,2.651315789473684,terminal_illness,India_China
China,India,983,1941,B,India,False,,958,India,1.9745676500508647,terminal_illness,India_China
China,India,1497,601,A,China,False,,896,China,2.490848585690516,terminal_illness,India_China
China,India,1909,1182,A,China,False,,727,China,1.6150592216582065,terminal_illness,India_China
India,China,1780,1987,A,India,True,India,207,China,1.1162921348314607,terminal_illness,India_China
China,India,1127,1418,A,China,True,China,291,India,1.2582076308784382,terminal_illness,India_China
India,China,616,1835,A,India,True,India,1219,China,2.978896103896104,terminal_illness,India_China
China,India,1607,461,A,China,False,,1146,China,3.4859002169197395,terminal_illness,India_China
China,India,835,1639,B,India,False,,804,India,1.962874251497006,terminal_illness,India_China
China,India,832,1361,B,India,False,,529,India,1.6358173076923077,terminal_illness,India_China
India,China,1100,1265,A,India,True,India,165,China,1.15,terminal_illness,India_China
China,India,1603,918,A,China,False,,685,China,1.7461873638344227,terminal_illness,India_China
India,China,699,1818,A,India,True,India,1119,China,2.6008583690987126,terminal_illness,India_China
China,India,1777,1495,A,China,False,,282,China,1.188628762541806,terminal_illness,India_China
China,India,1452,41,A,China,False,,1411,China,35.41463414634146,terminal_illness,India_China
China,India,1804,1296,A,China,False,,508,China,1.3919753086419753,terminal_illness,India_China
India,China,225,1461,A,India,True,India,1236,China,6.493333333333333,terminal_illness,India_China
India,China,1692,1874,A,India,True,India,182,China,1.107565011820331,terminal_illness,India_China
China,India,577,605,B,India,False,,28,India,1.048526863084922,terminal_illness,India_China
China,India,1522,759,A,China,False,,763,China,2.005270092226614,terminal_illness,India_China
China,India,719,705,A,China,False,,14,China,1.0198581560283688,terminal_illness,India_China
India,China,130,683,A,India,True,India,553,China,5.253846153846154,terminal_illness,India_China
China,India,1454,241,A,China,False,,1213,China,6.033195020746888,terminal_illness,India_China
India,China,1898,248,A,India,False,,1650,India,7.653225806451613,terminal_illness,India_China
China,India,1712,1597,A,China,False,,115,China,1.0720100187852224,terminal_illness,India_China
India,China,280,1497,A,India,True,India,1217,China,5.3464285714285715,terminal_illness,India_China
China,India,1459,426,A,China,False,,1033,China,3.424882629107981,terminal_illness,India_China
India,China,438,107,A,India,False,,331,India,4.093457943925234,terminal_illness,India_China
China,India,1199,1639,B,India,False,,440,India,1.3669724770642202,terminal_illness,India_China
China,India,1594,728,A,China,False,,866,China,2.1895604395604398,terminal_illness,India_China
India,China,883,440,A,India,False,,443,India,2.006818181818182,terminal_illness,India_China
China,India,149,724,B,India,False,,575,India,4.859060402684563,terminal_illness,India_China
China,India,566,1620,B,India,False,,1054,India,2.862190812720848,terminal_illness,India_China
India,China,1847,1107,A,India,False,,740,India,1.6684733514001806,terminal_illness,India_China
India,China,1092,1464,A,India,True,India,372,China,1.3406593406593406,terminal_illness,India_China
China,India,447,1275,B,India,False,,828,India,2.8523489932885906,terminal_illness,India_China
China,India,1106,759,A,China,False,,347,China,1.4571805006587615,terminal_illness,India_China
China,India,1191,724,A,China,False,,467,China,1.6450276243093922,terminal_illness,India_China
