country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
South Africa,India,1241,476,A,South Africa,False,,765,South Africa,2.607142857142857,terminal_illness,India_South Africa
South Africa,India,101,1399,B,India,False,,1298,India,13.851485148514852,terminal_illness,India_South Africa
South Africa,India,99,197,B,India,False,,98,India,1.9898989898989898,terminal_illness,India_South Africa
India,South Africa,1819,1661,A,India,False,,158,India,1.095123419626731,terminal_illness,India_South Africa
South Africa,India,833,1554,B,India,False,,721,India,1.865546218487395,terminal_illness,India_South Africa
South Africa,India,1334,1742,B,India,False,,408,India,1.3058470764617691,terminal_illness,India_South Africa
India,South Africa,234,1118,B,South Africa,False,,884,South Africa,4.777777777777778,terminal_illness,India_South Africa
South Africa,India,1312,379,A,South Africa,False,,933,South Africa,3.461741424802111,terminal_illness,India_South Africa
India,South Africa,99,1233,B,South Africa,False,,1134,South Africa,12.454545454545455,terminal_illness,India_South Africa
India,South Africa,1800,203,A,India,False,,1597,India,8.866995073891626,terminal_illness,India_South Africa
India,South Africa,785,1538,A,India,True,India,753,South Africa,1.959235668789809,terminal_illness,India_South Africa
South Africa,India,402,1788,B,India,False,,1386,India,4.447761194029851,terminal_illness,India_South Africa
South Africa,India,1040,1587,A,South Africa,True,South Africa,547,India,1.5259615384615384,terminal_illness,India_South Africa
India,South Africa,722,221,A,India,False,,501,India,3.266968325791855,terminal_illness,India_South Africa
India,South Africa,1532,212,A,India,False,,1320,India,7.226415094339623,terminal_illness,India_South Africa
South Africa,India,210,447,B,India,False,,237,India,2.1285714285714286,terminal_illness,India_South Africa
India,South Africa,329,1942,B,South Africa,False,,1613,South Africa,5.90273556231003,terminal_illness,India_South Africa
South Africa,India,279,1281,B,India,False,,1002,India,4.591397849462366,terminal_illness,India_South Africa
South Africa,India,503,110,A,South Africa,False,,393,South Africa,4.572727272727272,terminal_illness,India_South Africa
India,South Africa,514,94,A,India,False,,420,India,5.468085106382978,terminal_illness,India_South Africa
South Africa,India,712,1790,B,India,False,,1078,India,2.514044943820225,terminal_illness,India_South Africa
India,South Africa,674,1887,B,South Africa,False,,1213,South Africa,2.7997032640949553,terminal_illness,India_South Africa
South Africa,India,1326,1384,B,India,False,,58,India,1.043740573152338,terminal_illness,India_South Africa
India,South Africa,1272,1297,A,India,True,India,25,South Africa,1.0196540880503144,terminal_illness,India_South Africa
India,South Africa,951,1100,A,India,True,India,149,South Africa,1.1566771819137749,terminal_illness,India_South Africa
India,South Africa,1595,193,A,India,False,,1402,India,8.264248704663212,terminal_illness,India_South Africa
India,South Africa,818,958,A,India,True,India,140,South Africa,1.1711491442542787,terminal_illness,India_South Africa
South Africa,India,1889,1025,A,South Africa,False,,864,South Africa,1.8429268292682928,terminal_illness,India_South Africa
South Africa,India,1769,1206,A,South Africa,False,,563,South Africa,1.466832504145937,terminal_illness,India_South Africa
India,South Africa,559,728,A,India,True,India,169,South Africa,1.302325581395349,terminal_illness,India_South Africa
India,South Africa,532,1494,B,South Africa,False,,962,South Africa,2.808270676691729,terminal_illness,India_South Africa
India,South Africa,803,764,A,India,False,,39,India,1.051047120418848,terminal_illness,India_South Africa
South Africa,India,1396,1496,A,South Africa,True,South Africa,100,India,1.0716332378223496,terminal_illness,India_South Africa
South Africa,India,839,1588,B,India,False,,749,India,1.8927294398092969,terminal_illness,India_South Africa
South Africa,India,1010,1915,B,India,False,,905,India,1.896039603960396,terminal_illness,India_South Africa
India,South Africa,97,1491,B,South Africa,False,,1394,South Africa,15.371134020618557,terminal_illness,India_South Africa
India,South Africa,1183,1156,A,India,False,,27,India,1.023356401384083,terminal_illness,India_South Africa
India,South Africa,1783,347,A,India,False,,1436,India,5.138328530259366,terminal_illness,India_South Africa
India,South Africa,205,1218,B,South Africa,False,,1013,South Africa,5.941463414634146,terminal_illness,India_South Africa
South Africa,India,333,1740,B,India,False,,1407,India,5.225225225225225,terminal_illness,India_South Africa
India,South Africa,382,1112,B,South Africa,False,,730,South Africa,2.910994764397906,terminal_illness,India_South Africa
India,South Africa,1606,1801,A,India,True,India,195,South Africa,1.1214196762141968,terminal_illness,India_South Africa
India,South Africa,563,1869,B,South Africa,False,,1306,South Africa,3.319715808170515,terminal_illness,India_South Africa
South Africa,India,1772,1830,B,India,False,,58,India,1.0327313769751694,terminal_illness,India_South Africa
South Africa,India,669,101,A,South Africa,False,,568,South Africa,6.623762376237623,terminal_illness,India_South Africa
India,South Africa,1543,1681,A,India,True,India,138,South Africa,1.0894361633182112,terminal_illness,India_South Africa
India,South Africa,88,1589,B,South Africa,False,,1501,South Africa,18.056818181818183,terminal_illness,India_South Africa
India,South Africa,1546,181,A,India,False,,1365,India,8.541436464088397,terminal_illness,India_South Africa
South Africa,India,1274,87,A,South Africa,False,,1187,South Africa,14.64367816091954,terminal_illness,India_South Africa
India,South Africa,668,513,A,India,False,,155,India,1.3021442495126705,terminal_illness,India_South Africa
