country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Taiwan,India,779,1408,B,India,False,,629,India,1.8074454428754814,terminal_illness,India_Taiwan
India,Taiwan,1414,480,A,India,False,,934,India,2.9458333333333333,terminal_illness,India_Taiwan
Taiwan,India,1881,553,A,Taiwan,False,,1328,Taiwan,3.4014466546112114,terminal_illness,India_Taiwan
India,Taiwan,1283,850,A,India,False,,433,India,1.5094117647058825,terminal_illness,India_Taiwan
India,Taiwan,481,899,B,Taiwan,False,,418,Taiwan,1.869022869022869,terminal_illness,India_Taiwan
India,Taiwan,1384,1090,A,India,False,,294,India,1.269724770642202,terminal_illness,India_Taiwan
Taiwan,India,1699,1162,A,Taiwan,False,,537,Taiwan,1.4621342512908777,terminal_illness,India_Taiwan
India,Taiwan,335,332,A,India,False,,3,India,1.0090361445783131,terminal_illness,India_Taiwan
Taiwan,India,659,1021,B,India,False,,362,India,1.5493171471927163,terminal_illness,India_Taiwan
India,Taiwan,874,691,A,India,False,,183,India,1.264833574529667,terminal_illness,India_Taiwan
Taiwan,India,283,1261,B,India,False,,978,India,4.455830388692579,terminal_illness,India_Taiwan
Taiwan,India,317,34,A,Taiwan,False,,283,Taiwan,9.323529411764707,terminal_illness,India_Taiwan
India,Taiwan,832,675,A,India,False,,157,India,1.2325925925925927,terminal_illness,India_Taiwan
India,Taiwan,1976,577,A,India,False,,1399,India,3.4246100519930676,terminal_illness,India_Taiwan
Taiwan,India,199,559,B,India,False,,360,India,2.809045226130653,terminal_illness,India_Taiwan
Taiwan,India,1814,313,A,Taiwan,False,,1501,Taiwan,5.795527156549521,terminal_illness,India_Taiwan
India,Taiwan,293,1299,A,India,True,India,1006,Taiwan,4.433447098976109,terminal_illness,India_Taiwan
India,Taiwan,859,739,A,India,False,,120,India,1.162381596752368,terminal_illness,India_Taiwan
India,Taiwan,1002,618,A,India,False,,384,India,1.6213592233009708,terminal_illness,India_Taiwan
India,Taiwan,714,1140,A,India,True,India,426,Taiwan,1.596638655462185,terminal_illness,India_Taiwan
India,Taiwan,1620,1441,A,India,False,,179,India,1.1242192921582235,terminal_illness,India_Taiwan
India,Taiwan,1074,1015,A,India,False,,59,India,1.058128078817734,terminal_illness,India_Taiwan
India,Taiwan,1733,1847,A,India,True,India,114,Taiwan,1.0657818811309867,terminal_illness,India_Taiwan
Taiwan,India,1957,933,A,Taiwan,False,,1024,Taiwan,2.097534833869239,terminal_illness,India_Taiwan
India,Taiwan,807,1576,A,India,True,India,769,Taiwan,1.952912019826518,terminal_illness,India_Taiwan
Taiwan,India,99,743,B,India,False,,644,India,7.505050505050505,terminal_illness,India_Taiwan
India,Taiwan,321,1134,A,India,True,India,813,Taiwan,3.532710280373832,terminal_illness,India_Taiwan
Taiwan,India,1768,1678,A,Taiwan,False,,90,Taiwan,1.0536352800953517,terminal_illness,India_Taiwan
India,Taiwan,549,25,A,India,False,,524,India,21.96,terminal_illness,India_Taiwan
India,Taiwan,1903,322,A,India,False,,1581,India,5.909937888198757,terminal_illness,India_Taiwan
Taiwan,India,1639,343,A,Taiwan,False,,1296,Taiwan,4.778425655976676,terminal_illness,India_Taiwan
Taiwan,India,440,1088,B,India,False,,648,India,2.4727272727272727,terminal_illness,India_Taiwan
India,Taiwan,354,1186,A,India,True,India,832,Taiwan,3.3502824858757063,terminal_illness,India_Taiwan
India,Taiwan,1326,499,A,India,False,,827,India,2.6573146292585172,terminal_illness,India_Taiwan
India,Taiwan,380,300,A,India,False,,80,India,1.2666666666666666,terminal_illness,India_Taiwan
India,Taiwan,427,1844,A,India,True,India,1417,Taiwan,4.318501170960188,terminal_illness,India_Taiwan
Taiwan,India,625,1209,B,India,False,,584,India,1.9344,terminal_illness,India_Taiwan
India,Taiwan,994,1851,A,India,True,India,857,Taiwan,1.8621730382293762,terminal_illness,India_Taiwan
India,Taiwan,781,237,A,India,False,,544,India,3.2953586497890295,terminal_illness,India_Taiwan
Taiwan,India,485,665,B,India,False,,180,India,1.3711340206185567,terminal_illness,India_Taiwan
Taiwan,India,218,295,B,India,False,,77,India,1.353211009174312,terminal_illness,India_Taiwan
India,Taiwan,1160,5,A,India,False,,1155,India,232.0,terminal_illness,India_Taiwan
Taiwan,India,1109,1480,B,India,False,,371,India,1.3345356176735799,terminal_illness,India_Taiwan
India,Taiwan,1729,1005,A,India,False,,724,India,1.7203980099502487,terminal_illness,India_Taiwan
Taiwan,India,1942,143,A,Taiwan,False,,1799,Taiwan,13.58041958041958,terminal_illness,India_Taiwan
Taiwan,India,403,1523,B,India,False,,1120,India,3.7791563275434243,terminal_illness,India_Taiwan
India,Taiwan,368,922,A,India,True,India,554,Taiwan,2.505434782608696,terminal_illness,India_Taiwan
Taiwan,India,833,20,A,Taiwan,False,,813,Taiwan,41.65,terminal_illness,India_Taiwan
Taiwan,India,234,1356,B,India,False,,1122,India,5.794871794871795,terminal_illness,India_Taiwan
India,Taiwan,1265,1456,A,India,True,India,191,Taiwan,1.1509881422924901,terminal_illness,India_Taiwan
