country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Iran,Germany,573,130,A,Iran,False,,443,Iran,4.407692307692308,terminal_illness,Iran_Germany
Iran,Germany,1900,1348,A,Iran,False,,552,Iran,1.4094955489614243,terminal_illness,Iran_Germany
Iran,Germany,1319,851,A,Iran,False,,468,Iran,1.5499412455934196,terminal_illness,Iran_Germany
Germany,Iran,517,1988,A,Germany,True,Germany,1471,Iran,3.8452611218568666,terminal_illness,Iran_Germany
Iran,Germany,1815,1955,A,Iran,True,Iran,140,Germany,1.0771349862258952,terminal_illness,Iran_Germany
Iran,Germany,1681,810,A,Iran,False,,871,Iran,2.0753086419753086,terminal_illness,Iran_Germany
Germany,Iran,1309,1501,A,Germany,True,Germany,192,Iran,1.1466768525592055,terminal_illness,Iran_Germany
Iran,Germany,1397,1635,A,Iran,True,Iran,238,Germany,1.1703650680028632,terminal_illness,Iran_Germany
Germany,Iran,702,469,A,Germany,False,,233,Germany,1.4968017057569296,terminal_illness,Iran_Germany
Iran,Germany,955,1620,A,Iran,True,Iran,665,Germany,1.6963350785340314,terminal_illness,Iran_Germany
Iran,Germany,1907,201,A,Iran,False,,1706,Iran,9.487562189054726,terminal_illness,Iran_Germany
Iran,Germany,910,1197,A,Iran,True,Iran,287,Germany,1.3153846153846154,terminal_illness,Iran_Germany
Germany,Iran,644,1244,A,Germany,True,Germany,600,Iran,1.9316770186335404,terminal_illness,Iran_Germany
Germany,Iran,616,834,A,Germany,True,Germany,218,Iran,1.353896103896104,terminal_illness,Iran_Germany
Germany,Iran,1914,1057,A,Germany,False,,857,Germany,1.8107852412488175,terminal_illness,Iran_Germany
Iran,Germany,1755,1890,A,Iran,True,Iran,135,Germany,1.0769230769230769,terminal_illness,Iran_Germany
Germany,Iran,1624,1451,A,Germany,False,,173,Germany,1.1192281185389386,terminal_illness,Iran_Germany
Iran,Germany,1200,1427,A,Iran,True,Iran,227,Germany,1.1891666666666667,terminal_illness,Iran_Germany
Iran,Germany,1819,1320,A,Iran,False,,499,Iran,1.378030303030303,terminal_illness,Iran_Germany
Iran,Germany,1819,515,A,Iran,False,,1304,Iran,3.5320388349514564,terminal_illness,Iran_Germany
Iran,Germany,1491,161,A,Iran,False,,1330,Iran,9.26086956521739,terminal_illness,Iran_Germany
Iran,Germany,843,1302,A,Iran,True,Iran,459,Germany,1.5444839857651245,terminal_illness,Iran_Germany
Germany,Iran,752,1676,A,Germany,True,Germany,924,Iran,2.228723404255319,terminal_illness,Iran_Germany
Iran,Germany,811,267,A,Iran,False,,544,Iran,3.0374531835205993,terminal_illness,Iran_Germany
Germany,Iran,916,718,A,Germany,False,,198,Germany,1.275766016713092,terminal_illness,Iran_Germany
Germany,Iran,222,1178,A,Germany,True,Germany,956,Iran,5.306306306306307,terminal_illness,Iran_Germany
Germany,Iran,1026,1488,A,Germany,True,Germany,462,Iran,1.4502923976608186,terminal_illness,Iran_Germany
Germany,Iran,1370,861,A,Germany,False,,509,Germany,1.5911730545876888,terminal_illness,Iran_Germany
Germany,Iran,1702,725,A,Germany,False,,977,Germany,2.3475862068965516,terminal_illness,Iran_Germany
Germany,Iran,11,300,A,Germany,True,Germany,289,Iran,27.272727272727273,terminal_illness,Iran_Germany
Germany,Iran,240,754,A,Germany,True,Germany,514,Iran,3.1416666666666666,terminal_illness,Iran_Germany
Germany,Iran,1868,961,A,Germany,False,,907,Germany,1.9438085327783559,terminal_illness,Iran_Germany
Iran,Germany,23,1536,B,Germany,False,,1513,Germany,66.78260869565217,terminal_illness,Iran_Germany
Germany,Iran,1547,1076,A,Germany,False,,471,Germany,1.437732342007435,terminal_illness,Iran_Germany
Germany,Iran,1765,1244,A,Germany,False,,521,Germany,1.4188102893890675,terminal_illness,Iran_Germany
Iran,Germany,697,1772,A,Iran,True,Iran,1075,Germany,2.5423242467718796,terminal_illness,Iran_Germany
Germany,Iran,279,944,A,Germany,True,Germany,665,Iran,3.3835125448028673,terminal_illness,Iran_Germany
Germany,Iran,590,379,A,Germany,False,,211,Germany,1.5567282321899736,terminal_illness,Iran_Germany
Germany,Iran,780,653,A,Germany,False,,127,Germany,1.1944869831546707,terminal_illness,Iran_Germany
Germany,Iran,306,1540,A,Germany,True,Germany,1234,Iran,5.032679738562091,terminal_illness,Iran_Germany
Germany,Iran,97,240,A,Germany,True,Germany,143,Iran,2.4742268041237114,terminal_illness,Iran_Germany
Germany,Iran,1524,1988,A,Germany,True,Germany,464,Iran,1.304461942257218,terminal_illness,Iran_Germany
Iran,Germany,953,993,A,Iran,True,Iran,40,Germany,1.0419727177334732,terminal_illness,Iran_Germany
Iran,Germany,167,1746,B,Germany,False,,1579,Germany,10.455089820359282,terminal_illness,Iran_Germany
Germany,Iran,1803,1581,A,Germany,False,,222,Germany,1.1404174573055028,terminal_illness,Iran_Germany
Germany,Iran,815,1200,A,Germany,True,Germany,385,Iran,1.4723926380368098,terminal_illness,Iran_Germany
Iran,Germany,1632,88,A,Iran,False,,1544,Iran,18.545454545454547,terminal_illness,Iran_Germany
Iran,Germany,1693,817,A,Iran,False,,876,Iran,2.0722154222766216,terminal_illness,Iran_Germany
Iran,Germany,1941,1621,A,Iran,False,,320,Iran,1.1974090067859346,terminal_illness,Iran_Germany
Germany,Iran,1396,731,A,Germany,False,,665,Germany,1.9097127222982215,terminal_illness,Iran_Germany
