country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Russia,Iran,1083,1597,A,Russia,True,Russia,514,Iran,1.47460757156048,terminal_illness,Iran_Russia
Russia,Iran,1039,1507,A,Russia,True,Russia,468,Iran,1.4504331087584215,terminal_illness,Iran_Russia
Russia,Iran,1932,423,A,Russia,False,,1509,Russia,4.567375886524823,terminal_illness,Iran_Russia
Russia,Iran,513,356,A,Russia,False,,157,Russia,1.4410112359550562,terminal_illness,Iran_Russia
Russia,Iran,705,474,A,Russia,False,,231,Russia,1.4873417721518987,terminal_illness,Iran_Russia
Iran,Russia,1883,1985,A,Iran,True,Iran,102,Russia,1.0541688794476898,terminal_illness,Iran_Russia
Russia,Iran,1161,942,A,Russia,False,,219,Russia,1.232484076433121,terminal_illness,Iran_Russia
Russia,Iran,1058,433,A,Russia,False,,625,Russia,2.443418013856813,terminal_illness,Iran_Russia
Iran,Russia,265,1437,B,Russia,False,,1172,Russia,5.422641509433962,terminal_illness,Iran_Russia
Iran,Russia,1019,1568,A,Iran,True,Iran,549,Russia,1.5387634936211974,terminal_illness,Iran_Russia
Russia,Iran,979,1162,A,Russia,True,Russia,183,Iran,1.1869254341164452,terminal_illness,Iran_Russia
Russia,Iran,800,1922,B,Iran,False,,1122,Iran,2.4025,terminal_illness,Iran_Russia
Russia,Iran,858,1166,A,Russia,True,Russia,308,Iran,1.358974358974359,terminal_illness,Iran_Russia
Iran,Russia,1165,604,A,Iran,False,,561,Iran,1.9288079470198676,terminal_illness,Iran_Russia
Iran,Russia,1371,1923,A,Iran,True,Iran,552,Russia,1.4026258205689277,terminal_illness,Iran_Russia
Russia,Iran,1814,310,A,Russia,False,,1504,Russia,5.851612903225806,terminal_illness,Iran_Russia
Iran,Russia,1391,1263,A,Iran,False,,128,Iran,1.1013460015835312,terminal_illness,Iran_Russia
Iran,Russia,262,1055,B,Russia,False,,793,Russia,4.026717557251908,terminal_illness,Iran_Russia
Russia,Iran,922,584,A,Russia,False,,338,Russia,1.5787671232876712,terminal_illness,Iran_Russia
Russia,Iran,946,1806,A,Russia,True,Russia,860,Iran,1.9090909090909092,terminal_illness,Iran_Russia
Iran,Russia,1480,1570,A,Iran,True,Iran,90,Russia,1.0608108108108107,terminal_illness,Iran_Russia
Iran,Russia,326,816,A,Iran,True,Iran,490,Russia,2.503067484662577,terminal_illness,Iran_Russia
Russia,Iran,1562,4,A,Russia,False,,1558,Russia,390.5,terminal_illness,Iran_Russia
Russia,Iran,1939,841,A,Russia,False,,1098,Russia,2.3055885850178357,terminal_illness,Iran_Russia
Iran,Russia,1279,5,A,Iran,False,,1274,Iran,255.8,terminal_illness,Iran_Russia
Russia,Iran,1881,419,A,Russia,False,,1462,Russia,4.4892601431980905,terminal_illness,Iran_Russia
Iran,Russia,713,755,A,Iran,True,Iran,42,Russia,1.05890603085554,terminal_illness,Iran_Russia
Iran,Russia,1737,1132,A,Iran,False,,605,Iran,1.534452296819788,terminal_illness,Iran_Russia
Russia,Iran,1051,918,A,Russia,False,,133,Russia,1.144880174291939,terminal_illness,Iran_Russia
Russia,Iran,1806,1348,A,Russia,False,,458,Russia,1.3397626112759644,terminal_illness,Iran_Russia
Iran,Russia,1947,1373,A,Iran,False,,574,Iran,1.4180626365622724,terminal_illness,Iran_Russia
Iran,Russia,1765,1907,A,Iran,True,Iran,142,Russia,1.0804532577903683,terminal_illness,Iran_Russia
Russia,Iran,746,863,A,Russia,True,Russia,117,Iran,1.1568364611260054,terminal_illness,Iran_Russia
Russia,Iran,1579,1626,A,Russia,True,Russia,47,Iran,1.0297656744775174,terminal_illness,Iran_Russia
Iran,Russia,188,926,B,Russia,False,,738,Russia,4.925531914893617,terminal_illness,Iran_Russia
Iran,Russia,641,1247,B,Russia,False,,606,Russia,1.9453978159126366,terminal_illness,Iran_Russia
Russia,Iran,666,786,A,Russia,True,Russia,120,Iran,1.1801801801801801,terminal_illness,Iran_Russia
Russia,Iran,1254,729,A,Russia,False,,525,Russia,1.7201646090534979,terminal_illness,Iran_Russia
Russia,Iran,1935,608,A,Russia,False,,1327,Russia,3.182565789473684,terminal_illness,Iran_Russia
Russia,Iran,1526,869,A,Russia,False,,657,Russia,1.7560414269275029,terminal_illness,Iran_Russia
Russia,Iran,1067,695,A,Russia,False,,372,Russia,1.5352517985611511,terminal_illness,Iran_Russia
Russia,Iran,1149,1405,A,Russia,True,Russia,256,Iran,1.2228024369016537,terminal_illness,Iran_Russia
Russia,Iran,705,320,A,Russia,False,,385,Russia,2.203125,terminal_illness,Iran_Russia
Iran,Russia,353,1612,B,Russia,False,,1259,Russia,4.56657223796034,terminal_illness,Iran_Russia
Russia,Iran,1914,518,A,Russia,False,,1396,Russia,3.694980694980695,terminal_illness,Iran_Russia
Iran,Russia,1260,1942,A,Iran,True,Iran,682,Russia,1.5412698412698413,terminal_illness,Iran_Russia
Iran,Russia,1616,1856,A,Iran,True,Iran,240,Russia,1.1485148514851484,terminal_illness,Iran_Russia
Russia,Iran,1938,1977,A,Russia,True,Russia,39,Iran,1.020123839009288,terminal_illness,Iran_Russia
Russia,Iran,188,347,A,Russia,True,Russia,159,Iran,1.8457446808510638,terminal_illness,Iran_Russia
Russia,Iran,1781,1168,A,Russia,False,,613,Russia,1.5248287671232876,terminal_illness,Iran_Russia
