country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Palestine,Israel,1517,733,A,Palestine,False,,784,Palestine,2.069577080491132,terminal_illness,Israel_Palestine
Palestine,Israel,1948,61,A,Palestine,False,,1887,Palestine,31.934426229508198,terminal_illness,Israel_Palestine
Israel,Palestine,758,1258,B,Palestine,False,,500,Palestine,1.6596306068601583,terminal_illness,Israel_Palestine
Israel,Palestine,1168,692,A,Israel,False,,476,Israel,1.6878612716763006,terminal_illness,Israel_Palestine
Israel,Palestine,59,1645,B,Palestine,False,,1586,Palestine,27.88135593220339,terminal_illness,Israel_Palestine
Palestine,Israel,1940,1234,A,Palestine,False,,706,Palestine,1.5721231766612642,terminal_illness,Israel_Palestine
Israel,Palestine,1293,358,A,Israel,False,,935,Israel,3.611731843575419,terminal_illness,Israel_Palestine
Israel,Palestine,429,521,A,Israel,True,Israel,92,Palestine,1.2144522144522145,terminal_illness,Israel_Palestine
Palestine,Israel,29,999,B,Israel,False,,970,Israel,34.44827586206897,terminal_illness,Israel_Palestine
Israel,Palestine,316,1520,B,Palestine,False,,1204,Palestine,4.810126582278481,terminal_illness,Israel_Palestine
Israel,Palestine,1571,1311,A,Israel,False,,260,Israel,1.198321891685736,terminal_illness,Israel_Palestine
Palestine,Israel,29,1889,B,Israel,False,,1860,Israel,65.13793103448276,terminal_illness,Israel_Palestine
Palestine,Israel,1276,1821,A,Palestine,True,Palestine,545,Israel,1.427115987460815,terminal_illness,Israel_Palestine
Israel,Palestine,1488,1038,A,Israel,False,,450,Israel,1.4335260115606936,terminal_illness,Israel_Palestine
Israel,Palestine,1826,1409,A,Israel,False,,417,Israel,1.2959545777146912,terminal_illness,Israel_Palestine
Israel,Palestine,945,1032,B,Palestine,False,,87,Palestine,1.092063492063492,terminal_illness,Israel_Palestine
Palestine,Israel,134,174,A,Palestine,True,Palestine,40,Israel,1.2985074626865671,terminal_illness,Israel_Palestine
Israel,Palestine,1193,1632,A,Israel,True,Israel,439,Palestine,1.3679798826487846,terminal_illness,Israel_Palestine
Israel,Palestine,346,1599,B,Palestine,False,,1253,Palestine,4.621387283236994,terminal_illness,Israel_Palestine
Israel,Palestine,883,951,A,Israel,True,Israel,68,Palestine,1.0770101925254814,terminal_illness,Israel_Palestine
Israel,Palestine,992,579,A,Israel,False,,413,Israel,1.7132987910189983,terminal_illness,Israel_Palestine
Israel,Palestine,1650,983,A,Israel,False,,667,Israel,1.6785350966429298,terminal_illness,Israel_Palestine
Israel,Palestine,781,1548,B,Palestine,False,,767,Palestine,1.9820742637644047,terminal_illness,Israel_Palestine
Palestine,Israel,1003,16,A,Palestine,False,,987,Palestine,62.6875,terminal_illness,Israel_Palestine
Israel,Palestine,1357,1382,B,Palestine,False,,25,Palestine,1.0184229918938836,terminal_illness,Israel_Palestine
Israel,Palestine,1912,1946,A,Israel,True,Israel,34,Palestine,1.0177824267782427,terminal_illness,Israel_Palestine
Palestine,Israel,1288,131,A,Palestine,False,,1157,Palestine,9.83206106870229,terminal_illness,Israel_Palestine
Palestine,Israel,1707,1189,A,Palestine,False,,518,Palestine,1.4356602186711522,terminal_illness,Israel_Palestine
Israel,Palestine,899,694,A,Israel,False,,205,Israel,1.2953890489913544,terminal_illness,Israel_Palestine
Israel,Palestine,1132,1442,B,Palestine,False,,310,Palestine,1.273851590106007,terminal_illness,Israel_Palestine
Palestine,Israel,433,1006,A,Palestine,True,Palestine,573,Israel,2.323325635103926,terminal_illness,Israel_Palestine
