country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Israel,Russia,809,1380,B,Russia,False,,571,Russia,1.7058096415327564,terminal_illness,Israel_Russia
Israel,Russia,989,1110,A,Israel,True,Israel,121,Russia,1.122345803842265,terminal_illness,Israel_Russia
Israel,Russia,1130,1159,A,Israel,True,Israel,29,Russia,1.0256637168141594,terminal_illness,Israel_Russia
Israel,Russia,82,1553,B,Russia,False,,1471,Russia,18.9390243902439,terminal_illness,Israel_Russia
Russia,Israel,1804,680,A,Russia,False,,1124,Russia,2.652941176470588,terminal_illness,Israel_Russia
Russia,Israel,348,590,A,Russia,True,Russia,242,Israel,1.6954022988505748,terminal_illness,Israel_Russia
Israel,Russia,166,1815,B,Russia,False,,1649,Russia,10.933734939759036,terminal_illness,Israel_Russia
Israel,Russia,1499,1601,A,Israel,True,Israel,102,Russia,1.0680453635757172,terminal_illness,Israel_Russia
Russia,Israel,1232,126,A,Russia,False,,1106,Russia,9.777777777777779,terminal_illness,Israel_Russia
Russia,Israel,1023,1346,A,Russia,True,Russia,323,Israel,1.3157380254154447,terminal_illness,Israel_Russia
Russia,Israel,1588,335,A,Russia,False,,1253,Russia,4.740298507462686,terminal_illness,Israel_Russia
Russia,Israel,393,624,A,Russia,True,Russia,231,Israel,1.5877862595419847,terminal_illness,Israel_Russia
Russia,Israel,1212,1776,A,Russia,True,Russia,564,Israel,1.4653465346534653,terminal_illness,Israel_Russia
Israel,Russia,1951,446,A,Israel,False,,1505,Israel,4.374439461883408,terminal_illness,Israel_Russia
Russia,Israel,1284,770,A,Russia,False,,514,Russia,1.6675324675324674,terminal_illness,Israel_Russia
Israel,Russia,222,1717,B,Russia,False,,1495,Russia,7.7342342342342345,terminal_illness,Israel_Russia
Israel,Russia,264,1115,B,Russia,False,,851,Russia,4.223484848484849,terminal_illness,Israel_Russia
Israel,Russia,1826,470,A,Israel,False,,1356,Israel,3.8851063829787233,terminal_illness,Israel_Russia
Russia,Israel,1436,862,A,Russia,False,,574,Russia,1.665893271461717,terminal_illness,Israel_Russia
Israel,Russia,1363,143,A,Israel,False,,1220,Israel,9.531468531468532,terminal_illness,Israel_Russia
Russia,Israel,1118,1745,A,Russia,True,Russia,627,Israel,1.5608228980322003,terminal_illness,Israel_Russia
Russia,Israel,1974,1997,A,Russia,True,Russia,23,Israel,1.0116514690982776,terminal_illness,Israel_Russia
Russia,Israel,1423,397,A,Russia,False,,1026,Russia,3.584382871536524,terminal_illness,Israel_Russia
Israel,Russia,704,292,A,Israel,False,,412,Israel,2.410958904109589,terminal_illness,Israel_Russia
Israel,Russia,1959,752,A,Israel,False,,1207,Israel,2.6050531914893615,terminal_illness,Israel_Russia
Israel,Russia,1142,1945,A,Israel,True,Israel,803,Russia,1.703152364273205,terminal_illness,Israel_Russia
Israel,Russia,733,1481,A,Israel,True,Israel,748,Russia,2.020463847203274,terminal_illness,Israel_Russia
Israel,Russia,803,260,A,Israel,False,,543,Israel,3.0884615384615386,terminal_illness,Israel_Russia
Israel,Russia,452,411,A,Israel,False,,41,Israel,1.099756690997567,terminal_illness,Israel_Russia
Israel,Russia,1971,1881,A,Israel,False,,90,Israel,1.0478468899521531,terminal_illness,Israel_Russia
Israel,Russia,1117,1986,A,Israel,True,Israel,869,Russia,1.7779767233661594,terminal_illness,Israel_Russia
Israel,Russia,377,1778,B,Russia,False,,1401,Russia,4.7161803713527854,terminal_illness,Israel_Russia
Israel,Russia,478,280,A,Israel,False,,198,Israel,1.707142857142857,terminal_illness,Israel_Russia
Russia,Israel,651,1773,A,Russia,True,Russia,1122,Israel,2.7235023041474653,terminal_illness,Israel_Russia
Russia,Israel,1690,1886,A,Russia,True,Russia,196,Israel,1.1159763313609468,terminal_illness,Israel_Russia
Israel,Russia,434,827,A,Israel,True,Israel,393,Russia,1.9055299539170507,terminal_illness,Israel_Russia
Russia,Israel,1779,465,A,Russia,False,,1314,Russia,3.825806451612903,terminal_illness,Israel_Russia
Russia,Israel,716,1138,A,Russia,True,Russia,422,Israel,1.589385474860335,terminal_illness,Israel_Russia
Russia,Israel,211,1270,B,Israel,False,,1059,Israel,6.018957345971564,terminal_illness,Israel_Russia
Russia,Israel,823,1733,A,Russia,True,Russia,910,Israel,2.1057108140947753,terminal_illness,Israel_Russia
Israel,Russia,179,1007,B,Russia,False,,828,Russia,5.625698324022347,terminal_illness,Israel_Russia
Russia,Israel,440,432,A,Russia,False,,8,Russia,1.0185185185185186,terminal_illness,Israel_Russia
Russia,Israel,47,1978,B,Israel,False,,1931,Israel,42.08510638297872,terminal_illness,Israel_Russia
Russia,Israel,1119,1959,A,Russia,True,Russia,840,Israel,1.7506702412868633,terminal_illness,Israel_Russia
Israel,Russia,1474,828,A,Israel,False,,646,Israel,1.7801932367149758,terminal_illness,Israel_Russia
Israel,Russia,1494,1475,A,Israel,False,,19,Israel,1.0128813559322034,terminal_illness,Israel_Russia
Israel,Russia,374,1776,A,Israel,True,Israel,1402,Russia,4.748663101604278,terminal_illness,Israel_Russia
Russia,Israel,830,1097,A,Russia,True,Russia,267,Israel,1.3216867469879519,terminal_illness,Israel_Russia
Israel,Russia,21,322,B,Russia,False,,301,Russia,15.333333333333334,terminal_illness,Israel_Russia
Israel,Russia,1652,1541,A,Israel,False,,111,Israel,1.072031148604802,terminal_illness,Israel_Russia
