country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Japan,France,1303,905,A,Japan,False,,398,Japan,1.4397790055248618,terminal_illness,Japan_France
Japan,France,149,1239,B,France,False,,1090,France,8.315436241610739,terminal_illness,Japan_France
France,Japan,626,1943,B,Japan,False,,1317,Japan,3.1038338658146967,terminal_illness,Japan_France
Japan,France,1377,1295,A,Japan,False,,82,Japan,1.0633204633204634,terminal_illness,Japan_France
France,Japan,1417,374,A,France,False,,1043,France,3.7887700534759357,terminal_illness,Japan_France
France,Japan,1440,1634,A,France,True,France,194,Japan,1.1347222222222222,terminal_illness,Japan_France
France,Japan,1973,1444,A,France,False,,529,France,1.3663434903047091,terminal_illness,Japan_France
France,Japan,810,57,A,France,False,,753,France,14.210526315789474,terminal_illness,Japan_France
France,Japan,87,1731,B,Japan,False,,1644,Japan,19.896551724137932,terminal_illness,Japan_France
France,Japan,1965,1294,A,France,False,,671,France,1.51854714064915,terminal_illness,Japan_France
France,Japan,1635,1639,A,France,True,France,4,Japan,1.002446483180428,terminal_illness,Japan_France
Japan,France,1513,1979,B,France,False,,466,France,1.307997356245869,terminal_illness,Japan_France
France,Japan,51,1689,B,Japan,False,,1638,Japan,33.11764705882353,terminal_illness,Japan_France
France,Japan,515,698,B,Japan,False,,183,Japan,1.3553398058252428,terminal_illness,Japan_France
France,Japan,1362,314,A,France,False,,1048,France,4.337579617834395,terminal_illness,Japan_France
France,Japan,581,1106,B,Japan,False,,525,Japan,1.9036144578313252,terminal_illness,Japan_France
Japan,France,1879,450,A,Japan,False,,1429,Japan,4.1755555555555555,terminal_illness,Japan_France
Japan,France,1244,492,A,Japan,False,,752,Japan,2.5284552845528454,terminal_illness,Japan_France
France,Japan,1004,1192,A,France,True,France,188,Japan,1.1872509960159363,terminal_illness,Japan_France
Japan,France,364,235,A,Japan,False,,129,Japan,1.548936170212766,terminal_illness,Japan_France
France,Japan,1309,1873,B,Japan,False,,564,Japan,1.4308632543926663,terminal_illness,Japan_France
Japan,France,1942,16,A,Japan,False,,1926,Japan,121.375,terminal_illness,Japan_France
Japan,France,1440,1211,A,Japan,False,,229,Japan,1.1890999174236168,terminal_illness,Japan_France
France,Japan,1768,1489,A,France,False,,279,France,1.1873740765614507,terminal_illness,Japan_France
Japan,France,1026,695,A,Japan,False,,331,Japan,1.4762589928057555,terminal_illness,Japan_France
Japan,France,1777,1797,A,Japan,True,Japan,20,France,1.0112549240292628,terminal_illness,Japan_France
Japan,France,181,1542,B,France,False,,1361,France,8.519337016574585,terminal_illness,Japan_France
France,Japan,1607,1562,A,France,False,,45,France,1.028809218950064,terminal_illness,Japan_France
Japan,France,521,801,B,France,False,,280,France,1.5374280230326296,terminal_illness,Japan_France
Japan,France,717,1833,B,France,False,,1116,France,2.5564853556485354,terminal_illness,Japan_France
France,Japan,205,1818,B,Japan,False,,1613,Japan,8.86829268292683,terminal_illness,Japan_France
Japan,France,391,1535,B,France,False,,1144,France,3.925831202046036,terminal_illness,Japan_France
France,Japan,1449,786,A,France,False,,663,France,1.8435114503816794,terminal_illness,Japan_France
Japan,France,1201,1200,A,Japan,False,,1,Japan,1.0008333333333332,terminal_illness,Japan_France
France,Japan,1019,498,A,France,False,,521,France,2.0461847389558234,terminal_illness,Japan_France
France,Japan,1726,1283,A,France,False,,443,France,1.3452844894777864,terminal_illness,Japan_France
Japan,France,1430,263,A,Japan,False,,1167,Japan,5.437262357414449,terminal_illness,Japan_France
Japan,France,798,104,A,Japan,False,,694,Japan,7.673076923076923,terminal_illness,Japan_France
France,Japan,1344,1508,A,France,True,France,164,Japan,1.1220238095238095,terminal_illness,Japan_France
France,Japan,775,1091,B,Japan,False,,316,Japan,1.407741935483871,terminal_illness,Japan_France
Japan,France,135,1327,A,Japan,True,Japan,1192,France,9.829629629629629,terminal_illness,Japan_France
Japan,France,671,1515,B,France,False,,844,France,2.2578241430700445,terminal_illness,Japan_France
Japan,France,1238,1478,A,Japan,True,Japan,240,France,1.1938610662358642,terminal_illness,Japan_France
Japan,France,328,213,A,Japan,False,,115,Japan,1.539906103286385,terminal_illness,Japan_France
France,Japan,712,45,A,France,False,,667,France,15.822222222222223,terminal_illness,Japan_France
France,Japan,83,1372,B,Japan,False,,1289,Japan,16.53012048192771,terminal_illness,Japan_France
Japan,France,890,1366,A,Japan,True,Japan,476,France,1.5348314606741573,terminal_illness,Japan_France
France,Japan,1767,1570,A,France,False,,197,France,1.1254777070063695,terminal_illness,Japan_France
France,Japan,978,1872,B,Japan,False,,894,Japan,1.9141104294478528,terminal_illness,Japan_France
Japan,France,178,265,A,Japan,True,Japan,87,France,1.4887640449438202,terminal_illness,Japan_France
