country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Germany,Mexico,8,1705,B,Mexico,False,,1697,Mexico,213.125,terminal_illness,Mexico_Germany
Germany,Mexico,1736,138,A,Germany,False,,1598,Germany,12.579710144927537,terminal_illness,Mexico_Germany
Mexico,Germany,1577,1630,A,Mexico,True,Mexico,53,Germany,1.0336081166772353,terminal_illness,Mexico_Germany
Germany,Mexico,1970,66,A,Germany,False,,1904,Germany,29.848484848484848,terminal_illness,Mexico_Germany
Mexico,Germany,278,1540,B,Germany,False,,1262,Germany,5.539568345323741,terminal_illness,Mexico_Germany
Mexico,Germany,226,1554,A,Mexico,True,Mexico,1328,Germany,6.876106194690266,terminal_illness,Mexico_Germany
Germany,Mexico,252,1189,B,Mexico,False,,937,Mexico,4.718253968253968,terminal_illness,Mexico_Germany
Germany,Mexico,1737,1354,A,Germany,False,,383,Germany,1.2828655834564253,terminal_illness,Mexico_Germany
Germany,Mexico,68,40,A,Germany,False,,28,Germany,1.7,terminal_illness,Mexico_Germany
Germany,Mexico,1220,1356,A,Germany,True,Germany,136,Mexico,1.1114754098360655,terminal_illness,Mexico_Germany
Germany,Mexico,502,1847,B,Mexico,False,,1345,Mexico,3.6792828685258963,terminal_illness,Mexico_Germany
Germany,Mexico,1277,775,A,Germany,False,,502,Germany,1.647741935483871,terminal_illness,Mexico_Germany
Germany,Mexico,145,1730,B,Mexico,False,,1585,Mexico,11.931034482758621,terminal_illness,Mexico_Germany
Mexico,Germany,637,1881,A,Mexico,True,Mexico,1244,Germany,2.9529042386185242,terminal_illness,Mexico_Germany
Germany,Mexico,831,1925,B,Mexico,False,,1094,Mexico,2.3164861612515044,terminal_illness,Mexico_Germany
Germany,Mexico,1135,1118,A,Germany,False,,17,Germany,1.0152057245080501,terminal_illness,Mexico_Germany
Germany,Mexico,1489,720,A,Germany,False,,769,Germany,2.0680555555555555,terminal_illness,Mexico_Germany
Mexico,Germany,35,327,A,Mexico,True,Mexico,292,Germany,9.342857142857143,terminal_illness,Mexico_Germany
Mexico,Germany,65,1050,B,Germany,False,,985,Germany,16.153846153846153,terminal_illness,Mexico_Germany
Germany,Mexico,1362,554,A,Germany,False,,808,Germany,2.4584837545126352,terminal_illness,Mexico_Germany
Mexico,Germany,1977,657,A,Mexico,False,,1320,Mexico,3.009132420091324,terminal_illness,Mexico_Germany
Germany,Mexico,1901,1259,A,Germany,False,,642,Germany,1.5099285146942016,terminal_illness,Mexico_Germany
Mexico,Germany,508,1803,A,Mexico,True,Mexico,1295,Germany,3.5492125984251968,terminal_illness,Mexico_Germany
Germany,Mexico,243,1597,B,Mexico,False,,1354,Mexico,6.57201646090535,terminal_illness,Mexico_Germany
Mexico,Germany,1726,1607,A,Mexico,False,,119,Mexico,1.074051026757934,terminal_illness,Mexico_Germany
Germany,Mexico,1142,343,A,Germany,False,,799,Germany,3.3294460641399417,terminal_illness,Mexico_Germany
Germany,Mexico,1542,1546,B,Mexico,False,,4,Mexico,1.0025940337224384,terminal_illness,Mexico_Germany
Mexico,Germany,1899,1852,A,Mexico,False,,47,Mexico,1.025377969762419,terminal_illness,Mexico_Germany
Germany,Mexico,988,1681,B,Mexico,False,,693,Mexico,1.701417004048583,terminal_illness,Mexico_Germany
Mexico,Germany,1787,1202,A,Mexico,False,,585,Mexico,1.4866888519134775,terminal_illness,Mexico_Germany
Mexico,Germany,688,447,A,Mexico,False,,241,Mexico,1.5391498881431767,terminal_illness,Mexico_Germany
Germany,Mexico,1480,1977,B,Mexico,False,,497,Mexico,1.3358108108108109,terminal_illness,Mexico_Germany
Mexico,Germany,974,1875,A,Mexico,True,Mexico,901,Germany,1.9250513347022586,terminal_illness,Mexico_Germany
Mexico,Germany,769,129,A,Mexico,False,,640,Mexico,5.961240310077519,terminal_illness,Mexico_Germany
Mexico,Germany,29,1914,B,Germany,False,,1885,Germany,66.0,terminal_illness,Mexico_Germany
Mexico,Germany,1312,1529,A,Mexico,True,Mexico,217,Germany,1.1653963414634145,terminal_illness,Mexico_Germany
Germany,Mexico,1015,1802,B,Mexico,False,,787,Mexico,1.7753694581280788,terminal_illness,Mexico_Germany
Mexico,Germany,962,1040,A,Mexico,True,Mexico,78,Germany,1.0810810810810811,terminal_illness,Mexico_Germany
Mexico,Germany,148,1531,B,Germany,False,,1383,Germany,10.344594594594595,terminal_illness,Mexico_Germany
Mexico,Germany,1126,373,A,Mexico,False,,753,Mexico,3.0187667560321714,terminal_illness,Mexico_Germany
Mexico,Germany,360,647,A,Mexico,True,Mexico,287,Germany,1.7972222222222223,terminal_illness,Mexico_Germany
Mexico,Germany,104,1719,B,Germany,False,,1615,Germany,16.528846153846153,terminal_illness,Mexico_Germany
Germany,Mexico,69,771,B,Mexico,False,,702,Mexico,11.173913043478262,terminal_illness,Mexico_Germany
Germany,Mexico,1714,1087,A,Germany,False,,627,Germany,1.5768169273229071,terminal_illness,Mexico_Germany
Mexico,Germany,232,919,B,Germany,False,,687,Germany,3.961206896551724,terminal_illness,Mexico_Germany
Germany,Mexico,944,1480,B,Mexico,False,,536,Mexico,1.5677966101694916,terminal_illness,Mexico_Germany
Germany,Mexico,722,1534,B,Mexico,False,,812,Mexico,2.1246537396121883,terminal_illness,Mexico_Germany
Mexico,Germany,717,498,A,Mexico,False,,219,Mexico,1.4397590361445782,terminal_illness,Mexico_Germany
Germany,Mexico,986,1469,A,Germany,True,Germany,483,Mexico,1.4898580121703855,terminal_illness,Mexico_Germany
Germany,Mexico,357,592,B,Mexico,False,,235,Mexico,1.658263305322129,terminal_illness,Mexico_Germany
