country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
India,Mexico,224,1594,A,India,True,India,1370,Mexico,7.116071428571429,terminal_illness,Mexico_India
Mexico,India,165,852,B,India,False,,687,India,5.163636363636364,terminal_illness,Mexico_India
Mexico,India,1346,1293,A,Mexico,False,,53,Mexico,1.0409899458623357,terminal_illness,Mexico_India
Mexico,India,1597,400,A,Mexico,False,,1197,Mexico,3.9925,terminal_illness,Mexico_India
Mexico,India,1244,1847,B,India,False,,603,India,1.484726688102894,terminal_illness,Mexico_India
Mexico,India,188,1899,B,India,False,,1711,India,10.101063829787234,terminal_illness,Mexico_India
India,Mexico,235,1084,A,India,True,India,849,Mexico,4.6127659574468085,terminal_illness,Mexico_India
India,Mexico,1260,849,A,India,False,,411,India,1.4840989399293287,terminal_illness,Mexico_India
India,Mexico,163,448,B,Mexico,False,,285,Mexico,2.7484662576687118,terminal_illness,Mexico_India
Mexico,India,580,1644,B,India,False,,1064,India,2.8344827586206898,terminal_illness,Mexico_India
India,Mexico,1556,399,A,India,False,,1157,India,3.899749373433584,terminal_illness,Mexico_India
Mexico,India,496,785,B,India,False,,289,India,1.5826612903225807,terminal_illness,Mexico_India
India,Mexico,1958,127,A,India,False,,1831,India,15.417322834645669,terminal_illness,Mexico_India
India,Mexico,1994,1290,A,India,False,,704,India,1.5457364341085271,terminal_illness,Mexico_India
Mexico,India,1852,52,A,Mexico,False,,1800,Mexico,35.61538461538461,terminal_illness,Mexico_India
India,Mexico,519,1291,A,India,True,India,772,Mexico,2.48747591522158,terminal_illness,Mexico_India
Mexico,India,335,61,A,Mexico,False,,274,Mexico,5.491803278688525,terminal_illness,Mexico_India
Mexico,India,1196,188,A,Mexico,False,,1008,Mexico,6.361702127659575,terminal_illness,Mexico_India
India,Mexico,1577,1440,A,India,False,,137,India,1.0951388888888889,terminal_illness,Mexico_India
Mexico,India,1100,1315,A,Mexico,True,Mexico,215,India,1.1954545454545455,terminal_illness,Mexico_India
India,Mexico,1049,1957,A,India,True,India,908,Mexico,1.86558627264061,terminal_illness,Mexico_India
Mexico,India,1299,675,A,Mexico,False,,624,Mexico,1.9244444444444444,terminal_illness,Mexico_India
Mexico,India,1974,1007,A,Mexico,False,,967,Mexico,1.9602780536246276,terminal_illness,Mexico_India
India,Mexico,1756,998,A,India,False,,758,India,1.7595190380761523,terminal_illness,Mexico_India
Mexico,India,521,555,A,Mexico,True,Mexico,34,India,1.0652591170825336,terminal_illness,Mexico_India
Mexico,India,1977,319,A,Mexico,False,,1658,Mexico,6.197492163009405,terminal_illness,Mexico_India
Mexico,India,1021,986,A,Mexico,False,,35,Mexico,1.0354969574036512,terminal_illness,Mexico_India
India,Mexico,173,362,A,India,True,India,189,Mexico,2.092485549132948,terminal_illness,Mexico_India
Mexico,India,416,134,A,Mexico,False,,282,Mexico,3.1044776119402986,terminal_illness,Mexico_India
India,Mexico,601,14,A,India,False,,587,India,42.92857142857143,terminal_illness,Mexico_India
India,Mexico,1288,1442,A,India,True,India,154,Mexico,1.1195652173913044,terminal_illness,Mexico_India
India,Mexico,1739,97,A,India,False,,1642,India,17.927835051546392,terminal_illness,Mexico_India
Mexico,India,1989,576,A,Mexico,False,,1413,Mexico,3.453125,terminal_illness,Mexico_India
Mexico,India,1028,1122,A,Mexico,True,Mexico,94,India,1.0914396887159532,terminal_illness,Mexico_India
Mexico,India,608,1516,B,India,False,,908,India,2.4934210526315788,terminal_illness,Mexico_India
Mexico,India,621,1592,B,India,False,,971,India,2.5636070853462156,terminal_illness,Mexico_India
Mexico,India,89,742,B,India,False,,653,India,8.337078651685394,terminal_illness,Mexico_India
Mexico,India,928,1133,B,India,False,,205,India,1.2209051724137931,terminal_illness,Mexico_India
India,Mexico,1762,87,A,India,False,,1675,India,20.25287356321839,terminal_illness,Mexico_India
Mexico,India,595,796,B,India,False,,201,India,1.33781512605042,terminal_illness,Mexico_India
Mexico,India,881,289,A,Mexico,False,,592,Mexico,3.0484429065743943,terminal_illness,Mexico_India
Mexico,India,658,613,A,Mexico,False,,45,Mexico,1.0734094616639478,terminal_illness,Mexico_India
India,Mexico,738,1678,A,India,True,India,940,Mexico,2.2737127371273713,terminal_illness,Mexico_India
India,Mexico,1127,899,A,India,False,,228,India,1.253615127919911,terminal_illness,Mexico_India
Mexico,India,622,918,B,India,False,,296,India,1.4758842443729903,terminal_illness,Mexico_India
Mexico,India,967,1362,B,India,False,,395,India,1.408479834539814,terminal_illness,Mexico_India
India,Mexico,214,1704,B,Mexico,False,,1490,Mexico,7.962616822429907,terminal_illness,Mexico_India
Mexico,India,256,1435,B,India,False,,1179,India,5.60546875,terminal_illness,Mexico_India
Mexico,India,887,1670,B,India,False,,783,India,1.882750845546787,terminal_illness,Mexico_India
Mexico,India,913,1774,B,India,False,,861,India,1.9430449069003286,terminal_illness,Mexico_India
