country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Nigeria,France,1262,1111,A,Nigeria,False,,151,Nigeria,1.1359135913591358,terminal_illness,Nigeria_France
Nigeria,France,1814,907,A,Nigeria,False,,907,Nigeria,2.0,terminal_illness,Nigeria_France
France,Nigeria,1030,706,A,France,False,,324,France,1.4589235127478755,terminal_illness,Nigeria_France
Nigeria,France,1266,1293,A,Nigeria,True,Nigeria,27,France,1.0213270142180095,terminal_illness,Nigeria_France
France,Nigeria,14,1387,B,Nigeria,False,,1373,Nigeria,99.07142857142857,terminal_illness,Nigeria_France
Nigeria,France,303,1417,A,Nigeria,True,Nigeria,1114,France,4.676567656765677,terminal_illness,Nigeria_France
France,Nigeria,51,712,B,Nigeria,False,,661,Nigeria,13.96078431372549,terminal_illness,Nigeria_France
France,Nigeria,217,1424,B,Nigeria,False,,1207,Nigeria,6.56221198156682,terminal_illness,Nigeria_France
France,Nigeria,1994,404,A,France,False,,1590,France,4.935643564356436,terminal_illness,Nigeria_France
France,Nigeria,816,642,A,France,False,,174,France,1.2710280373831775,terminal_illness,Nigeria_France
France,Nigeria,1996,1266,A,France,False,,730,France,1.5766192733017377,terminal_illness,Nigeria_France
France,Nigeria,36,563,B,Nigeria,False,,527,Nigeria,15.63888888888889,terminal_illness,Nigeria_France
France,Nigeria,584,1288,B,Nigeria,False,,704,Nigeria,2.2054794520547945,terminal_illness,Nigeria_France
Nigeria,France,646,1717,A,Nigeria,True,Nigeria,1071,France,2.6578947368421053,terminal_illness,Nigeria_France
Nigeria,France,343,765,A,Nigeria,True,Nigeria,422,France,2.2303206997084546,terminal_illness,Nigeria_France
Nigeria,France,1664,1319,A,Nigeria,False,,345,Nigeria,1.2615617892342683,terminal_illness,Nigeria_France
France,Nigeria,1111,281,A,France,False,,830,France,3.9537366548042705,terminal_illness,Nigeria_France
France,Nigeria,635,1865,B,Nigeria,False,,1230,Nigeria,2.937007874015748,terminal_illness,Nigeria_France
France,Nigeria,453,694,B,Nigeria,False,,241,Nigeria,1.532008830022075,terminal_illness,Nigeria_France
Nigeria,France,504,270,A,Nigeria,False,,234,Nigeria,1.8666666666666667,terminal_illness,Nigeria_France
Nigeria,France,230,995,A,Nigeria,True,Nigeria,765,France,4.326086956521739,terminal_illness,Nigeria_France
Nigeria,France,1509,1046,A,Nigeria,False,,463,Nigeria,1.44263862332696,terminal_illness,Nigeria_France
France,Nigeria,819,278,A,France,False,,541,France,2.946043165467626,terminal_illness,Nigeria_France
France,Nigeria,218,73,A,France,False,,145,France,2.9863013698630136,terminal_illness,Nigeria_France
Nigeria,France,400,837,A,Nigeria,True,Nigeria,437,France,2.0925,terminal_illness,Nigeria_France
France,Nigeria,879,1695,B,Nigeria,False,,816,Nigeria,1.9283276450511946,terminal_illness,Nigeria_France
France,Nigeria,780,1169,B,Nigeria,False,,389,Nigeria,1.4987179487179487,terminal_illness,Nigeria_France
France,Nigeria,1503,333,A,France,False,,1170,France,4.513513513513513,terminal_illness,Nigeria_France
France,Nigeria,741,1590,B,Nigeria,False,,849,Nigeria,2.145748987854251,terminal_illness,Nigeria_France
Nigeria,France,739,977,A,Nigeria,True,Nigeria,238,France,1.3220568335588634,terminal_illness,Nigeria_France
Nigeria,France,1064,1433,A,Nigeria,True,Nigeria,369,France,1.3468045112781954,terminal_illness,Nigeria_France
Nigeria,France,1456,41,A,Nigeria,False,,1415,Nigeria,35.51219512195122,terminal_illness,Nigeria_France
France,Nigeria,1465,389,A,France,False,,1076,France,3.7660668380462723,terminal_illness,Nigeria_France
Nigeria,France,1054,1255,A,Nigeria,True,Nigeria,201,France,1.1907020872865275,terminal_illness,Nigeria_France
Nigeria,France,1996,1182,A,Nigeria,False,,814,Nigeria,1.6886632825719121,terminal_illness,Nigeria_France
Nigeria,France,890,679,A,Nigeria,False,,211,Nigeria,1.3107511045655376,terminal_illness,Nigeria_France
France,Nigeria,1921,181,A,France,False,,1740,France,10.613259668508288,terminal_illness,Nigeria_France
Nigeria,France,316,85,A,Nigeria,False,,231,Nigeria,3.7176470588235295,terminal_illness,Nigeria_France
Nigeria,France,1878,1145,A,Nigeria,False,,733,Nigeria,1.6401746724890829,terminal_illness,Nigeria_France
Nigeria,France,205,771,A,Nigeria,True,Nigeria,566,France,3.7609756097560973,terminal_illness,Nigeria_France
France,Nigeria,130,116,A,France,False,,14,France,1.1206896551724137,terminal_illness,Nigeria_France
France,Nigeria,276,924,B,Nigeria,False,,648,Nigeria,3.347826086956522,terminal_illness,Nigeria_France
France,Nigeria,1645,469,A,France,False,,1176,France,3.5074626865671643,terminal_illness,Nigeria_France
France,Nigeria,1100,775,A,France,False,,325,France,1.4193548387096775,terminal_illness,Nigeria_France
Nigeria,France,1877,994,A,Nigeria,False,,883,Nigeria,1.8883299798792756,terminal_illness,Nigeria_France
France,Nigeria,135,1223,B,Nigeria,False,,1088,Nigeria,9.059259259259258,terminal_illness,Nigeria_France
France,Nigeria,1265,1099,A,France,False,,166,France,1.151046405823476,terminal_illness,Nigeria_France
France,Nigeria,1118,1200,B,Nigeria,False,,82,Nigeria,1.073345259391771,terminal_illness,Nigeria_France
Nigeria,France,140,369,A,Nigeria,True,Nigeria,229,France,2.6357142857142857,terminal_illness,Nigeria_France
Nigeria,France,1676,629,A,Nigeria,False,,1047,Nigeria,2.6645468998410173,terminal_illness,Nigeria_France
