country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Nigeria,Taiwan,772,1075,A,Nigeria,True,Nigeria,303,Taiwan,1.3924870466321244,terminal_illness,Nigeria_Taiwan
Nigeria,Taiwan,135,378,A,Nigeria,True,Nigeria,243,Taiwan,2.8,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,1908,1052,A,Taiwan,False,,856,Taiwan,1.8136882129277567,terminal_illness,Nigeria_Taiwan
Nigeria,Taiwan,930,701,A,Nigeria,False,,229,Nigeria,1.326676176890157,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,1310,1571,A,Taiwan,True,Taiwan,261,Nigeria,1.199236641221374,terminal_illness,Nigeria_Taiwan
Nigeria,Taiwan,1280,1370,A,Nigeria,True,Nigeria,90,Taiwan,1.0703125,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,1790,765,A,Taiwan,False,,1025,Taiwan,2.3398692810457518,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,466,1424,B,Nigeria,False,,958,Nigeria,3.055793991416309,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,1123,14,A,Taiwan,False,,1109,Taiwan,80.21428571428571,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,780,1951,B,Nigeria,False,,1171,Nigeria,2.5012820512820513,terminal_illness,Nigeria_Taiwan
Nigeria,Taiwan,1955,1213,A,Nigeria,False,,742,Nigeria,1.6117065127782357,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,1061,811,A,Taiwan,False,,250,Taiwan,1.3082614056720099,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,1125,1382,A,Taiwan,True,Taiwan,257,Nigeria,1.2284444444444444,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,1700,1423,A,Taiwan,False,,277,Taiwan,1.1946591707659873,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,856,1771,B,Nigeria,False,,915,Nigeria,2.06892523364486,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,1435,1095,A,Taiwan,False,,340,Taiwan,1.3105022831050228,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,1362,1000,A,Taiwan,False,,362,Taiwan,1.362,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,1693,1117,A,Taiwan,False,,576,Taiwan,1.5156669650850492,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,683,258,A,Taiwan,False,,425,Taiwan,2.647286821705426,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,777,359,A,Taiwan,False,,418,Taiwan,2.1643454038997216,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,1311,1528,A,Taiwan,True,Taiwan,217,Nigeria,1.1655225019069413,terminal_illness,Nigeria_Taiwan
Nigeria,Taiwan,1061,243,A,Nigeria,False,,818,Nigeria,4.366255144032922,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,536,1240,B,Nigeria,False,,704,Nigeria,2.3134328358208953,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,632,1475,B,Nigeria,False,,843,Nigeria,2.3338607594936707,terminal_illness,Nigeria_Taiwan
Nigeria,Taiwan,1114,243,A,Nigeria,False,,871,Nigeria,4.584362139917696,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,1468,1864,B,Nigeria,False,,396,Nigeria,1.2697547683923707,terminal_illness,Nigeria_Taiwan
Nigeria,Taiwan,620,97,A,Nigeria,False,,523,Nigeria,6.391752577319588,terminal_illness,Nigeria_Taiwan
Nigeria,Taiwan,4,1054,B,Taiwan,False,,1050,Taiwan,263.5,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,1986,1221,A,Taiwan,False,,765,Taiwan,1.6265356265356266,terminal_illness,Nigeria_Taiwan
Nigeria,Taiwan,1494,1096,A,Nigeria,False,,398,Nigeria,1.3631386861313868,terminal_illness,Nigeria_Taiwan
Nigeria,Taiwan,258,955,A,Nigeria,True,Nigeria,697,Taiwan,3.701550387596899,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,517,1550,B,Nigeria,False,,1033,Nigeria,2.998065764023211,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,588,66,A,Taiwan,False,,522,Taiwan,8.909090909090908,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,1693,989,A,Taiwan,False,,704,Taiwan,1.711830131445905,terminal_illness,Nigeria_Taiwan
Nigeria,Taiwan,992,1469,A,Nigeria,True,Nigeria,477,Taiwan,1.4808467741935485,terminal_illness,Nigeria_Taiwan
Nigeria,Taiwan,785,13,A,Nigeria,False,,772,Nigeria,60.38461538461539,terminal_illness,Nigeria_Taiwan
Taiwan,Nigeria,219,404,B,Nigeria,False,,185,Nigeria,1.8447488584474885,terminal_illness,Nigeria_Taiwan
