country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
South Africa,Pakistan,1712,1978,A,South Africa,True,South Africa,266,Pakistan,1.155373831775701,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,284,230,A,Pakistan,False,,54,Pakistan,1.2347826086956522,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,910,560,A,Pakistan,False,,350,Pakistan,1.625,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,936,1728,A,Pakistan,True,Pakistan,792,South Africa,1.8461538461538463,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,104,273,A,South Africa,True,South Africa,169,Pakistan,2.625,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,1500,1980,B,South Africa,False,,480,South Africa,1.32,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,1605,1014,A,South Africa,False,,591,South Africa,1.5828402366863905,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,1279,696,A,South Africa,False,,583,South Africa,1.8376436781609196,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,272,651,B,South Africa,False,,379,South Africa,2.3933823529411766,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,1231,1374,A,South Africa,True,South Africa,143,Pakistan,1.116165718927701,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,274,1075,B,South Africa,False,,801,South Africa,3.923357664233577,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,681,445,A,Pakistan,False,,236,Pakistan,1.5303370786516854,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,1447,574,A,South Africa,False,,873,South Africa,2.5209059233449476,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,919,437,A,Pakistan,False,,482,Pakistan,2.102974828375286,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,248,379,A,South Africa,True,South Africa,131,Pakistan,1.528225806451613,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,1718,906,A,Pakistan,False,,812,Pakistan,1.8962472406181015,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,1358,1051,A,South Africa,False,,307,South Africa,1.2921027592768792,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,957,881,A,Pakistan,False,,76,Pakistan,1.0862656072644723,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,869,70,A,South Africa,False,,799,South Africa,12.414285714285715,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,1108,1248,A,South Africa,True,South Africa,140,Pakistan,1.1263537906137184,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,1414,1751,A,Pakistan,True,Pakistan,337,South Africa,1.2383309759547383,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,1569,1932,A,South Africa,True,South Africa,363,Pakistan,1.231357552581262,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,387,1264,B,South Africa,False,,877,South Africa,3.2661498708010335,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,1439,265,A,Pakistan,False,,1174,Pakistan,5.430188679245283,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,810,542,A,South Africa,False,,268,South Africa,1.4944649446494465,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,716,1102,A,South Africa,True,South Africa,386,Pakistan,1.5391061452513966,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,1604,855,A,Pakistan,False,,749,Pakistan,1.8760233918128655,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,1277,1168,A,Pakistan,False,,109,Pakistan,1.0933219178082192,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,1949,352,A,South Africa,False,,1597,South Africa,5.536931818181818,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,1353,903,A,Pakistan,False,,450,Pakistan,1.4983388704318936,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,67,638,B,Pakistan,False,,571,Pakistan,9.522388059701493,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,1576,1858,A,South Africa,True,South Africa,282,Pakistan,1.1789340101522843,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,481,1687,A,South Africa,True,South Africa,1206,Pakistan,3.507276507276507,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,1843,483,A,South Africa,False,,1360,South Africa,3.8157349896480333,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,1203,912,A,Pakistan,False,,291,Pakistan,1.319078947368421,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,1945,1988,A,South Africa,True,South Africa,43,Pakistan,1.022107969151671,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,510,1777,A,South Africa,True,South Africa,1267,Pakistan,3.484313725490196,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,33,1732,B,South Africa,False,,1699,South Africa,52.484848484848484,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,1355,1330,A,South Africa,False,,25,South Africa,1.018796992481203,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,429,1319,B,Pakistan,False,,890,Pakistan,3.0745920745920747,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,1964,217,A,South Africa,False,,1747,South Africa,9.050691244239632,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,1750,629,A,Pakistan,False,,1121,Pakistan,2.7821939586645468,terminal_illness,Pakistan_South Africa
Pakistan,South Africa,661,102,A,Pakistan,False,,559,Pakistan,6.480392156862745,terminal_illness,Pakistan_South Africa
South Africa,Pakistan,344,1155,A,South Africa,True,South Africa,811,Pakistan,3.3575581395348837,terminal_illness,Pakistan_South Africa
