country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Philippines,Palestine,363,1096,B,Palestine,False,,733,Palestine,3.0192837465564737,terminal_illness,Palestine_Philippines
Philippines,Palestine,930,1441,B,Palestine,False,,511,Palestine,1.549462365591398,terminal_illness,Palestine_Philippines
Philippines,Palestine,870,1575,B,Palestine,False,,705,Palestine,1.8103448275862069,terminal_illness,Palestine_Philippines
Palestine,Philippines,878,1060,A,Palestine,True,Palestine,182,Philippines,1.2072892938496582,terminal_illness,Palestine_Philippines
Philippines,Palestine,1270,465,A,Philippines,False,,805,Philippines,2.7311827956989245,terminal_illness,Palestine_Philippines
Palestine,Philippines,1077,641,A,Palestine,False,,436,Palestine,1.6801872074882995,terminal_illness,Palestine_Philippines
Palestine,Philippines,572,1967,B,Philippines,False,,1395,Philippines,3.4388111888111887,terminal_illness,Palestine_Philippines
Philippines,Palestine,1444,1482,B,Palestine,False,,38,Palestine,1.0263157894736843,terminal_illness,Palestine_Philippines
Philippines,Palestine,530,1746,B,Palestine,False,,1216,Palestine,3.2943396226415094,terminal_illness,Palestine_Philippines
Philippines,Palestine,180,1452,B,Palestine,False,,1272,Palestine,8.066666666666666,terminal_illness,Palestine_Philippines
Palestine,Philippines,853,1219,A,Palestine,True,Palestine,366,Philippines,1.429073856975381,terminal_illness,Palestine_Philippines
Palestine,Philippines,1514,911,A,Palestine,False,,603,Palestine,1.6619099890230515,terminal_illness,Palestine_Philippines
Palestine,Philippines,157,627,A,Palestine,True,Palestine,470,Philippines,3.9936305732484074,terminal_illness,Palestine_Philippines
Philippines,Palestine,1629,1597,A,Philippines,False,,32,Philippines,1.0200375704445837,terminal_illness,Palestine_Philippines
Palestine,Philippines,323,993,A,Palestine,True,Palestine,670,Philippines,3.0743034055727554,terminal_illness,Palestine_Philippines
Philippines,Palestine,381,306,A,Philippines,False,,75,Philippines,1.2450980392156863,terminal_illness,Palestine_Philippines
Palestine,Philippines,1470,1867,A,Palestine,True,Palestine,397,Philippines,1.2700680272108844,terminal_illness,Palestine_Philippines
Philippines,Palestine,616,1273,B,Palestine,False,,657,Palestine,2.0665584415584415,terminal_illness,Palestine_Philippines
Philippines,Palestine,547,857,B,Palestine,False,,310,Palestine,1.56672760511883,terminal_illness,Palestine_Philippines
Palestine,Philippines,1804,1722,A,Palestine,False,,82,Palestine,1.0476190476190477,terminal_illness,Palestine_Philippines
Philippines,Palestine,1079,1335,B,Palestine,False,,256,Palestine,1.23725671918443,terminal_illness,Palestine_Philippines
Palestine,Philippines,1422,1505,A,Palestine,True,Palestine,83,Philippines,1.0583684950773558,terminal_illness,Palestine_Philippines
Philippines,Palestine,401,1387,B,Palestine,False,,986,Palestine,3.458852867830424,terminal_illness,Palestine_Philippines
Philippines,Palestine,1811,1830,B,Palestine,False,,19,Palestine,1.0104914411927113,terminal_illness,Palestine_Philippines
Palestine,Philippines,563,1688,A,Palestine,True,Palestine,1125,Philippines,2.9982238010657194,terminal_illness,Palestine_Philippines
Philippines,Palestine,686,374,A,Philippines,False,,312,Philippines,1.8342245989304813,terminal_illness,Palestine_Philippines
Palestine,Philippines,1307,689,A,Palestine,False,,618,Palestine,1.8969521044992743,terminal_illness,Palestine_Philippines
Palestine,Philippines,1845,969,A,Palestine,False,,876,Palestine,1.9040247678018576,terminal_illness,Palestine_Philippines
Palestine,Philippines,1286,1192,A,Palestine,False,,94,Palestine,1.0788590604026846,terminal_illness,Palestine_Philippines
Philippines,Palestine,1934,855,A,Philippines,False,,1079,Philippines,2.2619883040935673,terminal_illness,Palestine_Philippines
Palestine,Philippines,823,1497,B,Philippines,False,,674,Philippines,1.818955042527339,terminal_illness,Palestine_Philippines
Palestine,Philippines,797,1002,A,Palestine,True,Palestine,205,Philippines,1.2572145545796738,terminal_illness,Palestine_Philippines
Palestine,Philippines,523,1699,B,Philippines,False,,1176,Philippines,3.248565965583174,terminal_illness,Palestine_Philippines
Palestine,Philippines,1625,426,A,Palestine,False,,1199,Palestine,3.8145539906103285,terminal_illness,Palestine_Philippines
Philippines,Palestine,1589,701,A,Philippines,False,,888,Philippines,2.2667617689015693,terminal_illness,Palestine_Philippines
Palestine,Philippines,56,1126,B,Philippines,False,,1070,Philippines,20.107142857142858,terminal_illness,Palestine_Philippines
Palestine,Philippines,1490,19,A,Palestine,False,,1471,Palestine,78.42105263157895,terminal_illness,Palestine_Philippines
Philippines,Palestine,760,1496,B,Palestine,False,,736,Palestine,1.9684210526315788,terminal_illness,Palestine_Philippines
Philippines,Palestine,964,751,A,Philippines,False,,213,Philippines,1.2836218375499335,terminal_illness,Palestine_Philippines
Philippines,Palestine,660,874,B,Palestine,False,,214,Palestine,1.3242424242424242,terminal_illness,Palestine_Philippines
Philippines,Palestine,1869,49,A,Philippines,False,,1820,Philippines,38.142857142857146,terminal_illness,Palestine_Philippines
Philippines,Palestine,130,1819,B,Palestine,False,,1689,Palestine,13.992307692307692,terminal_illness,Palestine_Philippines
Palestine,Philippines,139,1646,B,Philippines,False,,1507,Philippines,11.841726618705035,terminal_illness,Palestine_Philippines
Palestine,Philippines,419,170,A,Palestine,False,,249,Palestine,2.4647058823529413,terminal_illness,Palestine_Philippines
Palestine,Philippines,160,841,B,Philippines,False,,681,Philippines,5.25625,terminal_illness,Palestine_Philippines
Philippines,Palestine,1131,193,A,Philippines,False,,938,Philippines,5.860103626943006,terminal_illness,Palestine_Philippines
Palestine,Philippines,1864,1178,A,Palestine,False,,686,Palestine,1.5823429541595926,terminal_illness,Palestine_Philippines
Palestine,Philippines,714,410,A,Palestine,False,,304,Palestine,1.7414634146341463,terminal_illness,Palestine_Philippines
Philippines,Palestine,147,548,B,Palestine,False,,401,Palestine,3.727891156462585,terminal_illness,Palestine_Philippines
Philippines,Palestine,1951,1411,A,Philippines,False,,540,Philippines,1.3827072997873848,terminal_illness,Palestine_Philippines
