country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Palestine,South Africa,1097,1741,B,South Africa,False,,644,South Africa,1.5870556061987238,terminal_illness,Palestine_South Africa
South Africa,Palestine,1222,891,A,South Africa,False,,331,South Africa,1.3714927048260381,terminal_illness,Palestine_South Africa
Palestine,South Africa,1208,1429,A,Palestine,True,Palestine,221,South Africa,1.1829470198675496,terminal_illness,Palestine_South Africa
South Africa,Palestine,648,81,A,South Africa,False,,567,South Africa,8.0,terminal_illness,Palestine_South Africa
South Africa,Palestine,1742,682,A,South Africa,False,,1060,South Africa,2.5542521994134897,terminal_illness,Palestine_South Africa
South Africa,Palestine,730,1250,B,Palestine,False,,520,Palestine,1.7123287671232876,terminal_illness,Palestine_South Africa
South Africa,Palestine,1542,1330,A,South Africa,False,,212,South Africa,1.1593984962406014,terminal_illness,Palestine_South Africa
South Africa,Palestine,1269,42,A,South Africa,False,,1227,South Africa,30.214285714285715,terminal_illness,Palestine_South Africa
South Africa,Palestine,679,91,A,South Africa,False,,588,South Africa,7.461538461538462,terminal_illness,Palestine_South Africa
Palestine,South Africa,1895,690,A,Palestine,False,,1205,Palestine,2.746376811594203,terminal_illness,Palestine_South Africa
Palestine,South Africa,1695,1240,A,Palestine,False,,455,Palestine,1.3669354838709677,terminal_illness,Palestine_South Africa
South Africa,Palestine,1184,1072,A,South Africa,False,,112,South Africa,1.1044776119402986,terminal_illness,Palestine_South Africa
Palestine,South Africa,1031,1493,B,South Africa,False,,462,South Africa,1.4481086323957324,terminal_illness,Palestine_South Africa
Palestine,South Africa,101,509,B,South Africa,False,,408,South Africa,5.03960396039604,terminal_illness,Palestine_South Africa
South Africa,Palestine,1557,1820,B,Palestine,False,,263,Palestine,1.1689145793192035,terminal_illness,Palestine_South Africa
South Africa,Palestine,1824,1075,A,South Africa,False,,749,South Africa,1.6967441860465116,terminal_illness,Palestine_South Africa
South Africa,Palestine,908,1347,B,Palestine,False,,439,Palestine,1.4834801762114538,terminal_illness,Palestine_South Africa
Palestine,South Africa,1315,1127,A,Palestine,False,,188,Palestine,1.1668145519077195,terminal_illness,Palestine_South Africa
South Africa,Palestine,1127,1671,B,Palestine,False,,544,Palestine,1.4826974267968056,terminal_illness,Palestine_South Africa
South Africa,Palestine,1903,1743,A,South Africa,False,,160,South Africa,1.0917957544463568,terminal_illness,Palestine_South Africa
Palestine,South Africa,368,1680,B,South Africa,False,,1312,South Africa,4.565217391304348,terminal_illness,Palestine_South Africa
Palestine,South Africa,548,1926,B,South Africa,False,,1378,South Africa,3.5145985401459856,terminal_illness,Palestine_South Africa
South Africa,Palestine,1452,1867,B,Palestine,False,,415,Palestine,1.2858126721763086,terminal_illness,Palestine_South Africa
