country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Palestine,Taiwan,87,1736,B,Taiwan,False,,1649,Taiwan,19.95402298850575,terminal_illness,Palestine_Taiwan
Palestine,Taiwan,1186,1465,A,Palestine,True,Palestine,279,Taiwan,1.2352445193929174,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,978,248,A,Taiwan,False,,730,Taiwan,3.943548387096774,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,1773,86,A,Taiwan,False,,1687,Taiwan,20.61627906976744,terminal_illness,Palestine_Taiwan
Palestine,Taiwan,1235,69,A,Palestine,False,,1166,Palestine,17.89855072463768,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,1558,1929,B,Palestine,False,,371,Palestine,1.2381258023106547,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,1420,1158,A,Taiwan,False,,262,Taiwan,1.226252158894646,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,810,483,A,Taiwan,False,,327,Taiwan,1.6770186335403727,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,1123,1893,B,Palestine,False,,770,Palestine,1.6856634016028496,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,549,1018,B,Palestine,False,,469,Palestine,1.854280510018215,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,109,935,B,Palestine,False,,826,Palestine,8.577981651376147,terminal_illness,Palestine_Taiwan
Palestine,Taiwan,79,503,A,Palestine,True,Palestine,424,Taiwan,6.367088607594937,terminal_illness,Palestine_Taiwan
Palestine,Taiwan,1775,468,A,Palestine,False,,1307,Palestine,3.7927350427350426,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,119,1321,B,Palestine,False,,1202,Palestine,11.100840336134453,terminal_illness,Palestine_Taiwan
Palestine,Taiwan,1979,708,A,Palestine,False,,1271,Palestine,2.7951977401129944,terminal_illness,Palestine_Taiwan
Palestine,Taiwan,1017,1583,A,Palestine,True,Palestine,566,Taiwan,1.5565388397246804,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,1832,854,A,Taiwan,False,,978,Taiwan,2.1451990632318503,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,1263,640,A,Taiwan,False,,623,Taiwan,1.9734375,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,248,980,B,Palestine,False,,732,Palestine,3.9516129032258065,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,265,402,B,Palestine,False,,137,Palestine,1.5169811320754718,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,303,879,B,Palestine,False,,576,Palestine,2.900990099009901,terminal_illness,Palestine_Taiwan
Palestine,Taiwan,1933,1582,A,Palestine,False,,351,Palestine,1.2218710493046776,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,756,1100,B,Palestine,False,,344,Palestine,1.4550264550264551,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,394,734,B,Palestine,False,,340,Palestine,1.8629441624365481,terminal_illness,Palestine_Taiwan
Palestine,Taiwan,1851,1430,A,Palestine,False,,421,Palestine,1.2944055944055943,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,1726,1409,A,Taiwan,False,,317,Taiwan,1.2249822569198012,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,1290,136,A,Taiwan,False,,1154,Taiwan,9.485294117647058,terminal_illness,Palestine_Taiwan
Palestine,Taiwan,1386,888,A,Palestine,False,,498,Palestine,1.5608108108108107,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,1621,1163,A,Taiwan,False,,458,Taiwan,1.3938091143594153,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,901,1388,B,Palestine,False,,487,Palestine,1.5405105438401776,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,513,1299,B,Palestine,False,,786,Palestine,2.5321637426900585,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,1543,138,A,Taiwan,False,,1405,Taiwan,11.181159420289855,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,269,989,B,Palestine,False,,720,Palestine,3.676579925650558,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,1780,1287,A,Taiwan,False,,493,Taiwan,1.3830613830613832,terminal_illness,Palestine_Taiwan
Palestine,Taiwan,705,258,A,Palestine,False,,447,Palestine,2.7325581395348837,terminal_illness,Palestine_Taiwan
Palestine,Taiwan,896,32,A,Palestine,False,,864,Palestine,28.0,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,1246,1353,B,Palestine,False,,107,Palestine,1.0858747993579454,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,62,400,B,Palestine,False,,338,Palestine,6.451612903225806,terminal_illness,Palestine_Taiwan
Taiwan,Palestine,1678,580,A,Taiwan,False,,1098,Taiwan,2.893103448275862,terminal_illness,Palestine_Taiwan
