country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Ukraine,Palestine,1946,101,A,Ukraine,False,,1845,Ukraine,19.26732673267327,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,507,465,A,Ukraine,False,,42,Ukraine,1.0903225806451613,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,1965,1282,A,Ukraine,False,,683,Ukraine,1.532761310452418,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,1658,525,A,Ukraine,False,,1133,Ukraine,3.158095238095238,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,111,1049,B,Palestine,False,,938,Palestine,9.45045045045045,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1748,927,A,Palestine,False,,821,Palestine,1.8856526429341964,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,3,1001,B,Palestine,False,,998,Palestine,333.6666666666667,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1675,1759,A,Palestine,True,Palestine,84,Ukraine,1.0501492537313433,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1759,233,A,Palestine,False,,1526,Palestine,7.549356223175966,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1524,862,A,Palestine,False,,662,Palestine,1.7679814385150812,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1558,794,A,Palestine,False,,764,Palestine,1.9622166246851385,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,83,742,B,Palestine,False,,659,Palestine,8.939759036144578,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1764,1420,A,Palestine,False,,344,Palestine,1.2422535211267605,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1003,779,A,Palestine,False,,224,Palestine,1.287548138639281,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,1172,1102,A,Ukraine,False,,70,Ukraine,1.0635208711433757,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1053,1215,A,Palestine,True,Palestine,162,Ukraine,1.1538461538461537,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,83,264,B,Ukraine,False,,181,Ukraine,3.180722891566265,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,254,1341,B,Palestine,False,,1087,Palestine,5.2795275590551185,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,1374,1361,A,Ukraine,False,,13,Ukraine,1.0095518001469508,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,330,212,A,Ukraine,False,,118,Ukraine,1.5566037735849056,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,494,1936,B,Ukraine,False,,1442,Ukraine,3.919028340080972,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,54,1472,B,Ukraine,False,,1418,Ukraine,27.25925925925926,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,910,1845,A,Palestine,True,Palestine,935,Ukraine,2.0274725274725274,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,1253,1854,B,Palestine,False,,601,Palestine,1.4796488427773344,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,1549,897,A,Ukraine,False,,652,Ukraine,1.7268673355629878,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1210,328,A,Palestine,False,,882,Palestine,3.6890243902439024,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,810,1328,B,Ukraine,False,,518,Ukraine,1.6395061728395062,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1531,1264,A,Palestine,False,,267,Palestine,1.2112341772151898,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1855,1836,A,Palestine,False,,19,Palestine,1.0103485838779955,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,163,1547,B,Ukraine,False,,1384,Ukraine,9.49079754601227,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,1951,641,A,Ukraine,False,,1310,Ukraine,3.0436817472698907,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,1934,1826,A,Ukraine,False,,108,Ukraine,1.059145673603505,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,23,108,B,Palestine,False,,85,Palestine,4.695652173913044,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,854,668,A,Palestine,False,,186,Palestine,1.278443113772455,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,1859,1615,A,Ukraine,False,,244,Ukraine,1.1510835913312694,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1902,1010,A,Palestine,False,,892,Palestine,1.883168316831683,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,809,78,A,Palestine,False,,731,Palestine,10.371794871794872,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1285,321,A,Palestine,False,,964,Palestine,4.003115264797508,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,1956,759,A,Ukraine,False,,1197,Ukraine,2.5770750988142295,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,436,520,A,Palestine,True,Palestine,84,Ukraine,1.1926605504587156,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1935,844,A,Palestine,False,,1091,Palestine,2.292654028436019,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1995,1595,A,Palestine,False,,400,Palestine,1.250783699059561,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1599,6,A,Palestine,False,,1593,Palestine,266.5,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1068,158,A,Palestine,False,,910,Palestine,6.7594936708860756,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,1455,1983,B,Ukraine,False,,528,Ukraine,1.3628865979381444,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,323,730,B,Palestine,False,,407,Palestine,2.260061919504644,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,614,395,A,Ukraine,False,,219,Ukraine,1.5544303797468355,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,1275,481,A,Ukraine,False,,794,Ukraine,2.6507276507276507,terminal_illness,Palestine_Ukraine
Palestine,Ukraine,133,812,B,Ukraine,False,,679,Ukraine,6.105263157894737,terminal_illness,Palestine_Ukraine
Ukraine,Palestine,119,760,B,Palestine,False,,641,Palestine,6.38655462184874,terminal_illness,Palestine_Ukraine
