country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Philippines,Taiwan,438,1847,B,Taiwan,False,,1409,Taiwan,4.21689497716895,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,1068,1977,A,Philippines,True,Philippines,909,Taiwan,1.851123595505618,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,423,672,A,Philippines,True,Philippines,249,Taiwan,1.5886524822695036,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,1634,1977,A,Philippines,True,Philippines,343,Taiwan,1.2099143206854346,terminal_illness,Philippines_Taiwan
Taiwan,Philippines,1014,1109,A,Taiwan,True,Taiwan,95,Philippines,1.093688362919132,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,298,925,B,Taiwan,False,,627,Taiwan,3.1040268456375837,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,1357,154,A,Philippines,False,,1203,Philippines,8.811688311688311,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,1308,115,A,Philippines,False,,1193,Philippines,11.373913043478261,terminal_illness,Philippines_Taiwan
Taiwan,Philippines,1422,461,A,Taiwan,False,,961,Taiwan,3.0845986984815617,terminal_illness,Philippines_Taiwan
Taiwan,Philippines,1122,1720,B,Philippines,False,,598,Philippines,1.5329768270944741,terminal_illness,Philippines_Taiwan
Taiwan,Philippines,1685,46,A,Taiwan,False,,1639,Taiwan,36.630434782608695,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,1105,329,A,Philippines,False,,776,Philippines,3.358662613981763,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,272,1286,B,Taiwan,False,,1014,Taiwan,4.727941176470588,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,585,1432,B,Taiwan,False,,847,Taiwan,2.447863247863248,terminal_illness,Philippines_Taiwan
Taiwan,Philippines,29,355,B,Philippines,False,,326,Philippines,12.241379310344827,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,1819,1831,A,Philippines,True,Philippines,12,Taiwan,1.006597031335899,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,1921,1199,A,Philippines,False,,722,Philippines,1.6021684737281068,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,398,1514,B,Taiwan,False,,1116,Taiwan,3.8040201005025125,terminal_illness,Philippines_Taiwan
Taiwan,Philippines,1665,90,A,Taiwan,False,,1575,Taiwan,18.5,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,911,1964,B,Taiwan,False,,1053,Taiwan,2.155872667398463,terminal_illness,Philippines_Taiwan
Taiwan,Philippines,908,178,A,Taiwan,False,,730,Taiwan,5.101123595505618,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,1146,1695,A,Philippines,True,Philippines,549,Taiwan,1.4790575916230366,terminal_illness,Philippines_Taiwan
Taiwan,Philippines,904,599,A,Taiwan,False,,305,Taiwan,1.5091819699499165,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,41,1673,B,Taiwan,False,,1632,Taiwan,40.80487804878049,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,879,600,A,Philippines,False,,279,Philippines,1.465,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,1995,516,A,Philippines,False,,1479,Philippines,3.866279069767442,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,948,1645,A,Philippines,True,Philippines,697,Taiwan,1.7352320675105486,terminal_illness,Philippines_Taiwan
Taiwan,Philippines,1586,1989,A,Taiwan,True,Taiwan,403,Philippines,1.2540983606557377,terminal_illness,Philippines_Taiwan
Taiwan,Philippines,56,1357,B,Philippines,False,,1301,Philippines,24.232142857142858,terminal_illness,Philippines_Taiwan
Philippines,Taiwan,1015,1955,A,Philippines,True,Philippines,940,Taiwan,1.9261083743842364,terminal_illness,Philippines_Taiwan
Taiwan,Philippines,1960,1117,A,Taiwan,False,,843,Taiwan,1.7547000895255147,terminal_illness,Philippines_Taiwan
