country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
France,Russia,147,1200,B,Russia,False,,1053,Russia,8.16326530612245,terminal_illness,Russia_France
Russia,France,44,968,B,France,False,,924,France,22.0,terminal_illness,Russia_France
Russia,France,1263,1653,A,Russia,True,Russia,390,France,1.3087885985748218,terminal_illness,Russia_France
France,Russia,1289,1543,A,France,True,France,254,Russia,1.1970519782777347,terminal_illness,Russia_France
France,Russia,509,1729,A,France,True,France,1220,Russia,3.3968565815324165,terminal_illness,Russia_France
Russia,France,1777,1143,A,Russia,False,,634,Russia,1.5546806649168854,terminal_illness,Russia_France
France,Russia,216,373,A,France,True,France,157,Russia,1.7268518518518519,terminal_illness,Russia_France
France,Russia,1240,88,A,France,False,,1152,France,14.090909090909092,terminal_illness,Russia_France
France,Russia,94,974,B,Russia,False,,880,Russia,10.361702127659575,terminal_illness,Russia_France
Russia,France,664,375,A,Russia,False,,289,Russia,1.7706666666666666,terminal_illness,Russia_France
France,Russia,1926,1341,A,France,False,,585,France,1.436241610738255,terminal_illness,Russia_France
France,Russia,1255,1937,A,France,True,France,682,Russia,1.5434262948207171,terminal_illness,Russia_France
Russia,France,616,1769,B,France,False,,1153,France,2.8717532467532467,terminal_illness,Russia_France
Russia,France,1259,1503,A,Russia,True,Russia,244,France,1.1938046068308181,terminal_illness,Russia_France
France,Russia,1872,1711,A,France,False,,161,France,1.0940970192869668,terminal_illness,Russia_France
France,Russia,1643,1586,A,France,False,,57,France,1.0359394703656999,terminal_illness,Russia_France
France,Russia,804,953,A,France,True,France,149,Russia,1.185323383084577,terminal_illness,Russia_France
France,Russia,1759,1640,A,France,False,,119,France,1.072560975609756,terminal_illness,Russia_France
Russia,France,369,42,A,Russia,False,,327,Russia,8.785714285714286,terminal_illness,Russia_France
France,Russia,1899,714,A,France,False,,1185,France,2.6596638655462184,terminal_illness,Russia_France
Russia,France,1367,1755,A,Russia,True,Russia,388,France,1.2838332114118507,terminal_illness,Russia_France
Russia,France,989,1208,A,Russia,True,Russia,219,France,1.2214357937310414,terminal_illness,Russia_France
Russia,France,688,1542,B,France,False,,854,France,2.241279069767442,terminal_illness,Russia_France
France,Russia,594,1711,A,France,True,France,1117,Russia,2.8804713804713806,terminal_illness,Russia_France
France,Russia,1409,1486,A,France,True,France,77,Russia,1.0546486870120653,terminal_illness,Russia_France
Russia,France,1945,1893,A,Russia,False,,52,Russia,1.0274696249339672,terminal_illness,Russia_France
Russia,France,387,515,A,Russia,True,Russia,128,France,1.330749354005168,terminal_illness,Russia_France
Russia,France,483,1750,B,France,False,,1267,France,3.6231884057971016,terminal_illness,Russia_France
Russia,France,1792,410,A,Russia,False,,1382,Russia,4.3707317073170735,terminal_illness,Russia_France
France,Russia,1805,497,A,France,False,,1308,France,3.6317907444668007,terminal_illness,Russia_France
Russia,France,284,663,A,Russia,True,Russia,379,France,2.334507042253521,terminal_illness,Russia_France
Russia,France,888,1448,B,France,False,,560,France,1.6306306306306306,terminal_illness,Russia_France
France,Russia,226,491,A,France,True,France,265,Russia,2.172566371681416,terminal_illness,Russia_France
Russia,France,46,493,B,France,False,,447,France,10.717391304347826,terminal_illness,Russia_France
Russia,France,3,925,B,France,False,,922,France,308.3333333333333,terminal_illness,Russia_France
Russia,France,36,1705,B,France,False,,1669,France,47.361111111111114,terminal_illness,Russia_France
France,Russia,669,1908,B,Russia,False,,1239,Russia,2.8520179372197307,terminal_illness,Russia_France
France,Russia,1149,1368,A,France,True,France,219,Russia,1.1906005221932114,terminal_illness,Russia_France
Russia,France,179,1315,B,France,False,,1136,France,7.346368715083799,terminal_illness,Russia_France
France,Russia,1466,1199,A,France,False,,267,France,1.2226855713094245,terminal_illness,Russia_France
Russia,France,1974,895,A,Russia,False,,1079,Russia,2.2055865921787707,terminal_illness,Russia_France
France,Russia,817,1970,B,Russia,False,,1153,Russia,2.4112607099143206,terminal_illness,Russia_France
France,Russia,642,630,A,France,False,,12,France,1.019047619047619,terminal_illness,Russia_France
Russia,France,908,1291,A,Russia,True,Russia,383,France,1.421806167400881,terminal_illness,Russia_France
France,Russia,860,667,A,France,False,,193,France,1.2893553223388305,terminal_illness,Russia_France
France,Russia,1186,1003,A,France,False,,183,France,1.1824526420737786,terminal_illness,Russia_France
France,Russia,1877,154,A,France,False,,1723,France,12.188311688311689,terminal_illness,Russia_France
France,Russia,700,772,A,France,True,France,72,Russia,1.1028571428571428,terminal_illness,Russia_France
France,Russia,174,1316,B,Russia,False,,1142,Russia,7.563218390804598,terminal_illness,Russia_France
France,Russia,544,1658,A,France,True,France,1114,Russia,3.047794117647059,terminal_illness,Russia_France
