country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
India,Russia,451,1612,A,India,True,India,1161,Russia,3.574279379157428,terminal_illness,Russia_India
Russia,India,1376,920,A,Russia,False,,456,Russia,1.4956521739130435,terminal_illness,Russia_India
Russia,India,1536,1798,B,India,False,,262,India,1.1705729166666667,terminal_illness,Russia_India
Russia,India,1046,1554,B,India,False,,508,India,1.4856596558317399,terminal_illness,Russia_India
Russia,India,1892,286,A,Russia,False,,1606,Russia,6.615384615384615,terminal_illness,Russia_India
India,Russia,1593,1483,A,India,False,,110,India,1.074173971679029,terminal_illness,Russia_India
Russia,India,89,1967,B,India,False,,1878,India,22.10112359550562,terminal_illness,Russia_India
Russia,India,1984,704,A,Russia,False,,1280,Russia,2.8181818181818183,terminal_illness,Russia_India
Russia,India,227,709,B,India,False,,482,India,3.1233480176211454,terminal_illness,Russia_India
Russia,India,1008,1852,B,India,False,,844,India,1.8373015873015872,terminal_illness,Russia_India
India,Russia,192,945,A,India,True,India,753,Russia,4.921875,terminal_illness,Russia_India
India,Russia,1122,1553,B,Russia,False,,431,Russia,1.3841354723707664,terminal_illness,Russia_India
Russia,India,961,1738,B,India,False,,777,India,1.8085327783558793,terminal_illness,Russia_India
India,Russia,1430,1689,A,India,True,India,259,Russia,1.181118881118881,terminal_illness,Russia_India
Russia,India,390,681,B,India,False,,291,India,1.7461538461538462,terminal_illness,Russia_India
India,Russia,771,1595,A,India,True,India,824,Russia,2.0687418936446176,terminal_illness,Russia_India
India,Russia,580,1163,A,India,True,India,583,Russia,2.0051724137931033,terminal_illness,Russia_India
India,Russia,113,1213,A,India,True,India,1100,Russia,10.734513274336283,terminal_illness,Russia_India
India,Russia,263,1244,B,Russia,False,,981,Russia,4.730038022813688,terminal_illness,Russia_India
Russia,India,1911,1499,A,Russia,False,,412,Russia,1.274849899933289,terminal_illness,Russia_India
Russia,India,1846,1677,A,Russia,False,,169,Russia,1.1007751937984496,terminal_illness,Russia_India
Russia,India,1963,110,A,Russia,False,,1853,Russia,17.845454545454544,terminal_illness,Russia_India
India,Russia,1287,1928,A,India,True,India,641,Russia,1.498057498057498,terminal_illness,Russia_India
India,Russia,1860,1967,A,India,True,India,107,Russia,1.0575268817204302,terminal_illness,Russia_India
Russia,India,1513,1264,A,Russia,False,,249,Russia,1.196993670886076,terminal_illness,Russia_India
India,Russia,414,1246,A,India,True,India,832,Russia,3.0096618357487923,terminal_illness,Russia_India
Russia,India,1344,276,A,Russia,False,,1068,Russia,4.869565217391305,terminal_illness,Russia_India
Russia,India,1465,1095,A,Russia,False,,370,Russia,1.3378995433789955,terminal_illness,Russia_India
Russia,India,1875,554,A,Russia,False,,1321,Russia,3.384476534296029,terminal_illness,Russia_India
India,Russia,435,10,A,India,False,,425,India,43.5,terminal_illness,Russia_India
India,Russia,1728,1250,A,India,False,,478,India,1.3824,terminal_illness,Russia_India
India,Russia,1831,1186,A,India,False,,645,India,1.5438448566610454,terminal_illness,Russia_India
Russia,India,512,832,B,India,False,,320,India,1.625,terminal_illness,Russia_India
Russia,India,1231,1040,A,Russia,False,,191,Russia,1.1836538461538462,terminal_illness,Russia_India
India,Russia,728,768,A,India,True,India,40,Russia,1.054945054945055,terminal_illness,Russia_India
Russia,India,772,1274,B,India,False,,502,India,1.650259067357513,terminal_illness,Russia_India
Russia,India,541,1477,B,India,False,,936,India,2.7301293900184844,terminal_illness,Russia_India
Russia,India,378,1596,B,India,False,,1218,India,4.222222222222222,terminal_illness,Russia_India
India,Russia,719,534,A,India,False,,185,India,1.3464419475655431,terminal_illness,Russia_India
India,Russia,1431,230,A,India,False,,1201,India,6.221739130434782,terminal_illness,Russia_India
Russia,India,287,376,B,India,False,,89,India,1.3101045296167246,terminal_illness,Russia_India
Russia,India,371,992,B,India,False,,621,India,2.673854447439353,terminal_illness,Russia_India
Russia,India,1747,1201,A,Russia,False,,546,Russia,1.4546211490424645,terminal_illness,Russia_India
Russia,India,295,1854,B,India,False,,1559,India,6.284745762711864,terminal_illness,Russia_India
Russia,India,453,1156,B,India,False,,703,India,2.5518763796909494,terminal_illness,Russia_India
India,Russia,1790,1241,A,India,False,,549,India,1.4423851732473811,terminal_illness,Russia_India
Russia,India,1135,56,A,Russia,False,,1079,Russia,20.267857142857142,terminal_illness,Russia_India
Russia,India,1498,1019,A,Russia,False,,479,Russia,1.4700686947988224,terminal_illness,Russia_India
Russia,India,215,120,A,Russia,False,,95,Russia,1.7916666666666667,terminal_illness,Russia_India
India,Russia,708,834,A,India,True,India,126,Russia,1.1779661016949152,terminal_illness,Russia_India
