country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Pakistan,Russia,24,1105,B,Russia,False,,1081,Russia,46.041666666666664,terminal_illness,Russia_Pakistan
Pakistan,Russia,1705,800,A,Pakistan,False,,905,Pakistan,2.13125,terminal_illness,Russia_Pakistan
Pakistan,Russia,522,429,A,Pakistan,False,,93,Pakistan,1.2167832167832169,terminal_illness,Russia_Pakistan
Russia,Pakistan,1540,1237,A,Russia,False,,303,Russia,1.2449474535165723,terminal_illness,Russia_Pakistan
Russia,Pakistan,1948,1885,A,Russia,False,,63,Russia,1.03342175066313,terminal_illness,Russia_Pakistan
Russia,Pakistan,1927,708,A,Russia,False,,1219,Russia,2.7217514124293785,terminal_illness,Russia_Pakistan
Russia,Pakistan,1959,30,A,Russia,False,,1929,Russia,65.3,terminal_illness,Russia_Pakistan
Russia,Pakistan,800,1311,A,Russia,True,Russia,511,Pakistan,1.63875,terminal_illness,Russia_Pakistan
Russia,Pakistan,469,732,A,Russia,True,Russia,263,Pakistan,1.560767590618337,terminal_illness,Russia_Pakistan
Russia,Pakistan,1607,1455,A,Russia,False,,152,Russia,1.10446735395189,terminal_illness,Russia_Pakistan
Pakistan,Russia,434,1175,A,Pakistan,True,Pakistan,741,Russia,2.707373271889401,terminal_illness,Russia_Pakistan
Russia,Pakistan,1773,1238,A,Russia,False,,535,Russia,1.4321486268174475,terminal_illness,Russia_Pakistan
Russia,Pakistan,1943,905,A,Russia,False,,1038,Russia,2.146961325966851,terminal_illness,Russia_Pakistan
Russia,Pakistan,26,648,B,Pakistan,False,,622,Pakistan,24.923076923076923,terminal_illness,Russia_Pakistan
Russia,Pakistan,179,515,A,Russia,True,Russia,336,Pakistan,2.877094972067039,terminal_illness,Russia_Pakistan
Pakistan,Russia,1171,1993,A,Pakistan,True,Pakistan,822,Russia,1.7019641332194706,terminal_illness,Russia_Pakistan
Russia,Pakistan,672,705,A,Russia,True,Russia,33,Pakistan,1.0491071428571428,terminal_illness,Russia_Pakistan
Pakistan,Russia,1870,1798,A,Pakistan,False,,72,Pakistan,1.0400444938820912,terminal_illness,Russia_Pakistan
Pakistan,Russia,648,1110,A,Pakistan,True,Pakistan,462,Russia,1.712962962962963,terminal_illness,Russia_Pakistan
Russia,Pakistan,1274,1869,A,Russia,True,Russia,595,Pakistan,1.467032967032967,terminal_illness,Russia_Pakistan
Russia,Pakistan,1596,855,A,Russia,False,,741,Russia,1.8666666666666667,terminal_illness,Russia_Pakistan
Russia,Pakistan,1867,579,A,Russia,False,,1288,Russia,3.224525043177893,terminal_illness,Russia_Pakistan
Pakistan,Russia,1867,1872,A,Pakistan,True,Pakistan,5,Russia,1.0026780931976433,terminal_illness,Russia_Pakistan
Pakistan,Russia,1781,941,A,Pakistan,False,,840,Pakistan,1.8926673751328373,terminal_illness,Russia_Pakistan
Russia,Pakistan,940,1908,A,Russia,True,Russia,968,Pakistan,2.029787234042553,terminal_illness,Russia_Pakistan
Pakistan,Russia,476,1420,A,Pakistan,True,Pakistan,944,Russia,2.9831932773109244,terminal_illness,Russia_Pakistan
Pakistan,Russia,1343,534,A,Pakistan,False,,809,Pakistan,2.5149812734082397,terminal_illness,Russia_Pakistan
Russia,Pakistan,509,104,A,Russia,False,,405,Russia,4.894230769230769,terminal_illness,Russia_Pakistan
Russia,Pakistan,1815,57,A,Russia,False,,1758,Russia,31.842105263157894,terminal_illness,Russia_Pakistan
Russia,Pakistan,137,1117,B,Pakistan,False,,980,Pakistan,8.153284671532846,terminal_illness,Russia_Pakistan
Pakistan,Russia,386,1848,B,Russia,False,,1462,Russia,4.787564766839378,terminal_illness,Russia_Pakistan
Russia,Pakistan,1171,704,A,Russia,False,,467,Russia,1.6633522727272727,terminal_illness,Russia_Pakistan
Pakistan,Russia,841,1658,A,Pakistan,True,Pakistan,817,Russia,1.971462544589774,terminal_illness,Russia_Pakistan
Pakistan,Russia,736,1390,A,Pakistan,True,Pakistan,654,Russia,1.888586956521739,terminal_illness,Russia_Pakistan
Pakistan,Russia,1785,1352,A,Pakistan,False,,433,Pakistan,1.3202662721893492,terminal_illness,Russia_Pakistan
Russia,Pakistan,1587,1340,A,Russia,False,,247,Russia,1.1843283582089552,terminal_illness,Russia_Pakistan
Russia,Pakistan,1160,1447,A,Russia,True,Russia,287,Pakistan,1.2474137931034484,terminal_illness,Russia_Pakistan
Russia,Pakistan,1990,1370,A,Russia,False,,620,Russia,1.4525547445255473,terminal_illness,Russia_Pakistan
Pakistan,Russia,629,1153,A,Pakistan,True,Pakistan,524,Russia,1.8330683624801272,terminal_illness,Russia_Pakistan
Russia,Pakistan,1537,828,A,Russia,False,,709,Russia,1.856280193236715,terminal_illness,Russia_Pakistan
Russia,Pakistan,1753,1830,A,Russia,True,Russia,77,Pakistan,1.0439247005134056,terminal_illness,Russia_Pakistan
Russia,Pakistan,89,454,B,Pakistan,False,,365,Pakistan,5.101123595505618,terminal_illness,Russia_Pakistan
Pakistan,Russia,1575,192,A,Pakistan,False,,1383,Pakistan,8.203125,terminal_illness,Russia_Pakistan
Russia,Pakistan,1743,1472,A,Russia,False,,271,Russia,1.1841032608695652,terminal_illness,Russia_Pakistan
Pakistan,Russia,20,914,B,Russia,False,,894,Russia,45.7,terminal_illness,Russia_Pakistan
Pakistan,Russia,1786,332,A,Pakistan,False,,1454,Pakistan,5.379518072289157,terminal_illness,Russia_Pakistan
Russia,Pakistan,723,667,A,Russia,False,,56,Russia,1.0839580209895052,terminal_illness,Russia_Pakistan
Russia,Pakistan,619,945,A,Russia,True,Russia,326,Pakistan,1.5266558966074313,terminal_illness,Russia_Pakistan
Pakistan,Russia,1018,268,A,Pakistan,False,,750,Pakistan,3.798507462686567,terminal_illness,Russia_Pakistan
Pakistan,Russia,499,1286,A,Pakistan,True,Pakistan,787,Russia,2.5771543086172346,terminal_illness,Russia_Pakistan
