country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Ukraine,China,1028,611,A,Ukraine,False,,417,Ukraine,1.6824877250409165,terminal_illness,Ukraine_China
China,Ukraine,1348,1888,B,Ukraine,False,,540,Ukraine,1.400593471810089,terminal_illness,Ukraine_China
Ukraine,China,589,137,A,Ukraine,False,,452,Ukraine,4.299270072992701,terminal_illness,Ukraine_China
China,Ukraine,478,1079,B,Ukraine,False,,601,Ukraine,2.2573221757322175,terminal_illness,Ukraine_China
China,Ukraine,26,226,B,Ukraine,False,,200,Ukraine,8.692307692307692,terminal_illness,Ukraine_China
China,Ukraine,550,290,A,China,False,,260,China,1.896551724137931,terminal_illness,Ukraine_China
Ukraine,China,304,1811,A,Ukraine,True,Ukraine,1507,China,5.957236842105263,terminal_illness,Ukraine_China
China,Ukraine,1158,456,A,China,False,,702,China,2.539473684210526,terminal_illness,Ukraine_China
Ukraine,China,950,740,A,Ukraine,False,,210,Ukraine,1.2837837837837838,terminal_illness,Ukraine_China
China,Ukraine,1772,901,A,China,False,,871,China,1.9667036625971144,terminal_illness,Ukraine_China
China,Ukraine,1604,281,A,China,False,,1323,China,5.708185053380783,terminal_illness,Ukraine_China
Ukraine,China,447,1047,A,Ukraine,True,Ukraine,600,China,2.3422818791946307,terminal_illness,Ukraine_China
China,Ukraine,1523,590,A,China,False,,933,China,2.58135593220339,terminal_illness,Ukraine_China
Ukraine,China,1127,659,A,Ukraine,False,,468,Ukraine,1.710166919575114,terminal_illness,Ukraine_China
Ukraine,China,660,82,A,Ukraine,False,,578,Ukraine,8.048780487804878,terminal_illness,Ukraine_China
China,Ukraine,26,292,B,Ukraine,False,,266,Ukraine,11.23076923076923,terminal_illness,Ukraine_China
Ukraine,China,470,556,A,Ukraine,True,Ukraine,86,China,1.1829787234042553,terminal_illness,Ukraine_China
Ukraine,China,622,581,A,Ukraine,False,,41,Ukraine,1.0705679862306368,terminal_illness,Ukraine_China
Ukraine,China,1122,1957,A,Ukraine,True,Ukraine,835,China,1.7442067736185383,terminal_illness,Ukraine_China
China,Ukraine,64,857,B,Ukraine,False,,793,Ukraine,13.390625,terminal_illness,Ukraine_China
China,Ukraine,29,268,B,Ukraine,False,,239,Ukraine,9.241379310344827,terminal_illness,Ukraine_China
Ukraine,China,533,35,A,Ukraine,False,,498,Ukraine,15.228571428571428,terminal_illness,Ukraine_China
China,Ukraine,1671,1844,A,China,True,China,173,Ukraine,1.1035308198683422,terminal_illness,Ukraine_China
Ukraine,China,886,1479,A,Ukraine,True,Ukraine,593,China,1.6693002257336342,terminal_illness,Ukraine_China
China,Ukraine,308,743,B,Ukraine,False,,435,Ukraine,2.4123376623376624,terminal_illness,Ukraine_China
China,Ukraine,1685,1983,A,China,True,China,298,Ukraine,1.1768545994065283,terminal_illness,Ukraine_China
China,Ukraine,1956,1190,A,China,False,,766,China,1.6436974789915966,terminal_illness,Ukraine_China
China,Ukraine,987,219,A,China,False,,768,China,4.506849315068493,terminal_illness,Ukraine_China
Ukraine,China,1738,1734,A,Ukraine,False,,4,Ukraine,1.0023068050749713,terminal_illness,Ukraine_China
Ukraine,China,1222,1985,A,Ukraine,True,Ukraine,763,China,1.6243862520458265,terminal_illness,Ukraine_China
Ukraine,China,271,356,A,Ukraine,True,Ukraine,85,China,1.3136531365313653,terminal_illness,Ukraine_China
Ukraine,China,1092,89,A,Ukraine,False,,1003,Ukraine,12.269662921348315,terminal_illness,Ukraine_China
Ukraine,China,1521,1728,A,Ukraine,True,Ukraine,207,China,1.136094674556213,terminal_illness,Ukraine_China
China,Ukraine,1025,74,A,China,False,,951,China,13.85135135135135,terminal_illness,Ukraine_China
China,Ukraine,1402,1429,A,China,True,China,27,Ukraine,1.0192582025677603,terminal_illness,Ukraine_China
Ukraine,China,1158,593,A,Ukraine,False,,565,Ukraine,1.9527824620573355,terminal_illness,Ukraine_China
China,Ukraine,549,1549,B,Ukraine,False,,1000,Ukraine,2.8214936247723132,terminal_illness,Ukraine_China
Ukraine,China,1927,1578,A,Ukraine,False,,349,Ukraine,1.221166032953105,terminal_illness,Ukraine_China
Ukraine,China,507,1184,A,Ukraine,True,Ukraine,677,China,2.3353057199211045,terminal_illness,Ukraine_China
Ukraine,China,1665,1725,A,Ukraine,True,Ukraine,60,China,1.0360360360360361,terminal_illness,Ukraine_China
Ukraine,China,605,1151,A,Ukraine,True,Ukraine,546,China,1.9024793388429753,terminal_illness,Ukraine_China
China,Ukraine,303,1814,B,Ukraine,False,,1511,Ukraine,5.986798679867987,terminal_illness,Ukraine_China
China,Ukraine,1789,250,A,China,False,,1539,China,7.156,terminal_illness,Ukraine_China
China,Ukraine,581,1229,B,Ukraine,False,,648,Ukraine,2.1153184165232357,terminal_illness,Ukraine_China
China,Ukraine,1293,332,A,China,False,,961,China,3.894578313253012,terminal_illness,Ukraine_China
China,Ukraine,1636,440,A,China,False,,1196,China,3.7181818181818183,terminal_illness,Ukraine_China
Ukraine,China,1029,1327,A,Ukraine,True,Ukraine,298,China,1.2896015549076774,terminal_illness,Ukraine_China
China,Ukraine,1764,1381,A,China,False,,383,China,1.277335264301231,terminal_illness,Ukraine_China
Ukraine,China,831,122,A,Ukraine,False,,709,Ukraine,6.811475409836065,terminal_illness,Ukraine_China
Ukraine,China,1000,1282,A,Ukraine,True,Ukraine,282,China,1.282,terminal_illness,Ukraine_China
