country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Taiwan,Ukraine,480,1420,B,Ukraine,False,,940,Ukraine,2.9583333333333335,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,711,1066,A,Taiwan,True,Taiwan,355,Ukraine,1.49929676511955,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,1583,1549,A,Ukraine,False,,34,Ukraine,1.0219496449322143,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,1754,1466,A,Ukraine,False,,288,Ukraine,1.1964529331514324,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,468,1181,A,Ukraine,True,Ukraine,713,Taiwan,2.5235042735042734,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,1975,939,A,Ukraine,False,,1036,Ukraine,2.103301384451544,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,742,1259,B,Ukraine,False,,517,Ukraine,1.696765498652291,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,70,690,B,Ukraine,False,,620,Ukraine,9.857142857142858,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,624,50,A,Taiwan,False,,574,Taiwan,12.48,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,875,342,A,Taiwan,False,,533,Taiwan,2.5584795321637426,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,307,1320,B,Ukraine,False,,1013,Ukraine,4.299674267100977,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,487,1555,B,Ukraine,False,,1068,Ukraine,3.193018480492813,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,1564,1700,A,Ukraine,True,Ukraine,136,Taiwan,1.0869565217391304,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,232,428,A,Ukraine,True,Ukraine,196,Taiwan,1.8448275862068966,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,1620,1906,A,Taiwan,True,Taiwan,286,Ukraine,1.1765432098765432,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,166,42,A,Ukraine,False,,124,Ukraine,3.9523809523809526,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,1454,1225,A,Taiwan,False,,229,Taiwan,1.186938775510204,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,1863,597,A,Ukraine,False,,1266,Ukraine,3.120603015075377,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,1189,381,A,Taiwan,False,,808,Taiwan,3.120734908136483,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,543,1399,A,Ukraine,True,Ukraine,856,Taiwan,2.576427255985267,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,167,83,A,Ukraine,False,,84,Ukraine,2.0120481927710845,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,781,1790,B,Ukraine,False,,1009,Ukraine,2.291933418693982,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,448,754,B,Ukraine,False,,306,Ukraine,1.6830357142857142,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,812,1137,A,Ukraine,True,Ukraine,325,Taiwan,1.4002463054187193,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,1313,318,A,Ukraine,False,,995,Ukraine,4.128930817610063,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,1284,644,A,Ukraine,False,,640,Ukraine,1.9937888198757765,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,1361,1953,B,Ukraine,False,,592,Ukraine,1.434974283614989,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,514,1661,B,Ukraine,False,,1147,Ukraine,3.2315175097276265,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,871,1186,B,Ukraine,False,,315,Ukraine,1.3616532721010333,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,1116,384,A,Taiwan,False,,732,Taiwan,2.90625,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,857,1672,A,Ukraine,True,Ukraine,815,Taiwan,1.9509918319719954,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,438,654,B,Ukraine,False,,216,Ukraine,1.4931506849315068,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,272,6,A,Taiwan,False,,266,Taiwan,45.333333333333336,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,1078,889,A,Taiwan,False,,189,Taiwan,1.2125984251968505,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,319,1479,A,Ukraine,True,Ukraine,1160,Taiwan,4.636363636363637,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,1912,1220,A,Ukraine,False,,692,Ukraine,1.5672131147540984,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,1649,1495,A,Ukraine,False,,154,Ukraine,1.103010033444816,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,1409,687,A,Ukraine,False,,722,Ukraine,2.0509461426491993,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,136,20,A,Taiwan,False,,116,Taiwan,6.8,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,314,114,A,Taiwan,False,,200,Taiwan,2.754385964912281,terminal_illness,Ukraine_Taiwan
Taiwan,Ukraine,1250,605,A,Taiwan,False,,645,Taiwan,2.0661157024793386,terminal_illness,Ukraine_Taiwan
Ukraine,Taiwan,976,715,A,Ukraine,False,,261,Ukraine,1.3650349650349651,terminal_illness,Ukraine_Taiwan
