country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
United Kingdom,United States,766,680,A,United Kingdom,False,,86,United Kingdom,1.1264705882352941,terminal_illness,United States_United Kingdom
United States,United Kingdom,1438,308,A,United States,False,,1130,United States,4.6688311688311686,terminal_illness,United States_United Kingdom
United States,United Kingdom,1789,114,A,United States,False,,1675,United States,15.692982456140351,terminal_illness,United States_United Kingdom
United States,United Kingdom,391,1750,B,United Kingdom,False,,1359,United Kingdom,4.475703324808184,terminal_illness,United States_United Kingdom
United States,United Kingdom,1204,1738,B,United Kingdom,False,,534,United Kingdom,1.4435215946843853,terminal_illness,United States_United Kingdom
United States,United Kingdom,1369,1571,A,United States,True,United States,202,United Kingdom,1.1475529583637691,terminal_illness,United States_United Kingdom
United States,United Kingdom,1592,1454,A,United States,False,,138,United States,1.094910591471802,terminal_illness,United States_United Kingdom
United Kingdom,United States,296,49,A,United Kingdom,False,,247,United Kingdom,6.040816326530612,terminal_illness,United States_United Kingdom
United Kingdom,United States,1626,1518,A,United Kingdom,False,,108,United Kingdom,1.0711462450592886,terminal_illness,United States_United Kingdom
United States,United Kingdom,1735,534,A,United States,False,,1201,United States,3.249063670411985,terminal_illness,United States_United Kingdom
United States,United Kingdom,9,1869,B,United Kingdom,False,,1860,United Kingdom,207.66666666666666,terminal_illness,United States_United Kingdom
United Kingdom,United States,147,1233,B,United States,False,,1086,United States,8.387755102040817,terminal_illness,United States_United Kingdom
United States,United Kingdom,1744,1227,A,United States,False,,517,United States,1.421352893235534,terminal_illness,United States_United Kingdom
United States,United Kingdom,887,421,A,United States,False,,466,United States,2.1068883610451308,terminal_illness,United States_United Kingdom
United Kingdom,United States,1422,675,A,United Kingdom,False,,747,United Kingdom,2.1066666666666665,terminal_illness,United States_United Kingdom
United States,United Kingdom,266,864,B,United Kingdom,False,,598,United Kingdom,3.2481203007518795,terminal_illness,United States_United Kingdom
United States,United Kingdom,1186,682,A,United States,False,,504,United States,1.7390029325513197,terminal_illness,United States_United Kingdom
United Kingdom,United States,857,1352,A,United Kingdom,True,United Kingdom,495,United States,1.5775962660443408,terminal_illness,United States_United Kingdom
United Kingdom,United States,375,1696,B,United States,False,,1321,United States,4.522666666666667,terminal_illness,United States_United Kingdom
